question,sql
How many faculty do we have?,SELECT COUNT(*) FROM `Faculty`
What is the total number of faculty members?,SELECT COUNT(*) FROM `Faculty`
What ranks do we have for faculty?,SELECT DISTINCT `rank` FROM `Faculty`
Find the list of distinct ranks for faculty.,SELECT DISTINCT `rank` FROM `Faculty`
Show all the distinct buildings that have faculty rooms.,SELECT DISTINCT `building` FROM `Faculty`
What buildings have faculty offices?,SELECT DISTINCT `building` FROM `Faculty`
"Show the rank, first name, and last name for all the faculty.","SELECT `rank`, `Fname`, `Lname` FROM `Faculty`"
"What are the rank, first name, and last name of the faculty members?","SELECT `rank`, `Fname`, `Lname` FROM `Faculty`"
"Show the first name, last name, and phone number for all female faculty members.","SELECT `Fname`, `Lname`, `phone` FROM `Faculty` WHERE `Sex` = 'F'"
"What are the first name, last name, and phone number of all the female faculty members?","SELECT `Fname`, `Lname`, `phone` FROM `Faculty` WHERE `Sex` = 'F'"
Show ids for all the male faculty.,SELECT `FacID` FROM `Faculty` WHERE `Sex` = 'M'
What are the faculty ids of all the male faculty members?,SELECT `FacID` FROM `Faculty` WHERE `Sex` = 'M'
How many female Professors do we have?,SELECT COUNT(*) FROM `Faculty` WHERE `Sex` = 'F' AND `Rank` = `Professor`
Count the number of female Professors we have.,SELECT COUNT(*) FROM `Faculty` WHERE `Sex` = 'F' AND `Rank` = `Professor`
"Show the phone, room, and building for the faculty named Jerry Prince.","SELECT `phone`, `room`, `building` FROM `Faculty` WHERE `Fname` = `Jerry` AND `Lname` = `Prince`"
"What are the phone, room, and building of the faculty member called Jerry Prince?","SELECT `phone`, `room`, `building` FROM `Faculty` WHERE `Fname` = `Jerry` AND `Lname` = `Prince`"
How many Professors are in building NEB?,SELECT COUNT(*) FROM `Faculty` WHERE `Rank` = `Professor` AND `building` = `NEB`
Count the number of Professors who have office in building NEB.,SELECT COUNT(*) FROM `Faculty` WHERE `Rank` = `Professor` AND `building` = `NEB`
Show the first name and last name for all the instructors.,"SELECT `fname`, `lname` FROM `Faculty` WHERE `Rank` = `Instructor`"
What are the first name and last name of all the instructors?,"SELECT `fname`, `lname` FROM `Faculty` WHERE `Rank` = `Instructor`"
Show all the buildings along with the number of faculty members the buildings have.,"SELECT `building`, COUNT(*) FROM `Faculty` GROUP BY `building`"
How many faculty members does each building have? List the result with the name of the building.,"SELECT `building`, COUNT(*) FROM `Faculty` GROUP BY `building`"
Which building has most faculty members?,SELECT `building` FROM `Faculty` GROUP BY `building` ORDER BY COUNT(*) DESC LIMIT 1
Find the building that has the largest number of faculty members.,SELECT `building` FROM `Faculty` GROUP BY `building` ORDER BY COUNT(*) DESC LIMIT 1
Show all the buildings that have at least 10 professors.,SELECT `building` FROM `Faculty` WHERE `rank` = `Professor` GROUP BY `building` HAVING COUNT(*) >= 10
In which buildings are there at least ten professors?,SELECT `building` FROM `Faculty` WHERE `rank` = `Professor` GROUP BY `building` HAVING COUNT(*) >= 10
"For each faculty rank, show the number of faculty members who have it.","SELECT `rank`, COUNT(*) FROM `Faculty` GROUP BY `rank`"
How many faculty members do we have for each faculty rank?,"SELECT `rank`, COUNT(*) FROM `Faculty` GROUP BY `rank`"
Show all the ranks and the number of male and female faculty for each rank.,"SELECT `rank`, `sex`, COUNT(*) FROM `Faculty` GROUP BY `rank`, `sex`"
How many faculty members do we have for each rank and gender?,"SELECT `rank`, `sex`, COUNT(*) FROM `Faculty` GROUP BY `rank`, `sex`"
Which rank has the smallest number of faculty members?,SELECT `rank` FROM `Faculty` GROUP BY `rank` ORDER BY COUNT(*) ASC LIMIT 1
Find the faculty rank that has the least members.,SELECT `rank` FROM `Faculty` GROUP BY `rank` ORDER BY COUNT(*) ASC LIMIT 1
Show the number of male and female assistant professors.,"SELECT `sex`, COUNT(*) FROM `Faculty` WHERE `rank` = `AsstProf` GROUP BY `sex`"
How many male and female assistant professors do we have?,"SELECT `sex`, COUNT(*) FROM `Faculty` WHERE `rank` = `AsstProf` GROUP BY `sex`"
What are the first name and last name of Linda Smith's advisor?,"SELECT `T1`.`fname`, `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` WHERE `T2`.`fname` = `Linda` AND `T2`.`lname` = `Smith`"
Who is the advisor of Linda Smith? Give me the first name and last name.,"SELECT `T1`.`fname`, `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` WHERE `T2`.`fname` = `Linda` AND `T2`.`lname` = `Smith`"
Show the ids of students whose advisors are professors.,SELECT `T2`.`StuID` FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` WHERE `T1`.`rank` = `Professor`
Which students have professors as their advisors? Find their student ids.,SELECT `T2`.`StuID` FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` WHERE `T1`.`rank` = `Professor`
Show first name and last name for all the students advised by Michael Goodrich.,"SELECT `T2`.`fname`, `T2`.`lname` FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` WHERE `T1`.`fname` = `Michael` AND `T1`.`lname` = `Goodrich`"
Which students are advised by Michael Goodrich? Give me their first and last names.,"SELECT `T2`.`fname`, `T2`.`lname` FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` WHERE `T1`.`fname` = `Michael` AND `T1`.`lname` = `Goodrich`"
"Show the faculty id of each faculty member, along with the number of students he or she advises.","SELECT `T1`.`FacID`, COUNT(*) FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` GROUP BY `T1`.`FacID`"
What are the faculty id and the number of students each faculty has?,"SELECT `T1`.`FacID`, COUNT(*) FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` GROUP BY `T1`.`FacID`"
Show all the faculty ranks and the number of students advised by each rank.,"SELECT `T1`.`rank`, COUNT(*) FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` GROUP BY `T1`.`rank`"
How many students are advised by each rank of faculty? List the rank and the number of students.,"SELECT `T1`.`rank`, COUNT(*) FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` GROUP BY `T1`.`rank`"
What are the first and last name of the faculty who has the most students?,"SELECT `T1`.`fname`, `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` GROUP BY `T1`.`FacID` ORDER BY COUNT(*) DESC LIMIT 1"
Give me the the first and last name of the faculty who advises the most students.,"SELECT `T1`.`fname`, `T1`.`lname` FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` GROUP BY `T1`.`FacID` ORDER BY COUNT(*) DESC LIMIT 1"
Show the ids for all the faculty members who have at least 2 students.,SELECT `T1`.`FacID` FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` GROUP BY `T1`.`FacID` HAVING COUNT(*) >= 2
Which faculty members advise two ore more students? Give me their faculty ids.,SELECT `T1`.`FacID` FROM `Faculty` AS `T1` JOIN `Student` AS `T2` ON `T1`.`FacID` = `T2`.`advisor` GROUP BY `T1`.`FacID` HAVING COUNT(*) >= 2
Show ids for the faculty members who don't advise any student.,SELECT `FacID` FROM `Faculty` EXCEPT SELECT `advisor` FROM `Student`
What are the ids of the faculty members who do not advise any student.,SELECT `FacID` FROM `Faculty` EXCEPT SELECT `advisor` FROM `Student`
What activities do we have?,SELECT `activity_name` FROM `Activity`
List all the activities we have.,SELECT `activity_name` FROM `Activity`
How many activities do we have?,SELECT COUNT(*) FROM `Activity`
Find the number of activities available.,SELECT COUNT(*) FROM `Activity`
How many faculty members participate in an activity?,SELECT COUNT(DISTINCT `FacID`) FROM `Faculty_participates_in`
Give me the number of faculty members who participate in an activity,SELECT COUNT(DISTINCT `FacID`) FROM `Faculty_participates_in`
Show the ids of the faculty who don't participate in any activity.,SELECT `FacID` FROM `Faculty` EXCEPT SELECT `FacID` FROM `Faculty_participates_in`
Which faculty do not participate in any activity? Find their faculty ids.,SELECT `FacID` FROM `Faculty` EXCEPT SELECT `FacID` FROM `Faculty_participates_in`
Show the ids of all the faculty members who participate in an activity and advise a student.,SELECT `FacID` FROM `Faculty_participates_in` INTERSECT SELECT `advisor` FROM `Student`
What are ids of the faculty members who not only participate in an activity but also advise a student.,SELECT `FacID` FROM `Faculty_participates_in` INTERSECT SELECT `advisor` FROM `Student`
How many activities does Mark Giuliano participate in?,SELECT COUNT(*) FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` WHERE `T1`.`fname` = `Mark` AND `T1`.`lname` = `Giuliano`
Find the number of activities Mark Giuliano is involved in.,SELECT COUNT(*) FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` WHERE `T1`.`fname` = `Mark` AND `T1`.`lname` = `Giuliano`
Show the names of all the activities Mark Giuliano participates in.,SELECT `T3`.`activity_name` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` JOIN `Activity` AS `T3` ON `T3`.`actid` = `T2`.`actid` WHERE `T1`.`fname` = `Mark` AND `T1`.`lname` = `Giuliano`
What are the names of the activities Mark Giuliano is involved in,SELECT `T3`.`activity_name` FROM `Faculty` AS `T1` JOIN `Faculty_participates_in` AS `T2` ON `T1`.`facID` = `T2`.`facID` JOIN `Activity` AS `T3` ON `T3`.`actid` = `T2`.`actid` WHERE `T1`.`fname` = `Mark` AND `T1`.`lname` = `Giuliano`
