question,sql
How many apartment bookings are there in total?,SELECT count(*) FROM Apartment_Bookings
Count the total number of apartment bookings.,SELECT count(*) FROM Apartment_Bookings
Show the start dates and end dates of all the apartment bookings.,"SELECT booking_start_date ,  booking_end_date FROM Apartment_Bookings"
What are the start date and end date of each apartment booking?,"SELECT booking_start_date ,  booking_end_date FROM Apartment_Bookings"
Show all distinct building descriptions.,SELECT DISTINCT building_description FROM Apartment_Buildings
Give me a list of all the distinct building descriptions.,SELECT DISTINCT building_description FROM Apartment_Buildings
"Show the short names of the buildings managed by ""Emma"".","SELECT building_short_name FROM Apartment_Buildings WHERE building_manager	 =  ""Emma"""
"Which buildings does ""Emma"" manage? Give me the short names of the buildings.","SELECT building_short_name FROM Apartment_Buildings WHERE building_manager	 =  ""Emma"""
"Show the addresses and phones of all the buildings managed by ""Brenden"".","SELECT building_address ,  building_phone FROM Apartment_Buildings WHERE building_manager	 =  ""Brenden"""
"What are the address and phone number of the buildings managed by ""Brenden""?","SELECT building_address ,  building_phone FROM Apartment_Buildings WHERE building_manager	 =  ""Brenden"""
"What are the building full names that contain the word ""court""?","SELECT building_full_name FROM Apartment_Buildings WHERE building_full_name LIKE ""%court%"""
"Find all the building full names containing the word ""court"".","SELECT building_full_name FROM Apartment_Buildings WHERE building_full_name LIKE ""%court%"""
What is the minimum and maximum number of bathrooms of all the apartments?,"SELECT min(bathroom_count) ,  max(bathroom_count) FROM Apartments"
Give me the minimum and maximum bathroom count among all the apartments.,"SELECT min(bathroom_count) ,  max(bathroom_count) FROM Apartments"
What is the average number of bedrooms of all apartments?,SELECT avg(bedroom_count) FROM Apartments
Find the average number of bedrooms of all the apartments.,SELECT avg(bedroom_count) FROM Apartments
Return the apartment number and the number of rooms for each apartment.,"SELECT apt_number ,  room_count FROM Apartments"
What are the apartment number and the room count of each apartment?,"SELECT apt_number ,  room_count FROM Apartments"
"What is the average number of rooms of apartments with type code ""Studio""?","SELECT avg(room_count) FROM Apartments WHERE apt_type_code  =  ""Studio"""
"Find the average room count of the apartments that have the ""Studio"" type code.","SELECT avg(room_count) FROM Apartments WHERE apt_type_code  =  ""Studio"""
"Return the apartment numbers of the apartments with type code ""Flat"".","SELECT apt_number FROM Apartments WHERE apt_type_code  =  ""Flat"""
"Which apartments have type code ""Flat""? Give me their apartment numbers.","SELECT apt_number FROM Apartments WHERE apt_type_code  =  ""Flat"""
Return the first names and last names of all guests,"SELECT guest_first_name ,  guest_last_name FROM Guests"
What are the first names and last names of all the guests?,"SELECT guest_first_name ,  guest_last_name FROM Guests"
"Return the date of birth for all the guests with gender code ""Male"".","SELECT date_of_birth FROM Guests WHERE gender_code  =  ""Male"""
"What are dates of birth of all the guests whose gender is ""Male""?","SELECT date_of_birth FROM Guests WHERE gender_code  =  ""Male"""
"Show the apartment numbers, start dates, and end dates of all the apartment bookings.","SELECT T2.apt_number ,  T1.booking_start_date ,  T1.booking_start_date FROM Apartment_Bookings AS T1 JOIN Apartments AS T2 ON T1.apt_id  =  T2.apt_id"
