question,sql
Which assets have 2 parts and have less than 2 fault logs? List the asset id and detail.,"SELECT `t1`.`asset_id`, `t1`.`asset_details` FROM `Assets` AS `t1` JOIN `Asset_Parts` AS `t2` ON `t1`.`asset_id` = `t2`.`asset_id` GROUP BY `t1`.`asset_id`, `t1`.`asset_details` HAVING COUNT(*) = 2 INTERSECT SELECT `t1`.`asset_id`, `t1`.`asset_details` FROM `Assets` AS `t1` JOIN `Fault_Log` AS `t2` ON `t1`.`asset_id` = `t2`.`asset_id` GROUP BY `t1`.`asset_id`, `t1`.`asset_details` HAVING COUNT(*) < 2"
How many assets does each maintenance contract contain? List the number and the contract id.,"SELECT COUNT(*), `t1`.`maintenance_contract_id` FROM `Maintenance_Contracts` AS `t1` JOIN `Assets` AS `t2` ON `t1`.`maintenance_contract_id` = `t2`.`maintenance_contract_id` GROUP BY `t1`.`maintenance_contract_id`"
How many assets does each third party company supply? List the count and the company id.,"SELECT COUNT(*), `t1`.`company_id` FROM `Third_Party_Companies` AS `t1` JOIN `Assets` AS `t2` ON `t1`.`company_id` = `t2`.`supplier_company_id` GROUP BY `t1`.`company_id`"
Which third party companies have at least 2 maintenance engineers or have at least 2 maintenance contracts? List the company id and name.,"SELECT `t1`.`company_id`, `t1`.`company_name` FROM `Third_Party_Companies` AS `t1` JOIN `Maintenance_Engineers` AS `t2` ON `t1`.`company_id` = `t2`.`company_id` GROUP BY `t1`.`company_id`, `t1`.`company_name` HAVING COUNT(*) >= 2 UNION SELECT `t3`.`company_id`, `t3`.`company_name` FROM `Third_Party_Companies` AS `t3` JOIN `Maintenance_Contracts` AS `t4` ON `t3`.`company_id` = `t4`.`maintenance_contract_company_id` GROUP BY `t3`.`company_id`, `t3`.`company_name` HAVING COUNT(*) >= 2"
What is the name and id of the staff who recorded the fault log but has not contacted any visiting engineers?,"SELECT `t1`.`staff_name`, `t1`.`staff_id` FROM `Staff` AS `t1` JOIN `Fault_Log` AS `t2` ON `t1`.`staff_id` = `t2`.`recorded_by_staff_id` EXCEPT SELECT `t3`.`staff_name`, `t3`.`staff_id` FROM `Staff` AS `t3` JOIN `Engineer_Visits` AS `t4` ON `t3`.`staff_id` = `t4`.`contact_staff_id`"
"Which engineer has visited the most times? Show the engineer id, first name and last name.","SELECT `t1`.`engineer_id`, `t1`.`first_name`, `t1`.`last_name` FROM `Maintenance_Engineers` AS `t1`, `Engineer_Visits` AS `t2` GROUP BY `t1`.`engineer_id`, `t1`.`first_name`, `t1`.`last_name` ORDER BY COUNT(*) DESC LIMIT 1"
Which parts have more than 2 faults? Show the part name and id.,"SELECT `t1`.`part_name`, `t1`.`part_id` FROM `Parts` AS `t1` JOIN `Part_Faults` AS `t2` ON `t1`.`part_id` = `t2`.`part_id` GROUP BY `t1`.`part_name`, `t1`.`part_id` HAVING COUNT(*) > 2"
"List all every engineer's first name, last name, details and coresponding skill description.","SELECT `t1`.`first_name`, `t1`.`last_name`, `t1`.`other_details`, `t3`.`skill_description` FROM `Maintenance_Engineers` AS `t1` JOIN `Engineer_Skills` AS `t2` ON `t1`.`engineer_id` = `t2`.`engineer_id` JOIN `Skills` AS `t3` ON `t2`.`skill_id` = `t3`.`skill_id`"
"For all the faults of different parts, what are all the decriptions of the skills required to fix them? List the name of the faults and the skill description.","SELECT `t1`.`fault_short_name`, `t3`.`skill_description` FROM `Part_Faults` AS `t1` JOIN `Skills_Required_To_Fix` AS `t2` ON `t1`.`part_fault_id` = `t2`.`part_fault_id` JOIN `Skills` AS `t3` ON `t2`.`skill_id` = `t3`.`skill_id`"
How many assets can each parts be used in? List the part name and the number.,"SELECT `t1`.`part_name`, COUNT(*) FROM `Parts` AS `t1` JOIN `Asset_Parts` AS `t2` ON `t1`.`part_id` = `t2`.`part_id` GROUP BY `t1`.`part_name`"
