player_id,award_id,year,league_id,tie,notes
bondto01,Pitching Triple Crown,1877,NL,NULL,NULL
hinespa01,Triple Crown,1878,NL,NULL,NULL
heckegu01,Pitching Triple Crown,1884,AA,NULL,NULL
radboch01,Pitching Triple Crown,1884,NL,NULL,NULL
oneilti01,Triple Crown,1887,AA,NULL,NULL
keefeti01,Pitching Triple Crown,1888,NL,NULL,NULL
clarkjo01,Pitching Triple Crown,1889,NL,NULL,NULL
rusieam01,Pitching Triple Crown,1894,NL,NULL,NULL
duffyhu01,Triple Crown,1894,NL,NULL,NULL
youngcy01,Pitching Triple Crown,1901,AL,NULL,NULL
lajoina01,Triple Crown,1901,AL,NULL,NULL
wadderu01,Pitching Triple Crown,1905,AL,NULL,NULL
mathech01,Pitching Triple Crown,1905,NL,NULL,NULL
chaseha01,Baseball Magazine All-Star,1908,AL,NULL,1B
lajoina01,Baseball Magazine All-Star,1908,AL,NULL,2B
lordha01,Baseball Magazine All-Star,1908,AL,NULL,3B
crigelo01,Baseball Magazine All-Star,1908,AL,NULL,C
sullibi03,Baseball Magazine All-Star,1908,AL,NULL,C
crawfsa01,Baseball Magazine All-Star,1908,AL,NULL,CF
stonege01,Baseball Magazine All-Star,1908,AL,NULL,LF
walshed01,Baseball Magazine All-Star,1908,AL,NULL,P1
youngcy01,Baseball Magazine All-Star,1908,AL,NULL,P2
wadderu01,Baseball Magazine All-Star,1908,AL,NULL,P3
jossad01,Baseball Magazine All-Star,1908,AL,NULL,P4
donovbi01,Baseball Magazine All-Star,1908,AL,NULL,P5
cobbty01,Baseball Magazine All-Star,1908,AL,NULL,RF
wallabo01,Baseball Magazine All-Star,1908,AL,NULL,SS
chaseha01,Baseball Magazine All-Star,1908,ML,NULL,1B
lajoina01,Baseball Magazine All-Star,1908,ML,NULL,2B
devliar01,Baseball Magazine All-Star,1908,ML,NULL,3B
bresnro01,Baseball Magazine All-Star,1908,ML,NULL,C
klingjo01,Baseball Magazine All-Star,1908,ML,NULL,C
donlimi01,Baseball Magazine All-Star,1908,ML,NULL,CF
clarkfr01,Baseball Magazine All-Star,1908,ML,NULL,LF
walshed01,Baseball Magazine All-Star,1908,ML,NULL,P1
mathech01,Baseball Magazine All-Star,1908,ML,NULL,P2
youngcy01,Baseball Magazine All-Star,1908,ML,NULL,P3
brownmo01,Baseball Magazine All-Star,1908,ML,NULL,P4
ruckena01,Baseball Magazine All-Star,1908,ML,NULL,P5
cobbty01,Baseball Magazine All-Star,1908,ML,NULL,RF
wagneho01,Baseball Magazine All-Star,1908,ML,NULL,SS
tennefr02,Baseball Magazine All-Star,1908,NL,NULL,1B
eversjo01,Baseball Magazine All-Star,1908,NL,NULL,2B
devliar01,Baseball Magazine All-Star,1908,NL,NULL,3B
bresnro01,Baseball Magazine All-Star,1908,NL,NULL,C
klingjo01,Baseball Magazine All-Star,1908,NL,NULL,C
donlimi01,Baseball Magazine All-Star,1908,NL,NULL,CF
clarkfr01,Baseball Magazine All-Star,1908,NL,NULL,LF
brownmo01,Baseball Magazine All-Star,1908,NL,NULL,P1
mathech01,Baseball Magazine All-Star,1908,NL,NULL,P2
ruckena01,Baseball Magazine All-Star,1908,NL,NULL,P3
willivi01,Baseball Magazine All-Star,1908,NL,NULL,P4
reulbed01,Baseball Magazine All-Star,1908,NL,NULL,P5
schulfr01,Baseball Magazine All-Star,1908,NL,NULL,RF
wagneho01,Baseball Magazine All-Star,1908,NL,NULL,SS
mathech01,Pitching Triple Crown,1908,NL,NULL,NULL
chaseha01,Baseball Magazine All-Star,1909,AL,NULL,1B
collied01,Baseball Magazine All-Star,1909,AL,NULL,2B
lordha01,Baseball Magazine All-Star,1909,AL,NULL,3B
carribi02,Baseball Magazine All-Star,1909,AL,NULL,C1
sullibi03,Baseball Magazine All-Star,1909,AL,NULL,C2
streega01,Baseball Magazine All-Star,1909,AL,NULL,C3
speaktr01,Baseball Magazine All-Star,1909,AL,NULL,CF
crawfsa01,Baseball Magazine All-Star,1909,AL,NULL,LF
walshed01,Baseball Magazine All-Star,1909,AL,NULL,P1
planked01,Baseball Magazine All-Star,1909,AL,NULL,P2
johnswa01,Baseball Magazine All-Star,1909,AL,NULL,P3
mullige01,Baseball Magazine All-Star,1909,AL,NULL,P4
woodjo02,Baseball Magazine All-Star,1909,AL,NULL,P5
cobbty01,Baseball Magazine All-Star,1909,AL,NULL,RF
bushdo01,Baseball Magazine All-Star,1909,AL,NULL,SS
chaseha01,Baseball Magazine All-Star,1909,ML,NULL,1B
collied01,Baseball Magazine All-Star,1909,ML,NULL,2B
lordha01,Baseball Magazine All-Star,1909,ML,NULL,3B
klingjo01,Baseball Magazine All-Star,1909,ML,NULL,C1
carribi02,Baseball Magazine All-Star,1909,ML,NULL,C2
gibsoge01,Baseball Magazine All-Star,1909,ML,NULL,C3
speaktr01,Baseball Magazine All-Star,1909,ML,NULL,CF
clarkfr01,Baseball Magazine All-Star,1909,ML,NULL,LF
mathech01,Baseball Magazine All-Star,1909,ML,NULL,P1
walshed01,Baseball Magazine All-Star,1909,ML,NULL,P2
brownmo01,Baseball Magazine All-Star,1909,ML,NULL,P3
adamsba01,Baseball Magazine All-Star,1909,ML,NULL,P4
planked01,Baseball Magazine All-Star,1909,ML,NULL,P5
johnswa01,Baseball Magazine All-Star,1909,ML,NULL,P6
cobbty01,Baseball Magazine All-Star,1909,ML,NULL,RF
wagneho01,Baseball Magazine All-Star,1909,ML,NULL,SS
chancfr01,Baseball Magazine All-Star,1909,NL,NULL,1B
eversjo01,Baseball Magazine All-Star,1909,NL,NULL,2B
devliar01,Baseball Magazine All-Star,1909,NL,NULL,3B
klingjo01,Baseball Magazine All-Star,1909,NL,NULL,C1
gibsoge01,Baseball Magazine All-Star,1909,NL,NULL,C2
bresnro01,Baseball Magazine All-Star,1909,NL,NULL,C3
leachto01,Baseball Magazine All-Star,1909,NL,NULL,CF
clarkfr01,Baseball Magazine All-Star,1909,NL,NULL,LF
mathech01,Baseball Magazine All-Star,1909,NL,NULL,P1
brownmo01,Baseball Magazine All-Star,1909,NL,NULL,P2
reulbed01,Baseball Magazine All-Star,1909,NL,NULL,P3
camniho01,Baseball Magazine All-Star,1909,NL,NULL,P4
adamsba01,Baseball Magazine All-Star,1909,NL,NULL,P5
hofmaso01,Baseball Magazine All-Star,1909,NL,NULL,RF
wagneho01,Baseball Magazine All-Star,1909,NL,NULL,SS
cobbty01,Triple Crown,1909,AL,NULL,NULL
chaseha01,Baseball Magazine All-Star,1910,AL,NULL,1B
lajoina01,Baseball Magazine All-Star,1910,AL,NULL,2B
lordha01,Baseball Magazine All-Star,1910,AL,NULL,3B
thomair01,Baseball Magazine All-Star,1910,AL,NULL,C1
sweened01,Baseball Magazine All-Star,1910,AL,NULL,C2
speaktr01,Baseball Magazine All-Star,1910,AL,NULL,CF
stonege01,Baseball Magazine All-Star,1910,AL,NULL,LF
walshed01,Baseball Magazine All-Star,1910,AL,NULL,P1
coombja01,Baseball Magazine All-Star,1910,AL,NULL,P2
bendech01,Baseball Magazine All-Star,1910,AL,NULL,P3
cobbty01,Baseball Magazine All-Star,1910,AL,NULL,RF
wallabo01,Baseball Magazine All-Star,1910,AL,NULL,SS
