question,sql
what is the full name and id of the college with the largest number of baseball players?,"SELECT `t1`.`name_full`, `t1`.`college_id` FROM `college` AS `t1` JOIN `player_college` AS `t2` ON `t1`.`college_id` = `t2`.`college_id` GROUP BY `t1`.`name_full`, `t1`.`college_id` ORDER BY COUNT(*) DESC LIMIT 1"
Find the full name and id of the college that has the most baseball players.,"SELECT `t1`.`name_full`, `t1`.`college_id` FROM `college` AS `t1` JOIN `player_college` AS `t2` ON `t1`.`college_id` = `t2`.`college_id` GROUP BY `t1`.`name_full`, `t1`.`college_id` ORDER BY COUNT(*) DESC LIMIT 1"
What is average salary of the players in the team named 'Boston Red Stockings' ?,SELECT AVG(`t1`.`salary`) FROM `salary` AS `t1` JOIN `team` AS `t2` ON `t1`.`team_id` = `t2`.`team_id_br` WHERE `t2`.`name` = 'Boston Red Stockings'
Compute the average salary of the players in the team called 'Boston Red Stockings'.,SELECT AVG(`t1`.`salary`) FROM `salary` AS `t1` JOIN `team` AS `t2` ON `t1`.`team_id` = `t2`.`team_id_br` WHERE `t2`.`name` = 'Boston Red Stockings'
What are first and last names of players participating in all star game in 1998?,"SELECT `name_first`, `name_last` FROM `player` AS `t1` JOIN `all_star` AS `t2` ON `t1`.`player_id` = `t2`.`player_id` WHERE `YEAR` = 1998"
List the first and last name for players who participated in all star game in 1998.,"SELECT `name_first`, `name_last` FROM `player` AS `t1` JOIN `all_star` AS `t2` ON `t1`.`player_id` = `t2`.`player_id` WHERE `YEAR` = 1998"
"What are the first name, last name and id of the player with the most all star game experiences? Also list the count.","SELECT `t1`.`name_first`, `t1`.`name_last`, `t1`.`player_id`, COUNT(*) FROM `player` AS `t1` JOIN `all_star` AS `t2` ON `t1`.`player_id` = `t2`.`player_id` GROUP BY `t1`.`name_first`, `t1`.`name_last`, `t1`.`player_id` ORDER BY COUNT(*) DESC LIMIT 1"
"Which player has the most all star game experiences? Give me the first name, last name and id of the player, as well as the number of times the player participated in all star game.","SELECT `t1`.`name_first`, `t1`.`name_last`, `t1`.`player_id`, COUNT(*) FROM `player` AS `t1` JOIN `all_star` AS `t2` ON `t1`.`player_id` = `t2`.`player_id` GROUP BY `t1`.`name_first`, `t1`.`name_last`, `t1`.`player_id` ORDER BY COUNT(*) DESC LIMIT 1"
How many players enter hall of fame each year?,"SELECT `yearid`, COUNT(*) FROM `hall_of_fame` GROUP BY `yearid`"
Count the number of players who enter hall of fame for each year.,"SELECT `yearid`, COUNT(*) FROM `hall_of_fame` GROUP BY `yearid`"
