question,sql
How many main stream browsers whose market share is at least 5 exist?,SELECT COUNT(*) FROM `browser` WHERE `market_share` >= 5
List the name of browsers in descending order by market share.,SELECT `name` FROM `browser` ORDER BY `market_share` DESC
"List the ids, names and market shares of all browsers.","SELECT `id`, `name`, `market_share` FROM `browser`"
"What is the maximum, minimum and average market share of the listed browsers?","SELECT MAX(`market_share`), MIN(`market_share`), AVG(`market_share`) FROM `browser`"
What is the id and market share of the browser Safari?,"SELECT `id`, `market_share` FROM `browser` WHERE `name` = 'Safari'"
What are the name and os of web client accelerators that do not work with only a 'Broadband' type connection?,"SELECT `name`, `operating_system` FROM `Web_client_accelerator` WHERE `CONNECTION` <> 'Broadband'"
What is the name of the browser that became compatible with the accelerator 'CProxy' after year 1998 ?,SELECT `t1`.`name` FROM `browser` AS `t1` JOIN `accelerator_compatible_browser` AS `t2` ON `t1`.`id` = `t2`.`browser_id` JOIN `Web_client_accelerator` AS `t3` ON `t2`.`accelerator_id` = `t3`.`id` WHERE `t3`.`name` = 'CProxy' AND `t2`.`compatible_since_year` > 1998
What are the ids and names of the web accelerators that are compatible with two or more browsers?,"SELECT `t1`.`id`, `t1`.`Name` FROM `Web_client_accelerator` AS `t1` JOIN `accelerator_compatible_browser` AS `t2` ON `t2`.`accelerator_id` = `t1`.`id` GROUP BY `t1`.`id`, `t1`.`Name` HAVING COUNT(*) >= 2"
What is the id and name of the browser that is compatible with the most web accelerators?,"SELECT `t1`.`id`, `t1`.`name` FROM `browser` AS `t1` JOIN `accelerator_compatible_browser` AS `t2` ON `t1`.`id` = `t2`.`browser_id` GROUP BY `t1`.`id`, `t1`.`name` ORDER BY COUNT(*) DESC LIMIT 1"
When did the web accelerator 'CACHEbox' and browser 'Internet Explorer' become compatible?,SELECT `t1`.`compatible_since_year` FROM `accelerator_compatible_browser` AS `t1` JOIN `browser` AS `t2` ON `t1`.`browser_id` = `t2`.`id` JOIN `Web_client_accelerator` AS `t3` ON `t1`.`accelerator_id` = `t3`.`id` WHERE `t3`.`name` = 'CACHEbox' AND `t2`.`name` = 'Internet Explorer'
How many different kinds of clients are supported by the web clients accelerators?,SELECT COUNT(DISTINCT `client`) FROM `Web_client_accelerator`
How many accelerators are not compatible with the browsers listed ?,SELECT COUNT(*) FROM `Web_client_accelerator` WHERE NOT `id` IN (SELECT `accelerator_id` FROM `accelerator_compatible_browser`)
What distinct accelerator names are compatible with the browswers that have market share higher than 15?,SELECT DISTINCT `t1`.`name` FROM `Web_client_accelerator` AS `t1` JOIN `accelerator_compatible_browser` AS `t2` ON `t2`.`accelerator_id` = `t1`.`id` JOIN `browser` AS `t3` ON `t2`.`browser_id` = `t3`.`id` WHERE `t3`.`market_share` > 15
List the names of the browser that are compatible with both 'CACHEbox' and 'Fasterfox'.,SELECT `t3`.`name` FROM `Web_client_accelerator` AS `t1` JOIN `accelerator_compatible_browser` AS `t2` ON `t2`.`accelerator_id` = `t1`.`id` JOIN `browser` AS `t3` ON `t2`.`browser_id` = `t3`.`id` WHERE `t1`.`name` = 'CACHEbox' INTERSECT SELECT `t3`.`name` FROM `Web_client_accelerator` AS `t1` JOIN `accelerator_compatible_browser` AS `t2` ON `t2`.`accelerator_id` = `t1`.`id` JOIN `browser` AS `t3` ON `t2`.`browser_id` = `t3`.`id` WHERE `t1`.`name` = 'Fasterfox'
Show the accelerator names and supporting operating systems that are not compatible with the browser named 'Opera'.,"SELECT `name`, `operating_system` FROM `Web_client_accelerator` EXCEPT SELECT `t1`.`name`, `t1`.`operating_system` FROM `Web_client_accelerator` AS `t1` JOIN `accelerator_compatible_browser` AS `t2` ON `t2`.`accelerator_id` = `t1`.`id` JOIN `browser` AS `t3` ON `t2`.`browser_id` = `t3`.`id` WHERE `t3`.`name` = 'Opera'"
"Which accelerator name contains substring ""Opera""?",SELECT `name` FROM `Web_client_accelerator` WHERE `name` LIKE '%Opera%'
Find the number of web accelerators used for each Operating system.,"SELECT `Operating_system`, COUNT(*) FROM `Web_client_accelerator` GROUP BY `Operating_system`"
give me names of all compatible browsers and accelerators in the descending order of compatible year,"SELECT `t2`.`name`, `t3`.`name` FROM `accelerator_compatible_browser` AS `t1` JOIN `browser` AS `t2` ON `t1`.`browser_id` = `t2`.`id` JOIN `Web_client_accelerator` AS `t3` ON `t1`.`accelerator_id` = `t3`.`id` ORDER BY `t1`.`compatible_since_year` DESC"
