question,sql
How many candidates are there?,SELECT COUNT(*) FROM `candidate`
Count the number of candidates.,SELECT COUNT(*) FROM `candidate`
Which poll resource provided the most number of candidate information?,SELECT `poll_source` FROM `candidate` GROUP BY `poll_source` ORDER BY COUNT(*) DESC LIMIT 1
Return the poll resource associated with the most candidates.,SELECT `poll_source` FROM `candidate` GROUP BY `poll_source` ORDER BY COUNT(*) DESC LIMIT 1
what are the top 3 highest support rates?,SELECT `support_rate` FROM `candidate` ORDER BY `support_rate` DESC LIMIT 3
Return the top 3 greatest support rates.,SELECT `support_rate` FROM `candidate` ORDER BY `support_rate` DESC LIMIT 3
Find the id of the candidate who got the lowest oppose rate.,SELECT `Candidate_ID` FROM `candidate` ORDER BY `oppose_rate` LIMIT 1
What is the id of the candidate with the lowest oppose rate?,SELECT `Candidate_ID` FROM `candidate` ORDER BY `oppose_rate` LIMIT 1
"Please list support, consider, and oppose rates for each candidate in ascending order by unsure rate.","SELECT `Support_rate`, `Consider_rate`, `Oppose_rate` FROM `candidate` ORDER BY `unsure_rate`"
"What are the support, consider, and oppose rates of each candidate, ordered ascending by their unsure rate?","SELECT `Support_rate`, `Consider_rate`, `Oppose_rate` FROM `candidate` ORDER BY `unsure_rate`"
which poll source does the highest oppose rate come from?,SELECT `poll_source` FROM `candidate` ORDER BY `oppose_rate` DESC LIMIT 1
Return the poll source corresponding to the candidate who has the oppose rate.,SELECT `poll_source` FROM `candidate` ORDER BY `oppose_rate` DESC LIMIT 1
List all people names in the order of their date of birth from old to young.,SELECT `name` FROM `people` ORDER BY `date_of_birth`
"What are the names of all people, ordered by their date of birth?",SELECT `name` FROM `people` ORDER BY `date_of_birth`
Find the average height and weight for all males (sex is M).,"SELECT AVG(`height`), AVG(`weight`) FROM `people` WHERE `sex` = 'M'"
What are the average height and weight across males (sex is M)?,"SELECT AVG(`height`), AVG(`weight`) FROM `people` WHERE `sex` = 'M'"
find the names of people who are taller than 200 or lower than 190.,SELECT `name` FROM `people` WHERE `height` > 200 OR `height` < 190
What are the names of people who have a height greater than 200 or less than 190?,SELECT `name` FROM `people` WHERE `height` > 200 OR `height` < 190
Find the average and minimum weight for each gender.,"SELECT AVG(`weight`), MIN(`weight`), `sex` FROM `people` GROUP BY `sex`"
