question,sql
How many albums are there?,SELECT COUNT(*) FROM `ALBUM`
Find the number of albums.,SELECT COUNT(*) FROM `ALBUM`
List the names of all music genres.,SELECT `Name` FROM `GENRE`
What are the names of different music genres?,SELECT `Name` FROM `GENRE`
Find all the customer information in state NY.,SELECT * FROM `CUSTOMER` WHERE `State` = `NY`
What is all the customer information for customers in NY state?,SELECT * FROM `CUSTOMER` WHERE `State` = `NY`
What are the first names and last names of the employees who live in Calgary city.,"SELECT `FirstName`, `LastName` FROM `EMPLOYEE` WHERE `City` = `Calgary`"
Find the full names of employees living in the city of Calgary.,"SELECT `FirstName`, `LastName` FROM `EMPLOYEE` WHERE `City` = `Calgary`"
What are the distinct billing countries of the invoices?,SELECT DISTINCT (`BillingCountry`) FROM `INVOICE`
Find the different billing countries for all invoices.,SELECT DISTINCT (`BillingCountry`) FROM `INVOICE`
"Find the names of all artists that have ""a"" in their names.",SELECT `Name` FROM `ARTIST` WHERE `Name` LIKE `%a%`
What are the names of artist who have the letter 'a' in their names?,SELECT `Name` FROM `ARTIST` WHERE `Name` LIKE `%a%`
"Find the title of all the albums of the artist ""AC/DC"".",SELECT `Title` FROM `ALBUM` AS `T1` JOIN `ARTIST` AS `T2` ON `T1`.`ArtistId` = `T2`.`ArtistId` WHERE `T2`.`Name` = `AC/DC`
"What are the titles of albums by the artist ""AC/DC""?",SELECT `Title` FROM `ALBUM` AS `T1` JOIN `ARTIST` AS `T2` ON `T1`.`ArtistId` = `T2`.`ArtistId` WHERE `T2`.`Name` = `AC/DC`
"Hom many albums does the artist ""Metallica"" have?",SELECT COUNT(*) FROM `ALBUM` AS `T1` JOIN `ARTIST` AS `T2` ON `T1`.`ArtistId` = `T2`.`ArtistId` WHERE `T2`.`Name` = `Metallica`
"Find the number of albums by the artist ""Metallica"".",SELECT COUNT(*) FROM `ALBUM` AS `T1` JOIN `ARTIST` AS `T2` ON `T1`.`ArtistId` = `T2`.`ArtistId` WHERE `T2`.`Name` = `Metallica`
"Which artist does the album ""Balls to the Wall"" belong to?",SELECT `T2`.`Name` FROM `ALBUM` AS `T1` JOIN `ARTIST` AS `T2` ON `T1`.`ArtistId` = `T2`.`ArtistId` WHERE `T1`.`Title` = `Balls to the Wall`
"Find the name of the artist who made the album ""Balls to the Wall"".",SELECT `T2`.`Name` FROM `ALBUM` AS `T1` JOIN `ARTIST` AS `T2` ON `T1`.`ArtistId` = `T2`.`ArtistId` WHERE `T1`.`Title` = `Balls to the Wall`
Which artist has the most albums?,SELECT `T2`.`Name` FROM `ALBUM` AS `T1` JOIN `ARTIST` AS `T2` ON `T1`.`ArtistId` = `T2`.`ArtistId` GROUP BY `T2`.`Name` ORDER BY COUNT(*) DESC LIMIT 1
What is the name of the artist with the greatest number of albums?,SELECT `T2`.`Name` FROM `ALBUM` AS `T1` JOIN `ARTIST` AS `T2` ON `T1`.`ArtistId` = `T2`.`ArtistId` GROUP BY `T2`.`Name` ORDER BY COUNT(*) DESC LIMIT 1
"Find the names of all the tracks that contain the word ""you"".",SELECT `Name` FROM `TRACK` WHERE `Name` LIKE '%you%'
What are the names of tracks that contain the the word you in them?,SELECT `Name` FROM `TRACK` WHERE `Name` LIKE '%you%'
What is the average unit price of all the tracks?,SELECT AVG(`UnitPrice`) FROM `TRACK`
Find the average unit price for a track.,SELECT AVG(`UnitPrice`) FROM `TRACK`
What are the durations of the longest and the shortest tracks in milliseconds?,"SELECT MAX(`Milliseconds`), MIN(`Milliseconds`) FROM `TRACK`"
Find the maximum and minimum durations of tracks in milliseconds.,"SELECT MAX(`Milliseconds`), MIN(`Milliseconds`) FROM `TRACK`"
"Show the album names, ids and the number of tracks for each album.","SELECT `T1`.`Title`, `T2`.`AlbumID`, COUNT(*) FROM `ALBUM` AS `T1` JOIN `TRACK` AS `T2` ON `T1`.`AlbumId` = `T2`.`AlbumId` GROUP BY `T2`.`AlbumID`"
"What are the names and ids of the different albums, and how many tracks are on each?","SELECT `T1`.`Title`, `T2`.`AlbumID`, COUNT(*) FROM `ALBUM` AS `T1` JOIN `TRACK` AS `T2` ON `T1`.`AlbumId` = `T2`.`AlbumId` GROUP BY `T2`.`AlbumID`"
What is the name of the most common genre in all tracks?,SELECT `T1`.`Name` FROM `GENRE` AS `T1` JOIN `TRACK` AS `T2` ON `T1`.`GenreId` = `T2`.`GenreId` GROUP BY `T2`.`GenreId` ORDER BY COUNT(*) DESC LIMIT 1
Find the name of the genre that is most frequent across all tracks.,SELECT `T1`.`Name` FROM `GENRE` AS `T1` JOIN `TRACK` AS `T2` ON `T1`.`GenreId` = `T2`.`GenreId` GROUP BY `T2`.`GenreId` ORDER BY COUNT(*) DESC LIMIT 1
What is the least common media type in all tracks?,SELECT `T1`.`Name` FROM `MEDIATYPE` AS `T1` JOIN `TRACK` AS `T2` ON `T1`.`MediaTypeId` = `T2`.`MediaTypeId` GROUP BY `T2`.`MediaTypeId` ORDER BY COUNT(*) ASC LIMIT 1
What is the name of the media type that is least common across all tracks?,SELECT `T1`.`Name` FROM `MEDIATYPE` AS `T1` JOIN `TRACK` AS `T2` ON `T1`.`MediaTypeId` = `T2`.`MediaTypeId` GROUP BY `T2`.`MediaTypeId` ORDER BY COUNT(*) ASC LIMIT 1
