question,sql
What is id of the city that hosted events in the most recent year?,SELECT `host_city` FROM `hosting_city` ORDER BY `YEAR` DESC LIMIT 1
Find the city that hosted some events in the most recent year. What is the id of this city?,SELECT `host_city` FROM `hosting_city` ORDER BY `YEAR` DESC LIMIT 1
"Find the match ids of the cities that hosted competition ""1994 FIFA World Cup qualification""?",SELECT `match_id` FROM `match` WHERE `competition` = '1994 FIFA World Cup qualification'
"What is the match id of the competition called ""1994 FIFA World Cup qualification""?",SELECT `match_id` FROM `match` WHERE `competition` = '1994 FIFA World Cup qualification'
Find the cities which were once a host city after 2010?,SELECT `t1`.`city` FROM `city` AS `t1` JOIN `hosting_city` AS `t2` ON `t1`.`city_id` = `t2`.`host_city` WHERE `t2`.`year` > 2010
Which cities served as a host city after 2010?,SELECT `t1`.`city` FROM `city` AS `t1` JOIN `hosting_city` AS `t2` ON `t1`.`city_id` = `t2`.`host_city` WHERE `t2`.`year` > 2010
Which city has hosted the most events?,SELECT `t1`.`city` FROM `city` AS `t1` JOIN `hosting_city` AS `t2` ON `t1`.`city_id` = `t2`.`host_city` GROUP BY `t1`.`city` ORDER BY COUNT(*) DESC LIMIT 1
Find the city that hosted the most events.,SELECT `t1`.`city` FROM `city` AS `t1` JOIN `hosting_city` AS `t2` ON `t1`.`city_id` = `t2`.`host_city` GROUP BY `t1`.`city` ORDER BY COUNT(*) DESC LIMIT 1
"What is the venue of the competition ""1994 FIFA World Cup qualification"" hosted by ""Nanjing ( Jiangsu )""?",SELECT `t3`.`venue` FROM `city` AS `t1` JOIN `hosting_city` AS `t2` ON `t1`.`city_id` = `t2`.`host_city` JOIN `match` AS `t3` ON `t2`.`match_id` = `t3`.`match_id` WHERE `t1`.`city` = 'Nanjing ( Jiangsu )' AND `t3`.`competition` = '1994 FIFA World Cup qualification'
"Find the venue of the competition ""1994 FIFA World Cup qualification"" which was hosted by ""Nanjing ( Jiangsu )"".",SELECT `t3`.`venue` FROM `city` AS `t1` JOIN `hosting_city` AS `t2` ON `t1`.`city_id` = `t2`.`host_city` JOIN `match` AS `t3` ON `t2`.`match_id` = `t3`.`match_id` WHERE `t1`.`city` = 'Nanjing ( Jiangsu )' AND `t3`.`competition` = '1994 FIFA World Cup qualification'
