question,sql
How many clubs are there?,SELECT COUNT(*) FROM `Club`
Count the total number of clubs.,SELECT COUNT(*) FROM `Club`
What are the names of all clubs?,SELECT `clubname` FROM `Club`
Give me the name of each club.,SELECT `clubname` FROM `Club`
How many students are there?,SELECT COUNT(*) FROM `Student`
Count the total number of students.,SELECT COUNT(*) FROM `Student`
What are the first names of all the students?,SELECT DISTINCT `fname` FROM `Student`
Find each student's first name.,SELECT DISTINCT `fname` FROM `Student`
"Find the last names of the members of the club ""Bootup Baltimore"".",SELECT `t3`.`lname` FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t1`.`clubname` = 'Bootup Baltimore'
"Who are the members of the club named ""Bootup Baltimore""? Give me their last names.",SELECT `t3`.`lname` FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t1`.`clubname` = 'Bootup Baltimore'
"Who are the members of the club named ""Hopkins Student Enterprises""? Show the last name.",SELECT `t3`.`lname` FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t1`.`clubname` = 'Hopkins Student Enterprises'
"Return the last name for the members of the club named ""Hopkins Student Enterprises"".",SELECT `t3`.`lname` FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t1`.`clubname` = 'Hopkins Student Enterprises'
"How many members does the club ""Tennis Club"" has?",SELECT COUNT(*) FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t1`.`clubname` = 'Tennis Club'
"Count the members of the club ""Tennis Club"".",SELECT COUNT(*) FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t1`.`clubname` = 'Tennis Club'
"Find the number of members of club ""Pen and Paper Gaming"".",SELECT COUNT(*) FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t1`.`clubname` = 'Pen and Paper Gaming'
"How many people have membership in the club ""Pen and Paper Gaming""?",SELECT COUNT(*) FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t1`.`clubname` = 'Pen and Paper Gaming'
"How many clubs does ""Linda Smith"" belong to?",SELECT COUNT(*) FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t3`.`fname` = 'Linda' AND `t3`.`lname` = 'Smith'
"How many clubs does ""Linda Smith"" have membership for?",SELECT COUNT(*) FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t3`.`fname` = 'Linda' AND `t3`.`lname` = 'Smith'
"Find the number of clubs where ""Tracy Kim"" is a member.",SELECT COUNT(*) FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t3`.`fname` = 'Tracy' AND `t3`.`lname` = 'Kim'
"For how many clubs is ""Tracy Kim"" a member?",SELECT COUNT(*) FROM `Club` AS `t1` JOIN `Member_of_club` AS `t2` ON `t1`.`clubid` = `t2`.`clubid` JOIN `Student` AS `t3` ON `t2`.`stuid` = `t3`.`stuid` WHERE `t3`.`fname` = 'Tracy' AND `t3`.`lname` = 'Kim'
