question,sql
How many courses are there in total?,SELECT COUNT(*) FROM `Course`
Count the number of courses.,SELECT COUNT(*) FROM `Course`
How many courses have more than 2 credits?,SELECT COUNT(*) FROM `Course` WHERE `Credits` > 2
Count the number of courses with more than 2 credits.,SELECT COUNT(*) FROM `Course` WHERE `Credits` > 2
List all names of courses with 1 credit?,SELECT `CName` FROM `Course` WHERE `Credits` = 1
What are the names of courses with 1 credit?,SELECT `CName` FROM `Course` WHERE `Credits` = 1
Which courses are taught on days MTW?,SELECT `CName` FROM `Course` WHERE `Days` = 'MTW'
What are the course names for courses taught on MTW?,SELECT `CName` FROM `Course` WHERE `Days` = 'MTW'
"What is the number of departments in Division ""AS""?",SELECT COUNT(*) FROM `Department` WHERE `Division` = 'AS'
How many departments are in the division AS?,SELECT COUNT(*) FROM `Department` WHERE `Division` = 'AS'
What are the phones of departments in Room 268?,SELECT `DPhone` FROM `Department` WHERE `Room` = 268
Give the phones for departments in room 268.,SELECT `DPhone` FROM `Department` WHERE `Room` = 268
"Find the number of students that have at least one grade ""B"".",SELECT COUNT(DISTINCT `StuID`) FROM `Enrolled_in` WHERE `Grade` = 'B'
"How many students have had at least one ""B"" grade?",SELECT COUNT(DISTINCT `StuID`) FROM `Enrolled_in` WHERE `Grade` = 'B'
Find the max and min grade point for all letter grade.,"SELECT MAX(`gradepoint`), MIN(`gradepoint`) FROM `Gradeconversion`"
What are the maximum and minumum grade points?,"SELECT MAX(`gradepoint`), MIN(`gradepoint`) FROM `Gradeconversion`"
"Find the first names of students whose first names contain letter ""a"".",SELECT DISTINCT `Fname` FROM `Student` WHERE `Fname` LIKE '%a%'
"What are the first names for students who have an ""a"" in their first name?",SELECT DISTINCT `Fname` FROM `Student` WHERE `Fname` LIKE '%a%'
Find the first names and last names of male (sex is M) faculties who live in building NEB.,"SELECT `Fname`, `Lname` FROM `Faculty` WHERE `sex` = 'M' AND `Building` = 'NEB'"
What are the full names of faculties with sex M and who live in building NEB?,"SELECT `Fname`, `Lname` FROM `Faculty` WHERE `sex` = 'M' AND `Building` = 'NEB'"
Find the rooms of faculties with rank professor who live in building NEB.,SELECT `Room` FROM `Faculty` WHERE `Rank` = 'Professor' AND `Building` = 'NEB'
What are the rooms for members of the faculty who are professors and who live in building NEB?,SELECT `Room` FROM `Faculty` WHERE `Rank` = 'Professor' AND `Building` = 'NEB'
"Find the department name that is in Building ""Mergenthaler"".",SELECT `DName` FROM `Department` WHERE `Building` = 'Mergenthaler'
What is the name of the department in the Building Mergenthaler?,SELECT `DName` FROM `Department` WHERE `Building` = 'Mergenthaler'
List all information about courses sorted by credits in the ascending order.,SELECT * FROM `Course` ORDER BY `Credits`
"What is all the information about courses, ordered by credits ascending?",SELECT * FROM `Course` ORDER BY `Credits`
List the course name of courses sorted by credits.,SELECT `CName` FROM `Course` ORDER BY `Credits`
"What are the course names, ordered by credits?",SELECT `CName` FROM `Course` ORDER BY `Credits`
Find the first name of students in the descending order of age.,SELECT `Fname` FROM `Student` ORDER BY `Age` DESC
"What are the first names of students, ordered by age from greatest to least?",SELECT `Fname` FROM `Student` ORDER BY `Age` DESC
Find the last name of female (sex is F) students in the descending order of age.,SELECT `LName` FROM `Student` WHERE `Sex` = 'F' ORDER BY `Age` DESC
"What are the last names of female students, ordered by age descending?",SELECT `LName` FROM `Student` WHERE `Sex` = 'F' ORDER BY `Age` DESC
Find the last names of faculties in building Barton in alphabetic order.,SELECT `Lname` FROM `Faculty` WHERE `Building` = 'Barton' ORDER BY `Lname`
"What are the last names of faculty in building Barton, sorted by last name?",SELECT `Lname` FROM `Faculty` WHERE `Building` = 'Barton' ORDER BY `Lname`
Find the first names of faculties of rank Professor in alphabetic order.,SELECT `Fname` FROM `Faculty` WHERE `Rank` = 'Professor' ORDER BY `Fname`
"What are the first names for all faculty professors, ordered by first name?",SELECT `Fname` FROM `Faculty` WHERE `Rank` = 'Professor' ORDER BY `Fname`
Find the name of the department that has the biggest number of students minored in?,SELECT `t1`.`DName` FROM `Department` AS `t1` JOIN `Minor_in` AS `t2` ON `t1`.`DNO` = `t2`.`DNO` GROUP BY `t1`.`DName` ORDER BY COUNT(*) DESC LIMIT 1
What is the name of the department with the most students minoring in it?,SELECT `t1`.`DName` FROM `Department` AS `t1` JOIN `Minor_in` AS `t2` ON `t1`.`DNO` = `t2`.`DNO` GROUP BY `t1`.`DName` ORDER BY COUNT(*) DESC LIMIT 1
Find the name of the department that has no students minored in?,SELECT `DName` FROM `Department` EXCEPT SELECT `t1`.`DName` FROM `Department` AS `t1` JOIN `Minor_in` AS `t2` ON `t1`.`DNO` = `t2`.`DNO`
What is the name of the department htat has no students minoring in it?,SELECT `DName` FROM `Department` EXCEPT SELECT `t1`.`DName` FROM `Department` AS `t1` JOIN `Minor_in` AS `t2` ON `t1`.`DNO` = `t2`.`DNO`
Find the name of the department that has the fewest members.,SELECT `t1`.`DName` FROM `Department` AS `t1` JOIN `Member_of` AS `t2` ON `t1`.`DNO` = `t2`.`DNO` GROUP BY `t1`.`DName` ORDER BY COUNT(*) ASC LIMIT 1
What is the name of the department with the fewest members?,SELECT `t1`.`DName` FROM `Department` AS `t1` JOIN `Member_of` AS `t2` ON `t1`.`DNO` = `t2`.`DNO` GROUP BY `t1`.`DName` ORDER BY COUNT(*) ASC LIMIT 1
Find the rank of the faculty that the fewest faculties belong to.,SELECT `Rank` FROM `Faculty` GROUP BY `Rank` ORDER BY COUNT(*) ASC LIMIT 1
What is the least common faculty rank?,SELECT `Rank` FROM `Faculty` GROUP BY `Rank` ORDER BY COUNT(*) ASC LIMIT 1
What are the first and last names of the instructors who teach the top 3 number of courses?,"SELECT `t2`.`Fname`, `t2`.`Lname` FROM `Course` AS `t1` JOIN `Faculty` AS `t2` ON `t1`.`Instructor` = `t2`.`FacID` GROUP BY `t2`.`Fname`, `t2`.`Lname` ORDER BY COUNT(*) DESC LIMIT 3"
What are the full names of the 3 instructors who teach the most courses?,"SELECT `t2`.`Fname`, `t2`.`Lname` FROM `Course` AS `t1` JOIN `Faculty` AS `t2` ON `t1`.`Instructor` = `t2`.`FacID` GROUP BY `t2`.`Fname`, `t2`.`Lname` ORDER BY COUNT(*) DESC LIMIT 3"
Which building does the instructor who teaches the most number of courses live in?,SELECT `t2`.`Building` FROM `Course` AS `t1` JOIN `Faculty` AS `t2` ON `t1`.`Instructor` = `t2`.`FacID` GROUP BY `t2`.`Building` ORDER BY COUNT(*) DESC LIMIT 1
Give the building that the instructor who teaches the greatest number of courses lives in.,SELECT `t2`.`Building` FROM `Course` AS `t1` JOIN `Faculty` AS `t2` ON `t1`.`Instructor` = `t2`.`FacID` GROUP BY `t2`.`Building` ORDER BY COUNT(*) DESC LIMIT 1
What are the name of courses that have at least five enrollments?,SELECT `t1`.`CName` FROM `Course` AS `t1` JOIN `Enrolled_in` AS `t2` ON `t1`.`CID` = `t2`.`CID` GROUP BY `t1`.`CName` HAVING COUNT(*) >= 5
Give the names of the courses with at least five enrollments.,SELECT `t1`.`CName` FROM `Course` AS `t1` JOIN `Enrolled_in` AS `t2` ON `t1`.`CID` = `t2`.`CID` GROUP BY `t1`.`CName` HAVING COUNT(*) >= 5
Find the first name and last name of the instructor of course that has course name,"SELECT `t2`.`Fname`, `t2`.`Lname` FROM `Course` AS `t1` JOIN `Faculty` AS `t2` ON `t1`.`Instructor` = `t2`.`FacID` WHERE `t1`.`CName` = 'COMPUTER LITERACY'"
What is the full name of the instructor who has a course named COMPUTER LITERACY?,"SELECT `t2`.`Fname`, `t2`.`Lname` FROM `Course` AS `t1` JOIN `Faculty` AS `t2` ON `t1`.`Instructor` = `t2`.`FacID` WHERE `t1`.`CName` = 'COMPUTER LITERACY'"
