question,sql
How many companies are there?,SELECT COUNT(*) FROM `Companies`
Count the number of companies.,SELECT COUNT(*) FROM `Companies`
List the names of companies in descending order of market value.,SELECT `name` FROM `Companies` ORDER BY `Market_Value_billion` DESC
Sort the company names in descending order of the company's market value.,SELECT `name` FROM `Companies` ORDER BY `Market_Value_billion` DESC
"What are the names of companies whose headquarters are not ""USA""?",SELECT `name` FROM `Companies` WHERE `Headquarters` <> 'USA'
"Find the names of the companies whose headquarters are not located in ""USA"".",SELECT `name` FROM `Companies` WHERE `Headquarters` <> 'USA'
"What are the name and assets of each company, sorted in ascending order of company name?","SELECT `name`, `Assets_billion` FROM `Companies` ORDER BY `name` ASC"
List the name and assets of each company in ascending order of company name.,"SELECT `name`, `Assets_billion` FROM `Companies` ORDER BY `name` ASC"
What are the average profits of companies?,SELECT AVG(`Profits_billion`) FROM `Companies`
Compute the average profits companies make.,SELECT AVG(`Profits_billion`) FROM `Companies`
"What are the maximum and minimum sales of the companies whose industries are not ""Banking"".","SELECT MAX(`Sales_billion`), MIN(`Sales_billion`) FROM `Companies` WHERE `Industry` <> 'Banking'"
"Find the maximum and minimum sales of the companies that are not in the ""Banking"" industry.","SELECT MAX(`Sales_billion`), MIN(`Sales_billion`) FROM `Companies` WHERE `Industry` <> 'Banking'"
How many different industries are the companies in?,SELECT COUNT(DISTINCT `Industry`) FROM `Companies`
Count the number of distinct company industries.,SELECT COUNT(DISTINCT `Industry`) FROM `Companies`
List the names of buildings in descending order of building height.,SELECT `name` FROM `buildings` ORDER BY `Height` DESC
What are the names of buildings sorted in descending order of building height?,SELECT `name` FROM `buildings` ORDER BY `Height` DESC
Find the stories of the building with the largest height.,SELECT `Stories` FROM `buildings` ORDER BY `Height` DESC LIMIT 1
What is the stories of highest building?,SELECT `Stories` FROM `buildings` ORDER BY `Height` DESC LIMIT 1
List the name of a building along with the name of a company whose office is in the building.,"SELECT `t3`.`name`, `t2`.`name` FROM `Office_locations` AS `t1` JOIN `buildings` AS `t2` ON `t1`.`building_id` = `t2`.`id` JOIN `Companies` AS `t3` ON `t1`.`company_id` = `t3`.`id`"
"For each company, return the company name and the name of the building its office is located in.","SELECT `t3`.`name`, `t2`.`name` FROM `Office_locations` AS `t1` JOIN `buildings` AS `t2` ON `t1`.`building_id` = `t2`.`id` JOIN `Companies` AS `t3` ON `t1`.`company_id` = `t3`.`id`"
Show the names of the buildings that have more than one company offices.,SELECT `t2`.`name` FROM `Office_locations` AS `t1` JOIN `buildings` AS `t2` ON `t1`.`building_id` = `t2`.`id` JOIN `Companies` AS `t3` ON `t1`.`company_id` = `t3`.`id` GROUP BY `t2`.`name` HAVING COUNT(*) > 1
Which buildings have more than one company offices? Give me the building names.,SELECT `t2`.`name` FROM `Office_locations` AS `t1` JOIN `buildings` AS `t2` ON `t1`.`building_id` = `t2`.`id` JOIN `Companies` AS `t3` ON `t1`.`company_id` = `t3`.`id` GROUP BY `t2`.`name` HAVING COUNT(*) > 1
Show the name of the building that has the most company offices.,SELECT `t2`.`name` FROM `Office_locations` AS `t1` JOIN `buildings` AS `t2` ON `t1`.`building_id` = `t2`.`id` JOIN `Companies` AS `t3` ON `t1`.`company_id` = `t3`.`id` GROUP BY `t2`.`name` ORDER BY COUNT(*) DESC LIMIT 1
