question,sql
How many calendar items do we have?,SELECT COUNT(*) FROM `Ref_calendar`
Count the number of all the calendar items.,SELECT COUNT(*) FROM `Ref_calendar`
Show all calendar dates and day Numbers.,"SELECT `calendar_date`, `day_Number` FROM `Ref_calendar`"
What are all the calendar dates and day Numbers?,"SELECT `calendar_date`, `day_Number` FROM `Ref_calendar`"
Show the number of document types.,SELECT COUNT(*) FROM `Ref_document_types`
How many document types are there?,SELECT COUNT(*) FROM `Ref_document_types`
List all document type codes and document type names.,"SELECT `document_type_code`, `document_type_name` FROM `Ref_document_types`"
What are all the document type codes and document type names?,"SELECT `document_type_code`, `document_type_name` FROM `Ref_document_types`"
What is the name and description for document type code RV?,"SELECT `document_type_name`, `document_type_description` FROM `Ref_document_types` WHERE `document_type_code` = `RV`"
Give me the name and description of the document type code RV.,"SELECT `document_type_name`, `document_type_description` FROM `Ref_document_types` WHERE `document_type_code` = `RV`"
"What is the document type code for document type ""Paper""?",SELECT `document_type_code` FROM `Ref_document_types` WHERE `document_type_name` = `Paper`
"Find the code of the document type ""Paper"".",SELECT `document_type_code` FROM `Ref_document_types` WHERE `document_type_name` = `Paper`
Show the number of documents with document type code CV or BK.,SELECT COUNT(*) FROM `All_documents` WHERE `document_type_code` = `CV` OR `document_type_code` = `BK`
How many documents have document type code CV or BK?,SELECT COUNT(*) FROM `All_documents` WHERE `document_type_code` = `CV` OR `document_type_code` = `BK`
"What is the date when the document ""Marry CV"" was stored?",SELECT `date_stored` FROM `All_documents` WHERE `Document_name` = `Marry CV`
"When was the document named ""Marry CV"" stored? Give me the date.",SELECT `date_stored` FROM `All_documents` WHERE `Document_name` = `Marry CV`
What is the day Number and date of all the documents?,"SELECT `T2`.`day_Number`, `T1`.`Date_Stored` FROM `All_documents` AS `T1` JOIN `Ref_calendar` AS `T2` ON `T1`.`date_stored` = `T2`.`calendar_date`"
Return the day Number and stored date for all the documents.,"SELECT `T2`.`day_Number`, `T1`.`Date_Stored` FROM `All_documents` AS `T1` JOIN `Ref_calendar` AS `T2` ON `T1`.`date_stored` = `T2`.`calendar_date`"
"What is the document type name for the document with name ""How to read a book""?",SELECT `T2`.`document_type_name` FROM `All_documents` AS `T1` JOIN `Ref_document_types` AS `T2` ON `T1`.`document_type_code` = `T2`.`document_type_code` WHERE `T1`.`document_name` = `How to read a book`
"Find the document type name of the document named ""How to read a book"".",SELECT `T2`.`document_type_name` FROM `All_documents` AS `T1` JOIN `Ref_document_types` AS `T2` ON `T1`.`document_type_code` = `T2`.`document_type_code` WHERE `T1`.`document_name` = `How to read a book`
Show the number of locations.,SELECT COUNT(*) FROM `Ref_locations`
How many locations are listed in the database?,SELECT COUNT(*) FROM `Ref_locations`
List all location codes and location names.,"SELECT `location_code`, `location_name` FROM `Ref_locations`"
