question,sql
How many bookings do we have?,SELECT count(*) FROM BOOKINGS
Count the total number of bookings made.,SELECT count(*) FROM BOOKINGS
List the order dates of all the bookings.,SELECT Order_Date FROM BOOKINGS
What is the order date of each booking?,SELECT Order_Date FROM BOOKINGS
Show all the planned delivery dates and actual delivery dates of bookings.,"SELECT Planned_Delivery_Date ,  Actual_Delivery_Date FROM BOOKINGS"
What are the planned delivery date and actual delivery date for each booking?,"SELECT Planned_Delivery_Date ,  Actual_Delivery_Date FROM BOOKINGS"
How many customers do we have?,SELECT count(*) FROM CUSTOMERS
Count the number of customers recorded.,SELECT count(*) FROM CUSTOMERS
What are the phone and email for customer Harold?,"SELECT Customer_Phone ,  Customer_Email_Address FROM CUSTOMERS WHERE Customer_Name  =  ""Harold"""
"Find the phone number and email address of customer ""Harold"".","SELECT Customer_Phone ,  Customer_Email_Address FROM CUSTOMERS WHERE Customer_Name  =  ""Harold"""
Show all the Store_Name of drama workshop groups.,SELECT Store_Name FROM Drama_Workshop_Groups
What are the store names of drama workshop groups?,SELECT Store_Name FROM Drama_Workshop_Groups
"Show the minimum, average, maximum order quantity of all invoices.","SELECT min(Order_Quantity) ,  avg(Order_Quantity) ,  max(Order_Quantity) FROM INVOICES"
"What are the minimum, average, and maximum quantities ordered? Check all the invoices.","SELECT min(Order_Quantity) ,  avg(Order_Quantity) ,  max(Order_Quantity) FROM INVOICES"
What are the distinct payment method codes in all the invoices?,SELECT DISTINCT payment_method_code FROM INVOICES
Show me the distinct payment method codes from the invoice record.,SELECT DISTINCT payment_method_code FROM INVOICES
What is the description of the marketing region China?,"SELECT Marketing_Region_Descriptrion FROM Marketing_Regions WHERE Marketing_Region_Name  =  ""China"""
Find the marketing region description of China?,"SELECT Marketing_Region_Descriptrion FROM Marketing_Regions WHERE Marketing_Region_Name  =  ""China"""
Show all the distinct product names with price higher than the average.,SELECT DISTINCT Product_Name FROM PRODUCTS WHERE Product_Price  >  (SELECT avg(Product_Price) FROM PRODUCTS)
What are the distinct names of the products that cost more than the average?,SELECT DISTINCT Product_Name FROM PRODUCTS WHERE Product_Price  >  (SELECT avg(Product_Price) FROM PRODUCTS)
What is the name of the most expensive product?,SELECT Product_Name FROM PRODUCTS ORDER BY Product_Price DESC LIMIT 1
Tell me the name of the most pricy product.,SELECT Product_Name FROM PRODUCTS ORDER BY Product_Price DESC LIMIT 1
List all product names in ascending order of price.,SELECT Product_Name FROM Products ORDER BY Product_Price ASC
Sort the names of products in ascending order of their price.,SELECT Product_Name FROM Products ORDER BY Product_Price ASC
What is the phone number of the performer Ashley?,"SELECT Customer_Phone FROM PERFORMERS WHERE Customer_Name  =  ""Ashley"""
"Find the phone number of performer ""Ashley"".","SELECT Customer_Phone FROM PERFORMERS WHERE Customer_Name  =  ""Ashley"""
Show all payment method codes and the number of orders for each code.,"SELECT payment_method_code ,  count(*) FROM INVOICES GROUP BY payment_method_code"
List the distinct payment method codes with the number of orders made,"SELECT payment_method_code ,  count(*) FROM INVOICES GROUP BY payment_method_code"
What is the payment method code used by the most orders?,SELECT payment_method_code FROM INVOICES GROUP BY payment_method_code ORDER BY count(*) DESC LIMIT 1
Find the payment method that is used the most often in all the invoices. Give me its code.,SELECT payment_method_code FROM INVOICES GROUP BY payment_method_code ORDER BY count(*) DESC LIMIT 1
"Which city is the address of the store named ""FJA Filming"" located in?","SELECT T1.City_Town FROM Addresses AS T1 JOIN Stores AS T2 ON T1.Address_ID  =  T2.Address_ID WHERE T2.Store_Name  =  ""FJA Filming"""
"Find the city the store named ""FJA Filming"" is in.","SELECT T1.City_Town FROM Addresses AS T1 JOIN Stores AS T2 ON T1.Address_ID  =  T2.Address_ID WHERE T2.Store_Name  =  ""FJA Filming"""
"What are the states or counties of the address of the stores with marketing region code ""CA""?","SELECT T1.State_County FROM Addresses AS T1 JOIN Stores AS T2 ON T1.Address_ID  =  T2.Address_ID WHERE T2.Marketing_Region_Code  =  ""CA"""
"Find the states or counties where the stores with marketing region code ""CA"" are located.","SELECT T1.State_County FROM Addresses AS T1 JOIN Stores AS T2 ON T1.Address_ID  =  T2.Address_ID WHERE T2.Marketing_Region_Code  =  ""CA"""
What is the name of the marketing region that the store Rob Dinning belongs to?,"SELECT T1.Marketing_Region_Name FROM Marketing_Regions AS T1 JOIN Stores AS T2 ON T1.Marketing_Region_Code  =  T2.Marketing_Region_Code WHERE T2.Store_Name  =  ""Rob Dinning"""
