hotel_id,star_rating_code,pets_allowed_yn,price_range,other_hotel_details
123,5,1,2914989.571,NULL
144,4,NULL,NULL,NULL
172,5,NULL,17012.682586009,NULL
222,5,1,NULL,NULL
239,3,1,NULL,NULL
264,1,1,48525.4530675,NULL
314,5,1,766712918.96763,NULL
331,1,1,NULL,NULL
350,1,NULL,NULL,NULL
373,5,1,250548014.90329,NULL
376,2,NULL,NULL,NULL
379,4,1,38014975.47848,NULL
420,5,1,9393.86291219,NULL
421,3,NULL,5526556.6412,NULL
426,5,NULL,245.067720121,NULL
431,2,1,43.729525,NULL
442,2,1,289775.7331715,NULL
473,1,1,2374.7971074,NULL
514,5,NULL,1381255.81865,NULL
555,5,1,5390.432113,NULL
