question,sql
How many available hotels are there in total?,SELECT COUNT(*) FROM `Hotels`
Find the total number of available hotels.,SELECT COUNT(*) FROM `Hotels`
What are the price ranges of hotels?,SELECT `price_range` FROM `Hotels`
Tell me the price ranges for all the hotels.,SELECT `price_range` FROM `Hotels`
Show all distinct location names.,SELECT DISTINCT `Location_Name` FROM `Locations`
What are the distinct location names?,SELECT DISTINCT `Location_Name` FROM `Locations`
Show the names and details of all the staff members.,"SELECT `Name`, `Other_Details` FROM `Staff`"
What is the name and detail of each staff member?,"SELECT `Name`, `Other_Details` FROM `Staff`"
Show details of all visitors.,SELECT `Tourist_Details` FROM `Visitors`
What is the detail of each visitor?,SELECT `Tourist_Details` FROM `Visitors`
Show the price ranges of hotels with 5 star ratings.,SELECT `price_range` FROM `Hotels` WHERE `star_rating_code` = '5'
What are the price ranges of five star hotels?,SELECT `price_range` FROM `Hotels` WHERE `star_rating_code` = '5'
Show the average price range of hotels that have 5 star ratings and allow pets.,SELECT AVG(`price_range`) FROM `Hotels` WHERE `star_rating_code` = '5' AND `pets_allowed_yn` = 1
What is the average price range of five star hotels that allow pets?,SELECT AVG(`price_range`) FROM `Hotels` WHERE `star_rating_code` = '5' AND `pets_allowed_yn` = 1
"What is the address of the location ""UK Gallery""?",SELECT `Address` FROM `Locations` WHERE `Location_Name` = 'UK Gallery'
"Find the address of the location named ""UK Gallery"".",SELECT `Address` FROM `Locations` WHERE `Location_Name` = 'UK Gallery'
What is the detail of the location UK Gallery?,SELECT `Other_Details` FROM `Locations` WHERE `Location_Name` = 'UK Gallery'
"Return the detail of the location named ""UK Gallery"".",SELECT `Other_Details` FROM `Locations` WHERE `Location_Name` = 'UK Gallery'
"Which location names contain the word ""film""?",SELECT `Location_Name` FROM `Locations` WHERE `Location_Name` LIKE '%film%'
"Find all the locations whose names contain the word ""film"".",SELECT `Location_Name` FROM `Locations` WHERE `Location_Name` LIKE '%film%'
How many distinct names are associated with all the photos?,SELECT COUNT(DISTINCT `Name`) FROM `Photos`
Count the number of distinct names associated with the photos.,SELECT COUNT(DISTINCT `Name`) FROM `Photos`
What are the distinct visit dates?,SELECT DISTINCT `Visit_Date` FROM `Visits`
Find all the distinct visit dates.,SELECT DISTINCT `Visit_Date` FROM `Visits`
What are the names of the tourist attractions that can be accessed by bus?,SELECT `Name` FROM `Tourist_Attractions` WHERE `How_to_Get_There` = 'bus'
Which tourist attractions can we get to by bus? Tell me the names of the attractions.,SELECT `Name` FROM `Tourist_Attractions` WHERE `How_to_Get_There` = 'bus'
What are the names and opening hours of the tourist attractions that can be accessed by bus or walk?,"SELECT `Name`, `Opening_Hours` FROM `Tourist_Attractions` WHERE `How_to_Get_There` = 'bus' OR `How_to_Get_There` = 'walk'"
Find the names and opening hours of the tourist attractions that we get to by bus or walk.,"SELECT `Name`, `Opening_Hours` FROM `Tourist_Attractions` WHERE `How_to_Get_There` = 'bus' OR `How_to_Get_There` = 'walk'"
What are the star rating descriptions of the hotels with price above 10000?,SELECT `t2`.`star_rating_description` FROM `Hotels` AS `t1` JOIN `Ref_Hotel_Star_Ratings` AS `t2` ON `t1`.`star_rating_code` = `t2`.`star_rating_code` WHERE `t1`.`price_range` > 10000
Give me the star rating descriptions of the hotels that cost more than 10000.,SELECT `t2`.`star_rating_description` FROM `Hotels` AS `t1` JOIN `Ref_Hotel_Star_Ratings` AS `t2` ON `t1`.`star_rating_code` = `t2`.`star_rating_code` WHERE `t1`.`price_range` > 10000
What are the details and opening hours of the museums?,"SELECT `t1`.`Museum_Details`, `t2`.`Opening_Hours` FROM `Museums` AS `t1` JOIN `Tourist_Attractions` AS `t2` ON `t1`.`Museum_ID` = `t2`.`Tourist_Attraction_ID`"
