question,sql
How many customers are there?,SELECT COUNT(*) FROM `Customers`
Count the number of customers.,SELECT COUNT(*) FROM `Customers`
"Find the emails and phone numbers of all the customers, ordered by email address and phone number.","SELECT `email_address`, `phone_number` FROM `Customers` ORDER BY `email_address`, `phone_number`"
"What are the emails and phone numbers of all customers, sorted by email address and phone number?","SELECT `email_address`, `phone_number` FROM `Customers` ORDER BY `email_address`, `phone_number`"
"Which city has the least number of customers whose type code is ""Good Credit Rating""?",SELECT `town_city` FROM `Customers` WHERE `customer_type_code` = 'Good Credit Rating' GROUP BY `town_city` ORDER BY COUNT(*) LIMIT 1
"Return the city with the customer type code ""Good Credit Rating"" that had the fewest customers.",SELECT `town_city` FROM `Customers` WHERE `customer_type_code` = 'Good Credit Rating' GROUP BY `town_city` ORDER BY COUNT(*) LIMIT 1
List the name of all products along with the number of complaints that they have received.,"SELECT `t1`.`product_name`, COUNT(*) FROM `Products` AS `t1` JOIN `Complaints` AS `t2` ON `t1`.`product_id` = `t2`.`product_id` GROUP BY `t1`.`product_name`"
"What are all the different product names, and how many complains has each received?","SELECT `t1`.`product_name`, COUNT(*) FROM `Products` AS `t1` JOIN `Complaints` AS `t2` ON `t1`.`product_id` = `t2`.`product_id` GROUP BY `t1`.`product_name`"
Find the emails of customers who has filed a complaints of the product with the most complaints.,SELECT `t1`.`email_address` FROM `Customers` AS `t1` JOIN `Complaints` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` GROUP BY `t1`.`email_address` ORDER BY COUNT(*) LIMIT 1
What are the emails of customers who have filed complaints on the product which has had the greatest number of complaints?,SELECT `t1`.`email_address` FROM `Customers` AS `t1` JOIN `Complaints` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` GROUP BY `t1`.`email_address` ORDER BY COUNT(*) LIMIT 1
Which products has been complained by the customer who has filed least amount of complaints?,"SELECT DISTINCT `t1`.`product_name` FROM `Products` AS `t1` JOIN `Complaints` AS `t2` ON `t1`.`product_id` = `t2`.`product_id`, `Customers` AS `t3` GROUP BY `t1`.`product_name` ORDER BY COUNT(*) LIMIT 1"
Return the names of products that have had complaints filed by the customer who has filed the fewest complaints.,"SELECT DISTINCT `t1`.`product_name` FROM `Products` AS `t1` JOIN `Complaints` AS `t2` ON `t1`.`product_id` = `t2`.`product_id`, `Customers` AS `t3` GROUP BY `t1`.`product_name` ORDER BY COUNT(*) LIMIT 1"
What is the phone number of the customer who has filed the most recent complaint?,SELECT `t1`.`phone_number` FROM `Customers` AS `t1` JOIN `Complaints` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` ORDER BY `t2`.`date_complaint_raised` DESC LIMIT 1
Return the phone number of the customer who filed the complaint that was raised most recently.,SELECT `t1`.`phone_number` FROM `Customers` AS `t1` JOIN `Complaints` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` ORDER BY `t2`.`date_complaint_raised` DESC LIMIT 1
Find the email and phone number of the customers who have never filed a complaint before.,"SELECT `email_address`, `phone_number` FROM `Customers` WHERE NOT `customer_id` IN (SELECT `customer_id` FROM `Complaints`)"
What are the emails and phone numbers of custoemrs who have never filed a complaint?,"SELECT `email_address`, `phone_number` FROM `Customers` WHERE NOT `customer_id` IN (SELECT `customer_id` FROM `Complaints`)"
Find the phone number of all the customers and staff.,SELECT `phone_number` FROM `Customers` UNION SELECT `phone_number` FROM `Staff`
What are the phone numbers of all customers and all staff members?,SELECT `phone_number` FROM `Customers` UNION SELECT `phone_number` FROM `Staff`
