order_id,customer_id,order_status,order_date,order_details
1,15,Cancelled,2018-03-21 11:20:46,NULL
2,3,Cancelled,2018-03-05 06:35:33,NULL
3,5,Delivered,2018-03-04 07:16:22,Second time
4,12,Cancelled,2018-02-28 15:46:06,NULL
5,12,Delivered,2018-03-08 15:30:24,NULL
6,5,Cancelled,2018-03-10 06:12:51,NULL
7,10,Cancelled,2018-03-23 04:39:50,Second time
8,3,Cancelled,2018-03-17 02:51:37,NULL
9,8,Cancelled,2018-03-23 06:25:41,NULL
10,12,Cancelled,2018-03-17 07:13:53,NULL
11,8,Cancelled,2018-03-19 18:05:50,Second time
12,10,Delivered,2018-03-16 03:16:57,Second time
13,4,Delivered,2018-03-22 14:57:30,NULL
14,11,Cancelled,2018-02-24 13:18:49,Second time
15,10,Delivered,2018-03-06 12:31:35,NULL
