question,sql
Find the name of all customers.,SELECT `customer_name` FROM `Customers`
What are the names of all the customers?,SELECT `customer_name` FROM `Customers`
How many customers are there?,SELECT COUNT(*) FROM `Customers`
Return the total number of distinct customers.,SELECT COUNT(*) FROM `Customers`
What is the average amount of items ordered in each order?,SELECT AVG(`order_quantity`) FROM `Order_Items`
Find the average order quantity per order.,SELECT AVG(`order_quantity`) FROM `Order_Items`
"What are the names of customers who use payment method ""Cash""?",SELECT `customer_name` FROM `Customers` WHERE `payment_method` = 'Cash'
"Which customers use ""Cash"" for payment method? Return the customer names.",SELECT `customer_name` FROM `Customers` WHERE `payment_method` = 'Cash'
"Find the ""date became customers"" of the customers whose ID is between 10 and 20.",SELECT `date_became_customer` FROM `Customers` WHERE `customer_id` BETWEEN 10 AND 20
What are the dates when customers with ids between 10 and 20 became customers?,SELECT `date_became_customer` FROM `Customers` WHERE `customer_id` BETWEEN 10 AND 20
Which payment method is used by most customers?,SELECT `payment_method` FROM `Customers` GROUP BY `payment_method` ORDER BY COUNT(*) DESC LIMIT 1
Find the payment method that is used most frequently.,SELECT `payment_method` FROM `Customers` GROUP BY `payment_method` ORDER BY COUNT(*) DESC LIMIT 1
What are the names of customers using the most popular payment method?,SELECT `customer_name` FROM `Customers` WHERE `payment_method` = (SELECT `payment_method` FROM `Customers` GROUP BY `payment_method` ORDER BY COUNT(*) DESC LIMIT 1) GROUP BY `customer_name`
Find the name of the customers who use the most frequently used payment method.,SELECT `customer_name` FROM `Customers` WHERE `payment_method` = (SELECT `payment_method` FROM `Customers` GROUP BY `payment_method` ORDER BY COUNT(*) DESC LIMIT 1) GROUP BY `customer_name`
What are all the payment methods?,SELECT DISTINCT `payment_method` FROM `Customers`
Return all the distinct payment methods used by customers.,SELECT DISTINCT `payment_method` FROM `Customers`
What are the details of all products?,SELECT DISTINCT `product_details` FROM `Products`
Return the the details of all products.,SELECT DISTINCT `product_details` FROM `Products`
"Find the name of all customers whose name contains ""Alex"".",SELECT `customer_name` FROM `Customers` WHERE `customer_name` LIKE '%Alex%'
"Which customer's name contains ""Alex""? Find the full name.",SELECT `customer_name` FROM `Customers` WHERE `customer_name` LIKE '%Alex%'
"Find the detail of products whose detail contains the word ""Latte"" or the word ""Americano""",SELECT `product_details` FROM `Products` WHERE `product_details` LIKE '%Latte%' OR `product_details` LIKE '%Americano%'
"Which product's detail contains the word ""Latte"" or ""Americano""? Return the full detail.",SELECT `product_details` FROM `Products` WHERE `product_details` LIKE '%Latte%' OR `product_details` LIKE '%Americano%'
"What is the address content of the customer named ""Maudie Kertzmann""?",SELECT `t3`.`address_content` FROM `Customers` AS `t1` JOIN `Customer_Addresses` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` JOIN `Addresses` AS `t3` ON `t2`.`address_id` = `t3`.`address_id` WHERE `t1`.`customer_name` = 'Maudie Kertzmann'
"Return the address content for the customer whose name is ""Maudie Kertzmann"".",SELECT `t3`.`address_content` FROM `Customers` AS `t1` JOIN `Customer_Addresses` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` JOIN `Addresses` AS `t3` ON `t2`.`address_id` = `t3`.`address_id` WHERE `t1`.`customer_name` = 'Maudie Kertzmann'
"How many customers are living in city ""Lake Geovannyton""?",SELECT COUNT(*) FROM `Customers` AS `t1` JOIN `Customer_Addresses` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` JOIN `Addresses` AS `t3` ON `t2`.`address_id` = `t3`.`address_id` WHERE `t3`.`city` = 'Lake Geovannyton'
Find the number of customers who live in the city called Lake Geovannyton.,SELECT COUNT(*) FROM `Customers` AS `t1` JOIN `Customer_Addresses` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` JOIN `Addresses` AS `t3` ON `t2`.`address_id` = `t3`.`address_id` WHERE `t3`.`city` = 'Lake Geovannyton'
Find the name of customers who are living in Colorado?,SELECT `t1`.`customer_name` FROM `Customers` AS `t1` JOIN `Customer_Addresses` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` JOIN `Addresses` AS `t3` ON `t2`.`address_id` = `t3`.`address_id` WHERE `t3`.`state_province_county` = 'Colorado'
What are the names of customers who live in Colorado state?,SELECT `t1`.`customer_name` FROM `Customers` AS `t1` JOIN `Customer_Addresses` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` JOIN `Addresses` AS `t3` ON `t2`.`address_id` = `t3`.`address_id` WHERE `t3`.`state_province_county` = 'Colorado'
Find the list of cities that no customer is living in.,SELECT `city` FROM `Addresses` WHERE NOT `city` IN (SELECT DISTINCT `t3`.`city` FROM `Customers` AS `t1` JOIN `Customer_Addresses` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` JOIN `Addresses` AS `t3` ON `t2`.`address_id` = `t3`.`address_id`)
What are the cities no customers live in?,SELECT `city` FROM `Addresses` WHERE NOT `city` IN (SELECT DISTINCT `t3`.`city` FROM `Customers` AS `t1` JOIN `Customer_Addresses` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` JOIN `Addresses` AS `t3` ON `t2`.`address_id` = `t3`.`address_id`)
Which city has the most customers living in?,SELECT `t3`.`city` FROM `Customers` AS `t1` JOIN `Customer_Addresses` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` JOIN `Addresses` AS `t3` ON `t2`.`address_id` = `t3`.`address_id` GROUP BY `t3`.`city` ORDER BY COUNT(*) DESC LIMIT 1
Find the city where the most customers live.,SELECT `t3`.`city` FROM `Customers` AS `t1` JOIN `Customer_Addresses` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` JOIN `Addresses` AS `t3` ON `t2`.`address_id` = `t3`.`address_id` GROUP BY `t3`.`city` ORDER BY COUNT(*) DESC LIMIT 1
