question,sql
Show the number of accounts.,SELECT COUNT(*) FROM `Accounts`
How many accounts are there?,SELECT COUNT(*) FROM `Accounts`
How many customers have opened an account?,SELECT COUNT(DISTINCT `customer_id`) FROM `Accounts`
Count the number of customers who have an account.,SELECT COUNT(DISTINCT `customer_id`) FROM `Accounts`
"Show the id, the date of account opened, the account name, and other account detail for all accounts.","SELECT `account_id`, `date_account_opened`, `account_name`, `other_account_details` FROM `Accounts`"
"What are the ids, date opened, name, and other details for all accounts?","SELECT `account_id`, `date_account_opened`, `account_name`, `other_account_details` FROM `Accounts`"
"Show the id, the account name, and other account details for all accounts by the customer with first name 'Meaghan'.","SELECT `t1`.`account_id`, `t1`.`date_account_opened`, `t1`.`account_name`, `t1`.`other_account_details` FROM `Accounts` AS `t1` JOIN `Customers` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` WHERE `t2`.`customer_first_name` = 'Meaghan'"
"What are the ids, names, dates of opening, and other details for accounts corresponding to the customer with the first name ""Meaghan""?","SELECT `t1`.`account_id`, `t1`.`date_account_opened`, `t1`.`account_name`, `t1`.`other_account_details` FROM `Accounts` AS `t1` JOIN `Customers` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` WHERE `t2`.`customer_first_name` = 'Meaghan'"
Show the account name and other account detail for all accounts by the customer with first name Meaghan and last name Keeling.,"SELECT `t1`.`account_name`, `t1`.`other_account_details` FROM `Accounts` AS `t1` JOIN `Customers` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` WHERE `t2`.`customer_first_name` = 'Meaghan' AND `t2`.`customer_last_name` = 'Keeling'"
What are the names and other details for accounts corresponding to the customer named Meaghan Keeling?,"SELECT `t1`.`account_name`, `t1`.`other_account_details` FROM `Accounts` AS `t1` JOIN `Customers` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` WHERE `t2`.`customer_first_name` = 'Meaghan' AND `t2`.`customer_last_name` = 'Keeling'"
Show the first name and last name for the customer with account name 900.,"SELECT `t2`.`customer_first_name`, `t2`.`customer_last_name` FROM `Accounts` AS `t1` JOIN `Customers` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` WHERE `t1`.`account_name` = '900'"
What are the full names of customers with the account name 900?,"SELECT `t2`.`customer_first_name`, `t2`.`customer_last_name` FROM `Accounts` AS `t1` JOIN `Customers` AS `t2` ON `t1`.`customer_id` = `t2`.`customer_id` WHERE `t1`.`account_name` = '900'"
How many customers don't have an account?,SELECT COUNT(*) FROM `Customers` WHERE NOT `customer_id` IN (SELECT `customer_id` FROM `Accounts`)
Count the number of customers who do not have an account.,SELECT COUNT(*) FROM `Customers` WHERE NOT `customer_id` IN (SELECT `customer_id` FROM `Accounts`)
