question,sql
How many premises are there?,SELECT count(*) FROM premises
What are all the distinct premise types?,SELECT DISTINCT premises_type FROM premises
Find the types and details for all premises and order by the premise type.,"SELECT premises_type ,  premise_details FROM premises ORDER BY premises_type"
Show each premise type and the number of premises in that type.,"SELECT premises_type ,  count(*) FROM premises GROUP BY premises_type"
Show all distinct product categories along with the number of mailshots in each category.,"SELECT product_category ,  count(*) FROM mailshot_campaigns GROUP BY product_category"
Show the name and phone of the customer without any mailshot.,"SELECT customer_name ,  customer_phone FROM customers WHERE customer_id NOT IN (SELECT customer_id FROM mailshot_customers)"
Show the name and phone for customers with a mailshot with outcome code 'No Response'.,"SELECT T1.customer_name ,  T1.customer_phone FROM customers AS T1 JOIN mailshot_customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.outcome_code  =  'No Response'"
Show the outcome code of mailshots along with the number of mailshots in each outcome code.,"SELECT outcome_code ,  count(*) FROM mailshot_customers GROUP BY outcome_code"
Show the names of customers who have at least 2 mailshots with outcome code 'Order'.,SELECT T2.customer_name FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE outcome_code  =  'Order' GROUP BY T1.customer_id HAVING count(*)  >=  2
Show the names of customers who have the most mailshots.,SELECT T2.customer_name FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY count(*) DESC LIMIT 1
What are the name and payment method of customers who have both mailshots in 'Order' outcome and mailshots in 'No Response' outcome.,"SELECT T2.customer_name ,  T2.payment_method FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.outcome_code  =  'Order' INTERSECT SELECT T2.customer_name ,  T2.payment_method FROM mailshot_customers AS T1 JOIN customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.outcome_code  =  'No Response'"
Show the premise type and address type code for all customer addresses.,"SELECT T2.premises_type ,  T1.address_type_code FROM customer_addresses AS T1 JOIN premises AS T2 ON T1.premise_id  =  T2.premise_id"
What are the distinct address type codes for all customer addresses?,SELECT DISTINCT address_type_code FROM customer_addresses
Show the shipping charge and customer id for customer orders with order status Cancelled or Paid.,"SELECT order_shipping_charges ,  customer_id FROM customer_orders WHERE order_status_code  =  'Cancelled' OR order_status_code  =  'Paid'"
Show the names of customers having an order with shipping method FedEx and order status Paid.,SELECT T1.customer_name FROM customers AS T1 JOIN customer_orders AS T2 ON T1.customer_id  =  T2.customer_id WHERE shipping_method_code  =  'FedEx' AND order_status_code  =  'Paid'
