transaction_id,previous_transaction_id,account_id,card_id,transaction_type,transaction_date,transaction_amount,transaction_comment,other_transaction_details
1,925,15,1,Payment,2018-03-24 06:41:41,1701.23,NULL,NULL
2,494,3,2,Refund,2018-03-24 12:08:55,1931.76,NULL,NULL
3,642,4,3,Payment,2018-03-24 09:08:27,486.56,NULL,NULL
4,457,15,4,Refund,2018-03-23 21:59:28,1336.21,NULL,NULL
5,947,13,5,Refund,2018-03-23 21:43:32,357.06,NULL,NULL
6,958,12,6,Refund,2018-03-24 11:48:28,1967.75,NULL,NULL
7,368,1,6,Refund,2018-03-24 05:13:42,1483.05,NULL,NULL
8,924,6,7,Refund,2018-03-24 14:47:05,1194.48,NULL,NULL
9,296,9,6,Payment,2018-03-24 05:31:43,1475.56,NULL,NULL
10,495,5,7,Payment,2018-03-24 05:45:57,1795.66,NULL,NULL
11,333,11,7,Refund,2018-03-24 10:39:09,462.63,NULL,NULL
12,986,10,9,Payment,2018-03-24 15:17:49,1658.32,NULL,NULL
13,885,14,11,Refund,2018-03-24 17:00:41,1298.73,NULL,NULL
14,965,10,12,Refund,2018-03-24 16:31:34,945.43,NULL,NULL
15,203,8,12,Payment,2018-03-24 10:48:34,1529.97,NULL,NULL
