question,sql
How many accounts do we have?,SELECT count(*) FROM Accounts
Count the number of accounts.,SELECT count(*) FROM Accounts
"Show ids, customer ids, names for all accounts.","SELECT account_id ,  customer_id ,  account_name FROM Accounts"
"What are the account ids, customer ids, and account names for all the accounts?","SELECT account_id ,  customer_id ,  account_name FROM Accounts"
Show other account details for account with name 338.,"SELECT other_account_details FROM Accounts WHERE account_name  =  ""338"""
What are the other account details for the account with the name 338?,"SELECT other_account_details FROM Accounts WHERE account_name  =  ""338"""
"What is the first name, last name, and phone of the customer with account name 162?","SELECT T2.customer_first_name ,  T2.customer_last_name ,  T2.customer_phone FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.account_name  =  ""162"""
Give the full name and phone of the customer who has the account name 162.,"SELECT T2.customer_first_name ,  T2.customer_last_name ,  T2.customer_phone FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T1.account_name  =  ""162"""
How many accounts does the customer with first name Art and last name Turcotte have?,"SELECT count(*) FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  ""Art"" AND T2.customer_last_name  =  ""Turcotte"""
Return the number of accounts that the customer with the first name Art and last name Turcotte has.,"SELECT count(*) FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id WHERE T2.customer_first_name  =  ""Art"" AND T2.customer_last_name  =  ""Turcotte"""
Show all customer ids and the number of accounts for each customer.,"SELECT customer_id ,  count(*) FROM Accounts GROUP BY customer_id"
How many accounts are there for each customer id?,"SELECT customer_id ,  count(*) FROM Accounts GROUP BY customer_id"
Show the customer id and number of accounts with most accounts.,"SELECT customer_id ,  count(*) FROM Accounts GROUP BY customer_id ORDER BY count(*) DESC LIMIT 1"
"What is the customer id of the customer with the most accounts, and how many accounts does this person have?","SELECT customer_id ,  count(*) FROM Accounts GROUP BY customer_id ORDER BY count(*) DESC LIMIT 1"
"What is the customer first, last name and id with least number of accounts.","SELECT T2.customer_first_name ,  T2.customer_last_name ,  T1.customer_id FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY count(*) ASC LIMIT 1"
Give the full name and customer id of the customer with the fewest accounts.,"SELECT T2.customer_first_name ,  T2.customer_last_name ,  T1.customer_id FROM Accounts AS T1 JOIN Customers AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY count(*) ASC LIMIT 1"
Show the number of all customers without an account.,SELECT count(*) FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Accounts)
How many customers do not have an account?,SELECT count(*) FROM Customers WHERE customer_id NOT IN (SELECT customer_id FROM Accounts)
