question,sql
What are the ids of the top three products that were purchased in the largest amount?,SELECT `product_id` FROM `product_suppliers` ORDER BY `total_amount_purchased` DESC LIMIT 3
Give the ids of the three products purchased in the largest amounts.,SELECT `product_id` FROM `product_suppliers` ORDER BY `total_amount_purchased` DESC LIMIT 3
What are the product id and product type of the cheapest product?,"SELECT `product_id`, `product_type_code` FROM `products` ORDER BY `product_price` LIMIT 1"
Give the id and product type of the product with the lowest price.,"SELECT `product_id`, `product_type_code` FROM `products` ORDER BY `product_price` LIMIT 1"
Find the number of different product types.,SELECT COUNT(DISTINCT `product_type_code`) FROM `products`
Count the number of distinct product types.,SELECT COUNT(DISTINCT `product_type_code`) FROM `products`
Return the address of customer 10.,SELECT `T1`.`address_details` FROM `addresses` AS `T1` JOIN `customer_addresses` AS `T2` ON `T1`.`address_id` = `T2`.`address_id` WHERE `T2`.`customer_id` = 10
What is the address for the customer with id 10?,SELECT `T1`.`address_details` FROM `addresses` AS `T1` JOIN `customer_addresses` AS `T2` ON `T1`.`address_id` = `T2`.`address_id` WHERE `T2`.`customer_id` = 10
What are the staff ids and genders of all staffs whose job title is Department Manager?,"SELECT `T1`.`staff_id`, `T1`.`staff_gender` FROM `staff` AS `T1` JOIN `staff_department_assignments` AS `T2` ON `T1`.`staff_id` = `T2`.`staff_id` WHERE `T2`.`job_title_code` = `Department Manager`"
Return the staff ids and genders for any staff with the title Department Manager.,"SELECT `T1`.`staff_id`, `T1`.`staff_gender` FROM `staff` AS `T1` JOIN `staff_department_assignments` AS `T2` ON `T1`.`staff_id` = `T2`.`staff_id` WHERE `T2`.`job_title_code` = `Department Manager`"
"For each payment method, return how many customers use it.","SELECT `payment_method_code`, COUNT(*) FROM `customers` GROUP BY `payment_method_code`"
How many customers use each payment method?,"SELECT `payment_method_code`, COUNT(*) FROM `customers` GROUP BY `payment_method_code`"
What is the id of the product that was ordered the most often?,SELECT `product_id` FROM `order_items` GROUP BY `product_id` ORDER BY COUNT(*) DESC LIMIT 1
Give the product id for the product that was ordered most frequently.,SELECT `product_id` FROM `order_items` GROUP BY `product_id` ORDER BY COUNT(*) DESC LIMIT 1
"What are the name, phone number and email address of the customer who made the largest number of orders?","SELECT `T1`.`customer_name`, `T1`.`customer_phone`, `T1`.`customer_email` FROM `customers` AS `T1` JOIN `customer_orders` AS `T2` ON `T1`.`customer_id` = `T2`.`customer_id` GROUP BY `T2`.`customer_id` ORDER BY COUNT(*) DESC LIMIT 1"
"Return the name, phone number and email address for the customer with the most orders.","SELECT `T1`.`customer_name`, `T1`.`customer_phone`, `T1`.`customer_email` FROM `customers` AS `T1` JOIN `customer_orders` AS `T2` ON `T1`.`customer_id` = `T2`.`customer_id` GROUP BY `T2`.`customer_id` ORDER BY COUNT(*) DESC LIMIT 1"
What is the average price for each type of product?,"SELECT `product_type_code`, AVG(`product_price`) FROM `products` GROUP BY `product_type_code`"
Return the average price for each product type.,"SELECT `product_type_code`, AVG(`product_price`) FROM `products` GROUP BY `product_type_code`"
How many department stores does the store chain South have?,SELECT COUNT(*) FROM `department_stores` AS `T1` JOIN `department_store_chain` AS `T2` ON `T1`.`dept_store_chain_id` = `T2`.`dept_store_chain_id` WHERE `T2`.`dept_store_chain_name` = `South`
Count the number of stores the chain South has.,SELECT COUNT(*) FROM `department_stores` AS `T1` JOIN `department_store_chain` AS `T2` ON `T1`.`dept_store_chain_id` = `T2`.`dept_store_chain_id` WHERE `T2`.`dept_store_chain_name` = `South`
What is the name and job title of the staff who was assigned the latest?,"SELECT `T1`.`staff_name`, `T2`.`job_title_code` FROM `staff` AS `T1` JOIN `staff_department_assignments` AS `T2` ON `T1`.`staff_id` = `T2`.`staff_id` ORDER BY `T2`.`date_assigned_to` DESC LIMIT 1"
Return the name and job title of the staff with the latest date assigned.,"SELECT `T1`.`staff_name`, `T2`.`job_title_code` FROM `staff` AS `T1` JOIN `staff_department_assignments` AS `T2` ON `T1`.`staff_id` = `T2`.`staff_id` ORDER BY `T2`.`date_assigned_to` DESC LIMIT 1"
"Give me the product type, name and price for all the products supplied by supplier id 3.","SELECT `T2`.`product_type_code`, `T2`.`product_name`, `T2`.`product_price` FROM `product_suppliers` AS `T1` JOIN `products` AS `T2` ON `T1`.`product_id` = `T2`.`product_id` WHERE `T1`.`supplier_id` = 3"
"Return the product type, name, and price for products supplied by supplier 3.","SELECT `T2`.`product_type_code`, `T2`.`product_name`, `T2`.`product_price` FROM `product_suppliers` AS `T1` JOIN `products` AS `T2` ON `T1`.`product_id` = `T2`.`product_id` WHERE `T1`.`supplier_id` = 3"
"Return the distinct name of customers whose order status is Pending, in the order of customer id.",SELECT DISTINCT `T1`.`customer_name` FROM `customers` AS `T1` JOIN `customer_orders` AS `T2` ON `T1`.`customer_id` = `T2`.`customer_id` WHERE `T2`.`order_status_code` = `Pending` ORDER BY `T2`.`customer_id`
"What are the distinct names of customers with an order status of Pending, sorted by customer id?",SELECT DISTINCT `T1`.`customer_name` FROM `customers` AS `T1` JOIN `customer_orders` AS `T2` ON `T1`.`customer_id` = `T2`.`customer_id` WHERE `T2`.`order_status_code` = `Pending` ORDER BY `T2`.`customer_id`
