question,sql
Find the name of dorms only for female (F gender).,SELECT `dorm_name` FROM `Dorm` WHERE `gender` = 'F'
What are the names of the all-female dorms?,SELECT `dorm_name` FROM `Dorm` WHERE `gender` = 'F'
Find the name of dorms that can accommodate more than 300 students.,SELECT `dorm_name` FROM `Dorm` WHERE `student_capacity` > 300
What are the names of all the dorms that can accomdate more than 300 students?,SELECT `dorm_name` FROM `Dorm` WHERE `student_capacity` > 300
How many female students (sex is F) whose age is below 25?,SELECT COUNT(*) FROM `Student` WHERE `sex` = 'F' AND `age` < 25
How many girl students who are younger than 25?,SELECT COUNT(*) FROM `Student` WHERE `sex` = 'F' AND `age` < 25
Find the first name of students who is older than 20.,SELECT `fname` FROM `Student` WHERE `age` > 20
What are the first names of all students who are older than 20?,SELECT `fname` FROM `Student` WHERE `age` > 20
Find the first name of students living in city PHL whose age is between 20 and 25.,SELECT `fname` FROM `Student` WHERE `city_code` = 'PHL' AND `age` BETWEEN 20 AND 25
What is the first name of the students who are in age 20 to 25 and living in PHL city?,SELECT `fname` FROM `Student` WHERE `city_code` = 'PHL' AND `age` BETWEEN 20 AND 25
How many dorms are there?,SELECT COUNT(*) FROM `Dorm`
How many dorms are in the database?,SELECT COUNT(*) FROM `Dorm`
Find the number of distinct amenities.,SELECT COUNT(*) FROM `Dorm_amenity`
How many diffrent dorm amenities are there?,SELECT COUNT(*) FROM `Dorm_amenity`
Find the total capacity of all dorms.,SELECT SUM(`student_capacity`) FROM `Dorm`
What is the total student capacity of all dorms?,SELECT SUM(`student_capacity`) FROM `Dorm`
How many students are there?,SELECT COUNT(*) FROM `Student`
How many students exist?,SELECT COUNT(*) FROM `Student`
Find the average age of all students living in the each city.,"SELECT AVG(`age`), `city_code` FROM `Student` GROUP BY `city_code`"
What is the average age for each city and what are those cities?,"SELECT AVG(`age`), `city_code` FROM `Student` GROUP BY `city_code`"
Find the average and total capacity of dorms for the students with gender X.,"SELECT AVG(`student_capacity`), SUM(`student_capacity`) FROM `Dorm` WHERE `gender` = 'X'"
What is the average and total capacity for all dorms who are of gender X?,"SELECT AVG(`student_capacity`), SUM(`student_capacity`) FROM `Dorm` WHERE `gender` = 'X'"
Find the number of dorms that have some amenity.,SELECT COUNT(DISTINCT `dormid`) FROM `Has_amenity`
How many dorms have amenities?,SELECT COUNT(DISTINCT `dormid`) FROM `Has_amenity`
Find the name of dorms that do not have any amenity,SELECT `dorm_name` FROM `Dorm` WHERE NOT `dormid` IN (SELECT `dormid` FROM `Has_amenity`)
What are the names of all the dorms that don't have any amenities?,SELECT `dorm_name` FROM `Dorm` WHERE NOT `dormid` IN (SELECT `dormid` FROM `Has_amenity`)
Find the number of distinct gender for dorms.,SELECT COUNT(DISTINCT `gender`) FROM `Dorm`
How many different genders are there in the dorms?,SELECT COUNT(DISTINCT `gender`) FROM `Dorm`
Find the capacity and gender type of the dorm whose name has substring ‘Donor’.,"SELECT `student_capacity`, `gender` FROM `Dorm` WHERE `dorm_name` LIKE '%Donor%'"
What is the student capacity and type of gender for the dorm whose name as the phrase Donor in it?,"SELECT `student_capacity`, `gender` FROM `Dorm` WHERE `dorm_name` LIKE '%Donor%'"
Find the name and gender type of the dorms whose capacity is greater than 300 or less than 100.,"SELECT `dorm_name`, `gender` FROM `Dorm` WHERE `student_capacity` > 300 OR `student_capacity` < 100"
What are the names and types of the dorms that have a capacity greater than 300 or less than 100?,"SELECT `dorm_name`, `gender` FROM `Dorm` WHERE `student_capacity` > 300 OR `student_capacity` < 100"
Find the numbers of different majors and cities.,"SELECT COUNT(DISTINCT `major`), COUNT(DISTINCT `city_code`) FROM `Student`"
How many different majors are there and how many different city codes are there for each student?,"SELECT COUNT(DISTINCT `major`), COUNT(DISTINCT `city_code`) FROM `Student`"
Find the name of dorms which have both TV Lounge and Study Room as amenities.,SELECT `t1`.`dorm_name` FROM `Dorm` AS `t1` JOIN `Has_amenity` AS `t2` ON `t1`.`dormid` = `t2`.`dormid` JOIN `Dorm_amenity` AS `t3` ON `t2`.`amenid` = `t3`.`amenid` WHERE `t3`.`amenity_name` = 'TV Lounge' INTERSECT SELECT `t1`.`dorm_name` FROM `Dorm` AS `t1` JOIN `Has_amenity` AS `t2` ON `t1`.`dormid` = `t2`.`dormid` JOIN `Dorm_amenity` AS `t3` ON `t2`.`amenid` = `t3`.`amenid` WHERE `t3`.`amenity_name` = 'Study Room'
