question,sql
List all vehicle id,SELECT `vehicle_id` FROM `Vehicles`
What are the ids of all vehicles?,SELECT `vehicle_id` FROM `Vehicles`
How many vehicle in total?,SELECT COUNT(*) FROM `Vehicles`
How many vehicles exist?,SELECT COUNT(*) FROM `Vehicles`
Show the detail of vehicle with id 1.,SELECT `vehicle_details` FROM `Vehicles` WHERE `vehicle_id` = 1
What are the details of the car with id 1?,SELECT `vehicle_details` FROM `Vehicles` WHERE `vehicle_id` = 1
List the first name middle name and last name of all staff.,"SELECT `first_name`, `middle_name`, `last_name` FROM `Staff`"
"What are the first, middle, and last names of all staff?","SELECT `first_name`, `middle_name`, `last_name` FROM `Staff`"
What is the birthday of the staff member with first name as Janessa and last name as Sawayn?,SELECT `date_of_birth` FROM `Staff` WHERE `first_name` = 'Janessa' AND `last_name` = 'Sawayn'
What is the date of birth for the staff member named Janessa Sawayn?,SELECT `date_of_birth` FROM `Staff` WHERE `first_name` = 'Janessa' AND `last_name` = 'Sawayn'
When did the staff member with first name as Janessa and last name as Sawayn join the company?,SELECT `date_joined_staff` FROM `Staff` WHERE `first_name` = 'Janessa' AND `last_name` = 'Sawayn'
When did the staff member named Janessa Sawayn join the company?,SELECT `date_joined_staff` FROM `Staff` WHERE `first_name` = 'Janessa' AND `last_name` = 'Sawayn'
When did the staff member with first name as Janessa and last name as Sawayn leave the company?,SELECT `date_left_staff` FROM `Staff` WHERE `first_name` = 'Janessa' AND `last_name` = 'Sawayn'
When did the staff member Janessa Sawayn leave the company?,SELECT `date_left_staff` FROM `Staff` WHERE `first_name` = 'Janessa' AND `last_name` = 'Sawayn'
How many staff have the first name Ludie?,SELECT COUNT(*) FROM `Staff` WHERE `first_name` = 'Ludie'
How many employees have a first name of Ludie?,SELECT COUNT(*) FROM `Staff` WHERE `first_name` = 'Ludie'
What is the nickname of staff with first name as Janessa and last name as Sawayn?,SELECT `nickname` FROM `Staff` WHERE `first_name` = 'Janessa' AND `last_name` = 'Sawayn'
What is the nickname of the employee named Janessa Sawayn?,SELECT `nickname` FROM `Staff` WHERE `first_name` = 'Janessa' AND `last_name` = 'Sawayn'
How many staff in total?,SELECT COUNT(*) FROM `Staff`
How many employees are there?,SELECT COUNT(*) FROM `Staff`
Which city does staff with first name as Janessa and last name as Sawayn live?,SELECT `t1`.`city` FROM `Addresses` AS `t1` JOIN `Staff` AS `t2` ON `t1`.`address_id` = `t2`.`staff_address_id` WHERE `t2`.`first_name` = 'Janessa' AND `t2`.`last_name` = 'Sawayn'
In what city does Janessa Sawayn live?,SELECT `t1`.`city` FROM `Addresses` AS `t1` JOIN `Staff` AS `t2` ON `t1`.`address_id` = `t2`.`staff_address_id` WHERE `t2`.`first_name` = 'Janessa' AND `t2`.`last_name` = 'Sawayn'
Which country and state does staff with first name as Janessa and last name as Sawayn lived?,"SELECT `t1`.`country`, `t1`.`state_province_county` FROM `Addresses` AS `t1` JOIN `Staff` AS `t2` ON `t1`.`address_id` = `t2`.`staff_address_id` WHERE `t2`.`first_name` = 'Janessa' AND `t2`.`last_name` = 'Sawayn'"
In which country and state does Janessa Sawayn live?,"SELECT `t1`.`country`, `t1`.`state_province_county` FROM `Addresses` AS `t1` JOIN `Staff` AS `t2` ON `t1`.`address_id` = `t2`.`staff_address_id` WHERE `t2`.`first_name` = 'Janessa' AND `t2`.`last_name` = 'Sawayn'"
