question,sql
How many courses are there in total?,SELECT COUNT(*) FROM `COURSES`
Find the total number of courses offered.,SELECT COUNT(*) FROM `COURSES`
"What are the descriptions of the courses with name ""database""?",SELECT `course_description` FROM `COURSES` WHERE `course_name` = `database`
"Return the description for the courses named ""database"".",SELECT `course_description` FROM `COURSES` WHERE `course_name` = `database`
"What are the addresses of the course authors or tutors with personal name ""Cathrine""",SELECT `address_line_1` FROM `Course_Authors_and_Tutors` WHERE `personal_name` = `Cathrine`
"Return the addresses of the course authors or tutors whose personal name is ""Cathrine"".",SELECT `address_line_1` FROM `Course_Authors_and_Tutors` WHERE `personal_name` = `Cathrine`
List the addresses of all the course authors or tutors.,SELECT `address_line_1` FROM `Course_Authors_and_Tutors`
What is the address of each course author or tutor?,SELECT `address_line_1` FROM `Course_Authors_and_Tutors`
List all the login names and family names of course author and tutors.,"SELECT `login_name`, `family_name` FROM `Course_Authors_and_Tutors`"
What are the login names and family names of course author and tutors?,"SELECT `login_name`, `family_name` FROM `Course_Authors_and_Tutors`"
List all the dates of enrollment and completion of students.,"SELECT `date_of_enrolment`, `date_of_completion` FROM `Student_Course_Enrolment`"
What are all the dates of enrollment and completion in record?,"SELECT `date_of_enrolment`, `date_of_completion` FROM `Student_Course_Enrolment`"
How many distinct students are enrolled in courses?,SELECT COUNT(DISTINCT `student_id`) FROM `Student_Course_Enrolment`
Find the number of distinct students enrolled in courses.,SELECT COUNT(DISTINCT `student_id`) FROM `Student_Course_Enrolment`
How many distinct courses are enrolled in by students?,SELECT COUNT(`course_id`) FROM `Student_Course_Enrolment`
Find the number of distinct courses that have enrolled students.,SELECT COUNT(`course_id`) FROM `Student_Course_Enrolment`
"Find the dates of the tests taken with result ""Pass"".",SELECT `date_test_taken` FROM `Student_Tests_Taken` WHERE `test_result` = `Pass`
"Which tests have ""Pass"" results? Return the dates when the tests were taken.",SELECT `date_test_taken` FROM `Student_Tests_Taken` WHERE `test_result` = `Pass`
"How many tests have result ""Fail""?",SELECT COUNT(*) FROM `Student_Tests_Taken` WHERE `test_result` = `Fail`
"Count the number of tests with ""Fail"" result.",SELECT COUNT(*) FROM `Student_Tests_Taken` WHERE `test_result` = `Fail`
"What are the login names of the students with family name ""Ward""?",SELECT `login_name` FROM `Students` WHERE `family_name` = `Ward`
"Return the login names of the students whose family name is ""Ward"".",SELECT `login_name` FROM `Students` WHERE `family_name` = `Ward`
"What are the dates of the latest logon of the students with family name ""Jaskolski"" or ""Langosh""?",SELECT `date_of_latest_logon` FROM `Students` WHERE `family_name` = `Jaskolski` OR `family_name` = `Langosh`
"Find the latest logon date of the students whose family name is ""Jaskolski"" or ""Langosh"".",SELECT `date_of_latest_logon` FROM `Students` WHERE `family_name` = `Jaskolski` OR `family_name` = `Langosh`
"How many students have personal names that contain the word ""son""?",SELECT COUNT(*) FROM `Students` WHERE `personal_name` LIKE `%son%`
"Find the number of students who have the word ""son"" in their personal names.",SELECT COUNT(*) FROM `Students` WHERE `personal_name` LIKE `%son%`
List all the subject names.,SELECT `subject_name` FROM `SUBJECTS`
What are the names of all the subjects.,SELECT `subject_name` FROM `SUBJECTS`
List all the information about course authors and tutors in alphabetical order of the personal name.,SELECT * FROM `Course_Authors_and_Tutors` ORDER BY `personal_name`
Sort the information about course authors and tutors in alphabetical order of the personal name.,SELECT * FROM `Course_Authors_and_Tutors` ORDER BY `personal_name`
List the personal names and family names of all the students in alphabetical order of family name.,"SELECT `personal_name`, `family_name` FROM `Students` ORDER BY `family_name`"
What are the personal names and family names of the students? Sort the result in alphabetical order of the family name.,"SELECT `personal_name`, `family_name` FROM `Students` ORDER BY `family_name`"
List each test result and its count in descending order of count.,"SELECT `test_result`, COUNT(*) FROM `Student_Tests_Taken` GROUP BY `test_result` ORDER BY COUNT(*) DESC"
"For each distinct test result, find the number of students who got the result.","SELECT `test_result`, COUNT(*) FROM `Student_Tests_Taken` GROUP BY `test_result` ORDER BY COUNT(*) DESC"
