question,sql
How many artworks are there?,SELECT COUNT(*) FROM `artwork`
List the name of artworks in ascending alphabetical order.,SELECT `Name` FROM `artwork` ORDER BY `Name` ASC
"List the name of artworks whose type is not ""Program Talent Show"".",SELECT `Name` FROM `artwork` WHERE `TYPE` <> `Program Talent Show`
What are the names and locations of festivals?,"SELECT `Festival_Name`, `LOCATION` FROM `festival_detail`"
"What are the names of the chairs of festivals, sorted in ascending order of the year held?",SELECT `Chair_Name` FROM `festival_detail` ORDER BY `YEAR` ASC
What is the location of the festival with the largest number of audience?,SELECT `LOCATION` FROM `festival_detail` ORDER BY `Num_of_Audience` DESC LIMIT 1
What are the names of festivals held in year 2007?,SELECT `Festival_Name` FROM `festival_detail` WHERE `YEAR` = 2007
What is the average number of audience for festivals?,SELECT AVG(`Num_of_Audience`) FROM `festival_detail`
Show the names of the three most recent festivals.,SELECT `Festival_Name` FROM `festival_detail` ORDER BY `YEAR` DESC LIMIT 3
"For each nomination, show the name of the artwork and name of the festival where it is nominated.","SELECT `T2`.`Name`, `T3`.`Festival_Name` FROM `nomination` AS `T1` JOIN `artwork` AS `T2` ON `T1`.`Artwork_ID` = `T2`.`Artwork_ID` JOIN `festival_detail` AS `T3` ON `T1`.`Festival_ID` = `T3`.`Festival_ID`"
Show distinct types of artworks that are nominated in festivals in 2007.,SELECT DISTINCT `T2`.`Type` FROM `nomination` AS `T1` JOIN `artwork` AS `T2` ON `T1`.`Artwork_ID` = `T2`.`Artwork_ID` JOIN `festival_detail` AS `T3` ON `T1`.`Festival_ID` = `T3`.`Festival_ID` WHERE `T3`.`Year` = 2007
Show the names of artworks in ascending order of the year they are nominated in.,SELECT `T2`.`Name` FROM `nomination` AS `T1` JOIN `artwork` AS `T2` ON `T1`.`Artwork_ID` = `T2`.`Artwork_ID` JOIN `festival_detail` AS `T3` ON `T1`.`Festival_ID` = `T3`.`Festival_ID` ORDER BY `T3`.`Year`
"Show the names of festivals that have nominated artworks of type ""Program Talent Show"".",SELECT `T3`.`Festival_Name` FROM `nomination` AS `T1` JOIN `artwork` AS `T2` ON `T1`.`Artwork_ID` = `T2`.`Artwork_ID` JOIN `festival_detail` AS `T3` ON `T1`.`Festival_ID` = `T3`.`Festival_ID` WHERE `T2`.`Type` = `Program Talent Show`
Show the ids and names of festivals that have at least two nominations for artworks.,"SELECT `T1`.`Festival_ID`, `T3`.`Festival_Name` FROM `nomination` AS `T1` JOIN `artwork` AS `T2` ON `T1`.`Artwork_ID` = `T2`.`Artwork_ID` JOIN `festival_detail` AS `T3` ON `T1`.`Festival_ID` = `T3`.`Festival_ID` GROUP BY `T1`.`Festival_ID` HAVING COUNT(*) >= 2"
"Show the id, name of each festival and the number of artworks it has nominated.","SELECT `T1`.`Festival_ID`, `T3`.`Festival_Name`, COUNT(*) FROM `nomination` AS `T1` JOIN `artwork` AS `T2` ON `T1`.`Artwork_ID` = `T2`.`Artwork_ID` JOIN `festival_detail` AS `T3` ON `T1`.`Festival_ID` = `T3`.`Festival_ID` GROUP BY `T1`.`Festival_ID`"
Please show different types of artworks with the corresponding number of artworks of each type.,"SELECT `TYPE`, COUNT(*) FROM `artwork` GROUP BY `TYPE`"
List the most common type of artworks.,SELECT `TYPE` FROM `artwork` GROUP BY `TYPE` ORDER BY COUNT(*) DESC LIMIT 1
List the year in which there are more than one festivals.,SELECT `YEAR` FROM `festival_detail` GROUP BY `YEAR` HAVING COUNT(*) > 1
List the name of artworks that are not nominated.,SELECT `Name` FROM `Artwork` WHERE NOT `Artwork_ID` IN (SELECT `Artwork_ID` FROM `nomination`)
Show the number of audience in year 2008 or 2010.,SELECT `Num_of_Audience` FROM `festival_detail` WHERE `YEAR` = 2008 OR `YEAR` = 2010
What are the total number of the audiences who visited any of the festivals?,SELECT SUM(`Num_of_Audience`) FROM `festival_detail`
In which year are there festivals both inside the 'United States' and outside the 'United States'?,SELECT `YEAR` FROM `festival_detail` WHERE `LOCATION` = 'United States' INTERSECT SELECT `YEAR` FROM `festival_detail` WHERE `LOCATION` <> 'United States'
