question,sql
How many entrepreneurs are there?,SELECT COUNT(*) FROM `entrepreneur`
Count the number of entrepreneurs.,SELECT COUNT(*) FROM `entrepreneur`
List the companies of entrepreneurs in descending order of money requested.,SELECT `Company` FROM `entrepreneur` ORDER BY `Money_Requested` DESC
"What are the companies of entrepreneurs, ordered descending by amount of money requested?",SELECT `Company` FROM `entrepreneur` ORDER BY `Money_Requested` DESC
List the companies and the investors of entrepreneurs.,"SELECT `Company`, `Investor` FROM `entrepreneur`"
What are the companies and investors that correspond to each entrepreneur?,"SELECT `Company`, `Investor` FROM `entrepreneur`"
What is the average money requested by all entrepreneurs?,SELECT AVG(`Money_Requested`) FROM `entrepreneur`
Return the average money requested across all entrepreneurs.,SELECT AVG(`Money_Requested`) FROM `entrepreneur`
What are the names of people in ascending order of weight?,SELECT `Name` FROM `People` ORDER BY `Weight` ASC
"Return the names of people, ordered by weight ascending.",SELECT `Name` FROM `People` ORDER BY `Weight` ASC
What are the names of entrepreneurs?,SELECT `T2`.`Name` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID`
Return the names of entrepreneurs.,SELECT `T2`.`Name` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID`
"What are the names of entrepreneurs whose investor is not ""Rachel Elnaugh""?",SELECT `T2`.`Name` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` WHERE `T1`.`Investor` <> `Rachel Elnaugh`
Return the names of entrepreneurs do no not have the investor Rachel Elnaugh.,SELECT `T2`.`Name` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` WHERE `T1`.`Investor` <> `Rachel Elnaugh`
What is the weight of the shortest person?,SELECT `Weight` FROM `people` ORDER BY `Height` ASC LIMIT 1
Return the weight of the shortest person.,SELECT `Weight` FROM `people` ORDER BY `Height` ASC LIMIT 1
What is the name of the entrepreneur with the greatest weight?,SELECT `T2`.`Name` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` ORDER BY `T2`.`Weight` DESC LIMIT 1
Return the name of the heaviest entrepreneur.,SELECT `T2`.`Name` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` ORDER BY `T2`.`Weight` DESC LIMIT 1
What is the total money requested by entrepreneurs with height more than 1.85?,SELECT SUM(`T1`.`Money_Requested`) FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` WHERE `T2`.`Height` > 1.85
Give the total money requested by entrepreneurs who are taller than 1.85.,SELECT SUM(`T1`.`Money_Requested`) FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` WHERE `T2`.`Height` > 1.85
"What are the dates of birth of entrepreneurs with investor ""Simon Woodroffe"" or ""Peter Jones""?",SELECT `T2`.`Date_of_Birth` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` WHERE `T1`.`Investor` = `Simon Woodroffe` OR `T1`.`Investor` = `Peter Jones`
Return the dates of birth for entrepreneurs who have either the investor Simon Woodroffe or Peter Jones.,SELECT `T2`.`Date_of_Birth` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` WHERE `T1`.`Investor` = `Simon Woodroffe` OR `T1`.`Investor` = `Peter Jones`
What are the weights of entrepreneurs in descending order of money requested?,SELECT `T2`.`Weight` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` ORDER BY `T1`.`Money_Requested` DESC
"Return the weights of entrepreneurs, ordered descending by amount of money requested.",SELECT `T2`.`Weight` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` ORDER BY `T1`.`Money_Requested` DESC
What are the investors of entrepreneurs and the corresponding number of entrepreneurs invested by each investor?,"SELECT `Investor`, COUNT(*) FROM `entrepreneur` GROUP BY `Investor`"
How many entrepreneurs correspond to each investor?,"SELECT `Investor`, COUNT(*) FROM `entrepreneur` GROUP BY `Investor`"
What is the investor that has invested in the most number of entrepreneurs?,SELECT `Investor` FROM `entrepreneur` GROUP BY `Investor` ORDER BY COUNT(*) DESC LIMIT 1
Return the investor who have invested in the greatest number of entrepreneurs.,SELECT `Investor` FROM `entrepreneur` GROUP BY `Investor` ORDER BY COUNT(*) DESC LIMIT 1
What are the investors that have invested in at least two entrepreneurs?,SELECT `Investor` FROM `entrepreneur` GROUP BY `Investor` HAVING COUNT(*) >= 2
Return the investors who have invested in two or more entrepreneurs.,SELECT `Investor` FROM `entrepreneur` GROUP BY `Investor` HAVING COUNT(*) >= 2
List the names of entrepreneurs and their companies in descending order of money requested?,"SELECT `T2`.`Name`, `T1`.`Company` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` ORDER BY `T1`.`Money_Requested`"
"What are the names of entrepreneurs and their corresponding investors, ordered descending by the amount of money requested?","SELECT `T2`.`Name`, `T1`.`Company` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` ORDER BY `T1`.`Money_Requested`"
List the names of people that are not entrepreneurs.,SELECT `Name` FROM `people` WHERE NOT `People_ID` IN (SELECT `People_ID` FROM `entrepreneur`)
What are the names of people who are not entrepreneurs?,SELECT `Name` FROM `people` WHERE NOT `People_ID` IN (SELECT `People_ID` FROM `entrepreneur`)
Show the investors shared by entrepreneurs that requested more than 140000 and entrepreneurs that requested less than 120000.,SELECT `Investor` FROM `entrepreneur` WHERE `Money_Requested` > 140000 INTERSECT SELECT `Investor` FROM `entrepreneur` WHERE `Money_Requested` < 120000
What are the investors who have invested in both entrepreneurs who requested more than 140000 and entrepreneurs who requested less than 120000?,SELECT `Investor` FROM `entrepreneur` WHERE `Money_Requested` > 140000 INTERSECT SELECT `Investor` FROM `entrepreneur` WHERE `Money_Requested` < 120000
How many distinct companies are there?,SELECT COUNT(DISTINCT `Company`) FROM `entrepreneur`
Count the number of different companies.,SELECT COUNT(DISTINCT `Company`) FROM `entrepreneur`
Show the company of the tallest entrepreneur.,SELECT `T1`.`Company` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` ORDER BY `T2`.`Height` DESC LIMIT 1
Which company was started by the entrepreneur with the greatest height?,SELECT `T1`.`Company` FROM `entrepreneur` AS `T1` JOIN `people` AS `T2` ON `T1`.`People_ID` = `T2`.`People_ID` ORDER BY `T2`.`Height` DESC LIMIT 1
