question,sql
Find the name of the airport in the city of Goroka.,SELECT `name` FROM `airports` WHERE `city` = 'Goroka'
What are the names of the airports in the city of Goroka?,SELECT `name` FROM `airports` WHERE `city` = 'Goroka'
"Find the name, city, country, and altitude (or elevation) of the airports in the city of New York.","SELECT `name`, `city`, `country`, `elevation` FROM `airports` WHERE `city` = 'New York'"
"What is the name, city, country, and elevation for every airport in the city of New York?","SELECT `name`, `city`, `country`, `elevation` FROM `airports` WHERE `city` = 'New York'"
How many airlines are there?,SELECT COUNT(*) FROM `airlines`
What is the total number of airlines?,SELECT COUNT(*) FROM `airlines`
How many airlines does Russia has?,SELECT COUNT(*) FROM `airlines` WHERE `country` = 'Russia'
What is the number of airlines based in Russia?,SELECT COUNT(*) FROM `airlines` WHERE `country` = 'Russia'
What is the maximum elevation of all airports in the country of Iceland?,SELECT MAX(`elevation`) FROM `airports` WHERE `country` = 'Iceland'
What is the highest elevation of an airport in the country of Iceland?,SELECT MAX(`elevation`) FROM `airports` WHERE `country` = 'Iceland'
Find the name of the airports located in Cuba or Argentina.,SELECT `name` FROM `airports` WHERE `country` = 'Cuba' OR `country` = 'Argentina'
What are the names of all airports in Cuba or Argentina?,SELECT `name` FROM `airports` WHERE `country` = 'Cuba' OR `country` = 'Argentina'
Find the country of the airlines whose name starts with 'Orbit'.,SELECT `country` FROM `airlines` WHERE `name` LIKE 'Orbit%'
What are the countries of all airlines whose names start with Orbit?,SELECT `country` FROM `airlines` WHERE `name` LIKE 'Orbit%'
Find the name of airports whose altitude is between -50 and 50.,SELECT `name` FROM `airports` WHERE `elevation` BETWEEN -50 AND 50
What are the names of all airports whose elevation is between -50 and 50?,SELECT `name` FROM `airports` WHERE `elevation` BETWEEN -50 AND 50
Which country is the airport that has the highest altitude located in?,SELECT `country` FROM `airports` ORDER BY `elevation` DESC LIMIT 1
What is the country of the airport with the highest elevation?,SELECT `country` FROM `airports` ORDER BY `elevation` DESC LIMIT 1
Find the number of airports whose name contain the word 'International'.,SELECT COUNT(*) FROM `airports` WHERE `name` LIKE '%International%'
How many airports' names have the word Interanation in them?,SELECT COUNT(*) FROM `airports` WHERE `name` LIKE '%International%'
How many different cities do have some airport in the country of Greenland?,SELECT COUNT(DISTINCT `city`) FROM `airports` WHERE `country` = 'Greenland'
In how many cities are there airports in the country of Greenland?,SELECT COUNT(DISTINCT `city`) FROM `airports` WHERE `country` = 'Greenland'
Find the number of routes operated by American Airlines.,SELECT COUNT(*) FROM `airlines` AS `t1` JOIN `routes` AS `t2` ON `t1`.`alid` = `t2`.`alid` WHERE `t1`.`name` = 'American Airlines'
How many routes does American Airlines operate?,SELECT COUNT(*) FROM `airlines` AS `t1` JOIN `routes` AS `t2` ON `t1`.`alid` = `t2`.`alid` WHERE `t1`.`name` = 'American Airlines'
Find the number of routes whose destination airports are in Canada.,SELECT COUNT(*) FROM `airports` AS `t1` JOIN `routes` AS `t2` ON `t1`.`apid` = `t2`.`dst_apid` WHERE `country` = 'Canada'
How many routes end in a Canadian airport?,SELECT COUNT(*) FROM `airports` AS `t1` JOIN `routes` AS `t2` ON `t1`.`apid` = `t2`.`dst_apid` WHERE `country` = 'Canada'
"Find the name, city, and country of the airport that has the lowest altitude.","SELECT `name`, `city`, `country` FROM `airports` ORDER BY `elevation` LIMIT 1"
"What is the name, city, and country of the airport with the lowest altitude?","SELECT `name`, `city`, `country` FROM `airports` ORDER BY `elevation` LIMIT 1"
"Find the name, city, and country of the airport that has the highest latitude.","SELECT `name`, `city`, `country` FROM `airports` ORDER BY `elevation` DESC LIMIT 1"
"What is the name, city, and country of the airport with the highest elevation?","SELECT `name`, `city`, `country` FROM `airports` ORDER BY `elevation` DESC LIMIT 1"
Find the name and city of the airport which is the destination of the most number of routes.,"SELECT `t1`.`name`, `t1`.`city`, `t2`.`dst_apid` FROM `airports` AS `t1` JOIN `routes` AS `t2` ON `t1`.`apid` = `t2`.`dst_apid` GROUP BY `t1`.`name`, `t1`.`city`, `t2`.`dst_apid` ORDER BY COUNT(*) DESC LIMIT 1"
What is the name and city of the airport that the most routes end at?,"SELECT `t1`.`name`, `t1`.`city`, `t2`.`dst_apid` FROM `airports` AS `t1` JOIN `routes` AS `t2` ON `t1`.`apid` = `t2`.`dst_apid` GROUP BY `t1`.`name`, `t1`.`city`, `t2`.`dst_apid` ORDER BY COUNT(*) DESC LIMIT 1"
Find the names of the top 10 airlines that operate the most number of routes.,"SELECT `t1`.`name`, `t2`.`alid` FROM `airlines` AS `t1` JOIN `routes` AS `t2` ON `t1`.`alid` = `t2`.`alid` GROUP BY `t1`.`name`, `t2`.`alid` ORDER BY COUNT(*) DESC LIMIT 10"
"For the airline ids with the top 10 most routes operated, what are their names?","SELECT `t1`.`name`, `t2`.`alid` FROM `airlines` AS `t1` JOIN `routes` AS `t2` ON `t1`.`alid` = `t2`.`alid` GROUP BY `t1`.`name`, `t2`.`alid` ORDER BY COUNT(*) DESC LIMIT 10"
Find the name and city of the airport which is the source for the most number of flight routes.,"SELECT `t1`.`name`, `t1`.`city`, `t2`.`src_apid` FROM `airports` AS `t1` JOIN `routes` AS `t2` ON `t1`.`apid` = `t2`.`src_apid` GROUP BY `t1`.`name`, `t1`.`city`, `t2`.`src_apid` ORDER BY COUNT(*) DESC LIMIT 1"
What is the name and city of the airport from most of the routes start?,"SELECT `t1`.`name`, `t1`.`city`, `t2`.`src_apid` FROM `airports` AS `t1` JOIN `routes` AS `t2` ON `t1`.`apid` = `t2`.`src_apid` GROUP BY `t1`.`name`, `t1`.`city`, `t2`.`src_apid` ORDER BY COUNT(*) DESC LIMIT 1"
Find the number of different airports which are the destinations of the American Airlines.,SELECT COUNT(DISTINCT `dst_apid`) FROM `airlines` AS `t1` JOIN `routes` AS `t2` ON `t1`.`alid` = `t2`.`alid` WHERE `t1`.`name` = 'American Airlines'
What is the number of different different airports that are destinations for American Airlines?,SELECT COUNT(DISTINCT `dst_apid`) FROM `airlines` AS `t1` JOIN `routes` AS `t2` ON `t1`.`alid` = `t2`.`alid` WHERE `t1`.`name` = 'American Airlines'
Which countries has the most number of airlines?,SELECT `country` FROM `airlines` GROUP BY `country` ORDER BY COUNT(*) DESC LIMIT 1
What is the name of the country with the most number of home airlines?,SELECT `country` FROM `airlines` GROUP BY `country` ORDER BY COUNT(*) DESC LIMIT 1
Which countries has the most number of airlines whose active status is 'Y'?,SELECT `country` FROM `airlines` WHERE `active` = 'Y' GROUP BY `country` ORDER BY COUNT(*) DESC LIMIT 1
What are the countries with the most airlines whose active status is Y?,SELECT `country` FROM `airlines` WHERE `active` = 'Y' GROUP BY `country` ORDER BY COUNT(*) DESC LIMIT 1
List all countries and their number of airlines in the descending order of number of airlines.,"SELECT `country`, COUNT(*) FROM `airlines` GROUP BY `country` ORDER BY COUNT(*) DESC"
How many airlines operate out of each country in descending order?,"SELECT `country`, COUNT(*) FROM `airlines` GROUP BY `country` ORDER BY COUNT(*) DESC"
How many airports are there per country? Order the countries by decreasing number of airports.,"SELECT COUNT(*), `country` FROM `airports` GROUP BY `country` ORDER BY COUNT(*) DESC"
"What is the number of airports per country, ordered from most to least?","SELECT COUNT(*), `country` FROM `airports` GROUP BY `country` ORDER BY COUNT(*) DESC"
How many airports are there per city in the United States? Order the cities by decreasing number of airports.,"SELECT COUNT(*), `city` FROM `airports` WHERE `country` = 'United States' GROUP BY `city` ORDER BY COUNT(*) DESC"
How many airports are there per city in the US ordered from most to least?,"SELECT COUNT(*), `city` FROM `airports` WHERE `country` = 'United States' GROUP BY `city` ORDER BY COUNT(*) DESC"
Return the cities with more than 3 airports in the United States.,SELECT `city` FROM `airports` WHERE `country` = 'United States' GROUP BY `city` HAVING COUNT(*) > 3
What is the number of cities in the United States with more than 3 airports?,SELECT `city` FROM `airports` WHERE `country` = 'United States' GROUP BY `city` HAVING COUNT(*) > 3
How many cities are there that have more than 3 airports?,SELECT COUNT(*) FROM (SELECT `city` FROM `airports` GROUP BY `city` HAVING COUNT(*) > 3) AS `derived_table`
What is the count of cities with more than 3 airports?,SELECT COUNT(*) FROM (SELECT `city` FROM `airports` GROUP BY `city` HAVING COUNT(*) > 3) AS `derived_table`
List the cities which have more than one airport and number of airports.,"SELECT `city`, COUNT(*) FROM `airports` GROUP BY `city` HAVING COUNT(*) > 1"
What are the names of all cities with more than one airport and how many airports do they have?,"SELECT `city`, COUNT(*) FROM `airports` GROUP BY `city` HAVING COUNT(*) > 1"
List the cities which have more than 2 airports sorted by the number of airports.,SELECT `city` FROM `airports` GROUP BY `city` HAVING COUNT(*) > 2 ORDER BY COUNT(*)
What are the cities that have more than 2 airports sorted by number of airports?,SELECT `city` FROM `airports` GROUP BY `city` HAVING COUNT(*) > 2 ORDER BY COUNT(*)
Find the number of routes for each source airport and the airport name.,"SELECT COUNT(*), `t1`.`name` FROM `airports` AS `t1` JOIN `routes` AS `t2` ON `t1`.`apid` = `t2`.`src_apid` GROUP BY `t1`.`name`"
