question,sql
What is the name of the race held most recently?,SELECT name FROM races ORDER BY date DESC LIMIT 1
What is the name of the race that occurred most recently?,SELECT name FROM races ORDER BY date DESC LIMIT 1
What is the name and date of the most recent race?,"SELECT name ,  date FROM races ORDER BY date DESC LIMIT 1"
What is the name and date of the race that occurred most recently?,"SELECT name ,  date FROM races ORDER BY date DESC LIMIT 1"
Find the names of all races held in 2017.,SELECT name FROM races WHERE YEAR = 2017
What are the names of all the races that occurred in the year 2017?,SELECT name FROM races WHERE YEAR = 2017
Find the distinct names of all races held between 2014 and 2017?,SELECT DISTINCT name FROM races WHERE YEAR BETWEEN 2014 AND 2017
What are the unique names of all race held between 2014 and 2017?,SELECT DISTINCT name FROM races WHERE YEAR BETWEEN 2014 AND 2017
List the forename and surname of all distinct drivers who once had laptime less than 93000 milliseconds?,"SELECT DISTINCT T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE T2.milliseconds < 93000"
What are the forenames and surnames of all unique drivers who had a lap time of less than 93000 milliseconds?,"SELECT DISTINCT T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE T2.milliseconds < 93000"
Find all the distinct id and nationality of drivers who have had laptime more than 100000 milliseconds?,"SELECT DISTINCT T1.driverid ,  T1.nationality FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE T2.milliseconds >  100000"
What are the different driver ids and nationalities of all drivers who had a laptime of more than 100000 milliseconds?,"SELECT DISTINCT T1.driverid ,  T1.nationality FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE T2.milliseconds >  100000"
What are the forename and surname of the driver who has the smallest laptime?,"SELECT T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid ORDER BY T2.milliseconds LIMIT 1"
What is the forename and surname of the driver with the shortest laptime?,"SELECT T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid ORDER BY T2.milliseconds LIMIT 1"
What is the id and family name of the driver who has the longest laptime?,"SELECT T1.driverid ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid ORDER BY T2.milliseconds DESC LIMIT 1"
What is the id and last name of the driver with the longest laptime?,"SELECT T1.driverid ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid ORDER BY T2.milliseconds DESC LIMIT 1"
"What is the id, forname and surname of the driver who had the first position in terms of laptime at least twice?","SELECT T1.driverid ,  T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE POSITION  =  '1' GROUP BY T1.driverid HAVING count(*)  >=  2"
"What is the id, first name, and last name of the driver who was in the first position for laptime at least twice?","SELECT T1.driverid ,  T1.forename ,  T1.surname FROM drivers AS T1 JOIN laptimes AS T2 ON T1.driverid = T2.driverid WHERE POSITION  =  '1' GROUP BY T1.driverid HAVING count(*)  >=  2"
How many drivers participated in the race Australian Grand Prix held in 2009?,"SELECT count(*) FROM results AS T1 JOIN races AS T2 ON T1.raceid = T2.raceid WHERE T2.name = ""Australian Grand Prix"" AND YEAR = 2009"
How many drivers were in the Australian Grand Prix held in 2009?,"SELECT count(*) FROM results AS T1 JOIN races AS T2 ON T1.raceid = T2.raceid WHERE T2.name = ""Australian Grand Prix"" AND YEAR = 2009"
How many drivers did not participate in the races held in 2009?,SELECT count(DISTINCT driverId) FROM results WHERE raceId NOT IN( SELECT raceId FROM races WHERE YEAR != 2009 )
How many drivers did not race in 2009?,SELECT count(DISTINCT driverId) FROM results WHERE raceId NOT IN( SELECT raceId FROM races WHERE YEAR != 2009 )
Give me a list of names and years of races that had any driver whose forename is Lewis?,"SELECT T2.name ,  T2.year FROM results AS T1 JOIN races AS T2 ON T1.raceid = T2.raceid JOIN drivers AS T3 ON T1.driverid = T3.driverid WHERE T3.forename = ""Lewis"""
What are the names and years of all races that had a driver with the last name Lewis?,"SELECT T2.name ,  T2.year FROM results AS T1 JOIN races AS T2 ON T1.raceid = T2.raceid JOIN drivers AS T3 ON T1.driverid = T3.driverid WHERE T3.forename = ""Lewis"""
Find the forename and surname of drivers whose nationality is German?,"SELECT forename ,  surname FROM drivers WHERE nationality = ""German"""
What is the first and last name of all the German drivers?,"SELECT forename ,  surname FROM drivers WHERE nationality = ""German"""
