question,sql
How many video games exist?,SELECT count(*) FROM Video_games
How many video games do you have?,SELECT count(*) FROM Video_games
How many video game types exist?,SELECT count(DISTINCT gtype) FROM Video_games
What is the count of different game types?,SELECT count(DISTINCT gtype) FROM Video_games
Show all video game types.,SELECT DISTINCT gtype FROM Video_games
What are the different types of video games?,SELECT DISTINCT gtype FROM Video_games
Show all video games and their types in the order of their names.,"SELECT gname ,  gtype FROM Video_games ORDER BY gname"
What are the names of all the video games and their types in alphabetical order?,"SELECT gname ,  gtype FROM Video_games ORDER BY gname"
Show all video games with type Collectible card game.,"SELECT gname FROM Video_games WHERE gtype  =  ""Collectible card game"""
What are the names of all video games that are collectible cards?,"SELECT gname FROM Video_games WHERE gtype  =  ""Collectible card game"""
What is the type of video game Call of Destiny.,"SELECT gtype FROM Video_games WHERE gname  =  ""Call of Destiny"""
What type of game is Call of Destiny?,"SELECT gtype FROM Video_games WHERE gname  =  ""Call of Destiny"""
How many video games have type Massively multiplayer online game?,"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game"""
Count the number of video games with Massively multiplayer online game type .,"SELECT count(*) FROM Video_games WHERE gtype  =  ""Massively multiplayer online game"""
Show all video game types and the number of video games in each type.,"SELECT gtype ,  count(*) FROM Video_games GROUP BY gtype"
What are the types of video games and how many are in each type?,"SELECT gtype ,  count(*) FROM Video_games GROUP BY gtype"
Which game type has most number of games?,SELECT gtype FROM Video_games GROUP BY gtype ORDER BY count(*) DESC LIMIT 1
What type has the most games?,SELECT gtype FROM Video_games GROUP BY gtype ORDER BY count(*) DESC LIMIT 1
Which game type has least number of games?,SELECT gtype FROM Video_games GROUP BY gtype ORDER BY count(*) LIMIT 1
What is the type with the fewest games?,SELECT gtype FROM Video_games GROUP BY gtype ORDER BY count(*) LIMIT 1
Show ids for all students who live in CHI.,"SELECT StuID FROM Student WHERE city_code  =  ""CHI"""
What are the ids of all students who live in CHI?,"SELECT StuID FROM Student WHERE city_code  =  ""CHI"""
Show ids for all students who have advisor 1121.,SELECT StuID FROM Student WHERE Advisor  =  1121
What are the ids of all students who have advisor number 1121?,SELECT StuID FROM Student WHERE Advisor  =  1121
Show first name for all students with major 600.,SELECT Fname FROM Student WHERE Major  =  600
What are the first names for all students who are from the major numbered 600?,SELECT Fname FROM Student WHERE Major  =  600
"Show the average, minimum, and maximum age for different majors.","SELECT major ,  avg(age) ,  min(age) ,  max(age) FROM Student GROUP BY major"
"What are the average, minimum, and max ages for each of the different majors?","SELECT major ,  avg(age) ,  min(age) ,  max(age) FROM Student GROUP BY major"
Show all advisors who have at least two students.,SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2
What are the advisors,SELECT advisor FROM Student GROUP BY advisor HAVING count(*)  >=  2
How many sports do we have?,SELECT count(DISTINCT sportname) FROM Sportsinfo
How many different types of sports do we offer?,SELECT count(DISTINCT sportname) FROM Sportsinfo
How many students play sports?,SELECT count(DISTINCT StuID) FROM Sportsinfo
How many different students are involved in sports?,SELECT count(DISTINCT StuID) FROM Sportsinfo
List ids for all student who are on scholarship.,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y'
What are the ids for all sporty students who are on scholarship?,SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y'
Show last names for all student who are on scholarship.,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y'
What are the last names for all scholarship students?,SELECT T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.onscholarship  =  'Y'
How many games are played for all students?,SELECT sum(gamesplayed) FROM Sportsinfo
What is the total number of games played?,SELECT sum(gamesplayed) FROM Sportsinfo
How many games are played for all football games by students on scholarship?,"SELECT sum(gamesplayed) FROM Sportsinfo WHERE sportname  =  ""Football"" AND onscholarship  =  'Y'"
What is the total number of all football games played by scholarship students?,"SELECT sum(gamesplayed) FROM Sportsinfo WHERE sportname  =  ""Football"" AND onscholarship  =  'Y'"
Show all sport name and the number of students.,"SELECT sportname ,  count(*) FROM Sportsinfo GROUP BY sportname"
How many students play each sport?,"SELECT sportname ,  count(*) FROM Sportsinfo GROUP BY sportname"
Show all student IDs with the number of sports and total number of games played,"SELECT StuID ,  count(*) ,  sum(gamesplayed) FROM Sportsinfo GROUP BY StuID"
What are the ids of all students along with how many sports and games did they play?,"SELECT StuID ,  count(*) ,  sum(gamesplayed) FROM Sportsinfo GROUP BY StuID"
Show all student IDs with more than total 10 hours per week on all sports played.,SELECT StuID FROM Sportsinfo GROUP BY StuID HAVING sum(hoursperweek)  >  10
What are the student IDs for everybody who worked for more than 10 hours per week on all sports?,SELECT StuID FROM Sportsinfo GROUP BY StuID HAVING sum(hoursperweek)  >  10
What is the first name and last name of the student who have most number of sports?,"SELECT T2.Fname ,  T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.StuID ORDER BY count(*) DESC LIMIT 1"
What is the first and last name of the student who played the most sports?,"SELECT T2.Fname ,  T2.Lname FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID GROUP BY T1.StuID ORDER BY count(*) DESC LIMIT 1"
Which sport has most number of students on scholarship?,SELECT sportname FROM Sportsinfo WHERE onscholarship  =  'Y' GROUP BY sportname ORDER BY count(*) DESC LIMIT 1
What is the sport with the most scholarship students?,SELECT sportname FROM Sportsinfo WHERE onscholarship  =  'Y' GROUP BY sportname ORDER BY count(*) DESC LIMIT 1
Show student ids who don't have any sports.,SELECT StuID FROM Student EXCEPT SELECT StuID FROM Sportsinfo
What are the ids of all students who don't play sports?,SELECT StuID FROM Student EXCEPT SELECT StuID FROM Sportsinfo
Show student ids who are on scholarship and have major 600.,SELECT StuID FROM Student WHERE major  =  600 INTERSECT SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y'
What are the student ids for those on scholarship in major number 600?,SELECT StuID FROM Student WHERE major  =  600 INTERSECT SELECT StuID FROM Sportsinfo WHERE onscholarship  =  'Y'
Show student ids who are female and play football.,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
What are the ids of all female students who play football?,"SELECT StuID FROM Student WHERE sex  =  'F' INTERSECT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
Show all male student ids who don't play football.,"SELECT StuID FROM Student WHERE sex  =  'M' EXCEPT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
What are the ids of all male students who do not play football?,"SELECT StuID FROM Student WHERE sex  =  'M' EXCEPT SELECT StuID FROM Sportsinfo WHERE sportname  =  ""Football"""
Show total hours per week and number of games played for student David Shieber.,"SELECT sum(hoursperweek) ,  sum(gamesplayed) FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T2.Fname  =  ""David"" AND T2.Lname  =  ""Shieber"""
What is the total number of hours per work and number of games played by David Shieber?,"SELECT sum(hoursperweek) ,  sum(gamesplayed) FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T2.Fname  =  ""David"" AND T2.Lname  =  ""Shieber"""
Show total hours per week and number of games played for students under 20.,"SELECT sum(hoursperweek) ,  sum(gamesplayed) FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T2.age  <  20"
What is the total number of hours per week and number of games played by students under 20?,"SELECT sum(hoursperweek) ,  sum(gamesplayed) FROM Sportsinfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T2.age  <  20"
How many students play video games?,SELECT count(DISTINCT StuID) FROM Plays_games
How many different students play games?,SELECT count(DISTINCT StuID) FROM Plays_games
Show ids of students who don't play video game.,SELECT StuID FROM Student EXCEPT SELECT StuID FROM Plays_games
What are the ids of all students who are not video game players?,SELECT StuID FROM Student EXCEPT SELECT StuID FROM Plays_games
Show ids of students who play video game and play sports.,SELECT StuID FROM Sportsinfo INTERSECT SELECT StuID FROM Plays_games
What are the ids of all students who played video games and sports?,SELECT StuID FROM Sportsinfo INTERSECT SELECT StuID FROM Plays_games
Show all game ids and the number of hours played.,"SELECT gameid ,  sum(hours_played) FROM Plays_games GROUP BY gameid"
What are ids and total number of hours played for each game?,"SELECT gameid ,  sum(hours_played) FROM Plays_games GROUP BY gameid"
Show all student ids and the number of hours played.,"SELECT Stuid ,  sum(hours_played) FROM Plays_games GROUP BY Stuid"
What are the ids of all students and number of hours played?,"SELECT Stuid ,  sum(hours_played) FROM Plays_games GROUP BY Stuid"
Show the game name that has most number of hours played.,SELECT gname FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.gameid  =  T2.gameid GROUP BY T1.gameid ORDER BY sum(hours_played) DESC LIMIT 1
What is the name of the game that has been played the most?,SELECT gname FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.gameid  =  T2.gameid GROUP BY T1.gameid ORDER BY sum(hours_played) DESC LIMIT 1
Show all game names played by at least 1000 hours.,SELECT gname FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.gameid  =  T2.gameid GROUP BY T1.gameid HAVING sum(hours_played)  >=  1000
What are the names of all the games that have been played for at least 1000 hours?,SELECT gname FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.gameid  =  T2.gameid GROUP BY T1.gameid HAVING sum(hours_played)  >=  1000
Show all game names played by Linda Smith,"SELECT Gname FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.gameid  =  T2.gameid JOIN Student AS T3 ON T3.Stuid  =  T1.Stuid WHERE T3.Lname  =  ""Smith"" AND T3.Fname  =  ""Linda"""
What are the names of all games played by Linda Smith?,"SELECT Gname FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.gameid  =  T2.gameid JOIN Student AS T3 ON T3.Stuid  =  T1.Stuid WHERE T3.Lname  =  ""Smith"" AND T3.Fname  =  ""Linda"""
Find the last and first name of students who are playing Football or Lacrosse.,"SELECT T2.lname ,  T2.fname FROM SportsInfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.SportName  =  ""Football"" OR T1.SportName  =  ""Lacrosse"""
What is the first and last name of all students who play Football or Lacrosse?,"SELECT T2.lname ,  T2.fname FROM SportsInfo AS T1 JOIN Student AS T2 ON T1.StuID  =  T2.StuID WHERE T1.SportName  =  ""Football"" OR T1.SportName  =  ""Lacrosse"""
Find the first name and age of the students who are playing both Football and Lacrosse.,"SELECT fname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Sportsinfo WHERE SportName  =  ""Football"" INTERSECT SELECT StuID FROM Sportsinfo WHERE SportName  =  ""Lacrosse"")"
What are the first names and ages of all students who are playing both Football and Lacrosse?,"SELECT fname ,  age FROM Student WHERE StuID IN (SELECT StuID FROM Sportsinfo WHERE SportName  =  ""Football"" INTERSECT SELECT StuID FROM Sportsinfo WHERE SportName  =  ""Lacrosse"")"
Find the last name and gender of the students who are playing both Call of Destiny and Works of Widenius games.,"SELECT lname ,  sex FROM Student WHERE StuID IN (SELECT T1.StuID FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.GameID  =  T2.GameID WHERE T2.Gname  =  ""Call of Destiny"" INTERSECT SELECT T1.StuID FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.GameID  =  T2.GameID WHERE T2.Gname  =  ""Works of Widenius"")"
what is the last name and gender of all students who played both Call of Destiny and Works of Widenius?,"SELECT lname ,  sex FROM Student WHERE StuID IN (SELECT T1.StuID FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.GameID  =  T2.GameID WHERE T2.Gname  =  ""Call of Destiny"" INTERSECT SELECT T1.StuID FROM Plays_games AS T1 JOIN Video_games AS T2 ON T1.GameID  =  T2.GameID WHERE T2.Gname  =  ""Works of Widenius"")"
