question,sql
How many gymnasts are there?,SELECT COUNT(*) FROM `gymnast`
Count the number of gymnasts.,SELECT COUNT(*) FROM `gymnast`
List the total points of gymnasts in descending order.,SELECT `Total_Points` FROM `gymnast` ORDER BY `Total_Points` DESC
"What are the total points for all gymnasts, ordered by total points descending?",SELECT `Total_Points` FROM `gymnast` ORDER BY `Total_Points` DESC
List the total points of gymnasts in descending order of floor exercise points.,SELECT `Total_Points` FROM `gymnast` ORDER BY `Floor_Exercise_Points` DESC
"What are the total points of gymnasts, ordered by their floor exercise points descending?",SELECT `Total_Points` FROM `gymnast` ORDER BY `Floor_Exercise_Points` DESC
What is the average horizontal bar points for all gymnasts?,SELECT AVG(`Horizontal_Bar_Points`) FROM `gymnast`
Return the average horizontal bar points across all gymnasts.,SELECT AVG(`Horizontal_Bar_Points`) FROM `gymnast`
What are the names of people in ascending alphabetical order?,SELECT `Name` FROM `people` ORDER BY `Name` ASC
"Return the names of people, ordered alphabetically.",SELECT `Name` FROM `people` ORDER BY `Name` ASC
What are the names of gymnasts?,SELECT `t2`.`Name` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID`
Return the names of the gymnasts.,SELECT `t2`.`Name` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID`
"What are the names of gymnasts whose hometown is not ""Santo Domingo""?",SELECT `t2`.`Name` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` WHERE `t2`.`Hometown` <> 'Santo Domingo'
Return the names of gymnasts who did not grow up in Santo Domingo.,SELECT `t2`.`Name` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` WHERE `t2`.`Hometown` <> 'Santo Domingo'
What is the age of the tallest person?,SELECT `Age` FROM `people` ORDER BY `Height` DESC LIMIT 1
Return the age of the person with the greatest height.,SELECT `Age` FROM `people` ORDER BY `Height` DESC LIMIT 1
List the names of the top 5 oldest people.,SELECT `Name` FROM `people` ORDER BY `Age` DESC LIMIT 5
What are the names of the five oldest people?,SELECT `Name` FROM `people` ORDER BY `Age` DESC LIMIT 5
What is the total point count of the youngest gymnast?,SELECT `t1`.`Total_Points` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` ORDER BY `t2`.`Age` ASC LIMIT 1
Return the total points of the gymnast with the lowest age.,SELECT `t1`.`Total_Points` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` ORDER BY `t2`.`Age` ASC LIMIT 1
What is the average age of all gymnasts?,SELECT AVG(`t2`.`Age`) FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID`
Return the average age across all gymnasts.,SELECT AVG(`t2`.`Age`) FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID`
What are the distinct hometowns of gymnasts with total points more than 57.5?,SELECT DISTINCT `t2`.`Hometown` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` WHERE `t1`.`Total_Points` > 57.5
Give the different hometowns of gymnasts that have a total point score of above 57.5.,SELECT DISTINCT `t2`.`Hometown` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` WHERE `t1`.`Total_Points` > 57.5
What are the hometowns of gymnasts and the corresponding number of gymnasts?,"SELECT `t2`.`Hometown`, COUNT(*) FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` GROUP BY `t2`.`Hometown`"
How many gymnasts are from each hometown?,"SELECT `t2`.`Hometown`, COUNT(*) FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` GROUP BY `t2`.`Hometown`"
What is the most common hometown of gymnasts?,SELECT `t2`.`Hometown` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` GROUP BY `t2`.`Hometown` ORDER BY COUNT(*) DESC LIMIT 1
Return the hometown that is most common among gymnasts.,SELECT `t2`.`Hometown` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` GROUP BY `t2`.`Hometown` ORDER BY COUNT(*) DESC LIMIT 1
What are the hometowns that are shared by at least two gymnasts?,SELECT `t2`.`Hometown` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` GROUP BY `t2`.`Hometown` HAVING COUNT(*) >= 2
Give the hometowns from which two or more gymnasts are from.,SELECT `t2`.`Hometown` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` GROUP BY `t2`.`Hometown` HAVING COUNT(*) >= 2
List the names of gymnasts in ascending order by their heights.,SELECT `t2`.`Name` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` ORDER BY `t2`.`Height` ASC
"What are the names of gymnasts, ordered by their heights ascending?",SELECT `t2`.`Name` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` ORDER BY `t2`.`Height` ASC
List the distinct hometowns that are not associated with any gymnast.,SELECT DISTINCT `Hometown` FROM `people` EXCEPT SELECT DISTINCT `t2`.`Hometown` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID`
From which hometowns did no gymnasts come from?,SELECT DISTINCT `Hometown` FROM `people` EXCEPT SELECT DISTINCT `t2`.`Hometown` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID`
Show the hometowns shared by people older than 23 and younger than 20.,SELECT `Hometown` FROM `people` WHERE `Age` > 23 INTERSECT SELECT `Hometown` FROM `people` WHERE `Age` < 20
From which hometowns did both people older than 23 and younger than 20 come from?,SELECT `Hometown` FROM `people` WHERE `Age` > 23 INTERSECT SELECT `Hometown` FROM `people` WHERE `Age` < 20
How many distinct hometowns did these people have?,SELECT COUNT(DISTINCT `Hometown`) FROM `people`
Count the number of different hometowns of these people.,SELECT COUNT(DISTINCT `Hometown`) FROM `people`
Show the ages of gymnasts in descending order of total points.,SELECT `t2`.`Age` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` ORDER BY `t1`.`Total_Points` DESC
"What are the ages of the gymnasts, ordered descending by their total points?",SELECT `t2`.`Age` FROM `gymnast` AS `t1` JOIN `people` AS `t2` ON `t1`.`Gymnast_ID` = `t2`.`People_ID` ORDER BY `t1`.`Total_Points` DESC
