question,sql
Which department has the largest number of employees?,SELECT `name` FROM `Department` GROUP BY `name` ORDER BY COUNT(`departmentID`) DESC LIMIT 1
Find the department with the most employees.,SELECT `name` FROM `Department` GROUP BY `name` ORDER BY COUNT(`departmentID`) DESC LIMIT 1
What is the employee id of the head whose department has the least number of employees?,SELECT `head` FROM `Department` GROUP BY `head` ORDER BY COUNT(`departmentID`) LIMIT 1
Tell me the employee id of the head of the department with the least employees.,SELECT `head` FROM `Department` GROUP BY `head` ORDER BY COUNT(`departmentID`) LIMIT 1
what is the name and position of the head whose department has least number of employees?,"SELECT `t2`.`name`, `t2`.`position` FROM `Department` AS `t1` JOIN `Physician` AS `t2` ON `t1`.`head` = `t2`.`EmployeeID` GROUP BY `t2`.`name`, `t2`.`position` ORDER BY COUNT(`departmentID`) LIMIT 1"
Find the name and position of the head of the department with the least employees.,"SELECT `t2`.`name`, `t2`.`position` FROM `Department` AS `t1` JOIN `Physician` AS `t2` ON `t1`.`head` = `t2`.`EmployeeID` GROUP BY `t2`.`name`, `t2`.`position` ORDER BY COUNT(`departmentID`) LIMIT 1"
What are names of patients who made an appointment?,SELECT `name` FROM `Appointment` AS `t1` JOIN `Patient` AS `t2` ON `t1`.`patient` = `t2`.`ssn`
List the names of patients who have made appointments.,SELECT `name` FROM `Appointment` AS `t1` JOIN `Patient` AS `t2` ON `t1`.`patient` = `t2`.`ssn`
what are name and phone number of patients who had more than one appointment?,"SELECT `name`, `phone` FROM `Appointment` AS `t1` JOIN `Patient` AS `t2` ON `t1`.`patient` = `t2`.`ssn` GROUP BY `name`, `phone` HAVING COUNT(*) > 1"
Which patients made more than one appointment? Tell me the name and phone number of these patients.,"SELECT `name`, `phone` FROM `Appointment` AS `t1` JOIN `Patient` AS `t2` ON `t1`.`patient` = `t2`.`ssn` GROUP BY `name`, `phone` HAVING COUNT(*) > 1"
Find the id of the appointment with the most recent start date?,SELECT `appointmentid` FROM `Appointment` ORDER BY `START` DESC LIMIT 1
What is the id of the appointment that started most recently?,SELECT `appointmentid` FROM `Appointment` ORDER BY `START` DESC LIMIT 1
List the name of physicians who took some appointment.,SELECT `t2`.`name` FROM `Appointment` AS `t1` JOIN `Physician` AS `t2` ON `t1`.`Physician` = `t2`.`EmployeeID`
What are the names of all the physicians who took appointments.,SELECT `t2`.`name` FROM `Appointment` AS `t1` JOIN `Physician` AS `t2` ON `t1`.`Physician` = `t2`.`EmployeeID`
