question,sql
How many authors are there?,SELECT COUNT(*) FROM `authors`
Count the number of authors.,SELECT COUNT(*) FROM `authors`
How many institutions are there?,SELECT COUNT(*) FROM `inst`
Count the number of institutions.,SELECT COUNT(*) FROM `inst`
How many papers are published in total?,SELECT COUNT(*) FROM `papers`
Count the number of total papers.,SELECT COUNT(*) FROM `papers`
"What are the titles of papers published by ""Jeremy Gibbons""?",SELECT `t3`.`title` FROM `authors` AS `t1` JOIN `authorship` AS `t2` ON `t1`.`authid` = `t2`.`authid` JOIN `papers` AS `t3` ON `t2`.`paperid` = `t3`.`paperid` WHERE `t1`.`fname` = `Jeremy` AND `t1`.`lname` = `Gibbons`
"Find the titles of all the papers written by ""Jeremy Gibbons""",SELECT `t3`.`title` FROM `authors` AS `t1` JOIN `authorship` AS `t2` ON `t1`.`authid` = `t2`.`authid` JOIN `papers` AS `t3` ON `t2`.`paperid` = `t3`.`paperid` WHERE `t1`.`fname` = `Jeremy` AND `t1`.`lname` = `Gibbons`
"Find all the papers published by ""Aaron Turon"".",SELECT `t3`.`title` FROM `authors` AS `t1` JOIN `authorship` AS `t2` ON `t1`.`authid` = `t2`.`authid` JOIN `papers` AS `t3` ON `t2`.`paperid` = `t3`.`paperid` WHERE `t1`.`fname` = `Aaron` AND `t1`.`lname` = `Turon`
"Find the titles of all the papers written by ""Aaron Turon"".",SELECT `t3`.`title` FROM `authors` AS `t1` JOIN `authorship` AS `t2` ON `t1`.`authid` = `t2`.`authid` JOIN `papers` AS `t3` ON `t2`.`paperid` = `t3`.`paperid` WHERE `t1`.`fname` = `Aaron` AND `t1`.`lname` = `Turon`
"How many papers have ""Atsushi Ohori"" published?",SELECT COUNT(*) FROM `authors` AS `t1` JOIN `authorship` AS `t2` ON `t1`.`authid` = `t2`.`authid` JOIN `papers` AS `t3` ON `t2`.`paperid` = `t3`.`paperid` WHERE `t1`.`fname` = `Atsushi` AND `t1`.`lname` = `Ohori`
"How many papers are ""Atsushi Ohori"" the author of?",SELECT COUNT(*) FROM `authors` AS `t1` JOIN `authorship` AS `t2` ON `t1`.`authid` = `t2`.`authid` JOIN `papers` AS `t3` ON `t2`.`paperid` = `t3`.`paperid` WHERE `t1`.`fname` = `Atsushi` AND `t1`.`lname` = `Ohori`
