question,sql
How many editors are there?,SELECT count(*) FROM editor
List the names of editors in ascending order of age.,SELECT Name FROM editor ORDER BY Age ASC
What are the names and ages of editors?,"SELECT Name ,  Age FROM editor"
List the names of editors who are older than 25.,SELECT Name FROM editor WHERE Age  >  25
Show the names of editors of age either 24 or 25.,SELECT Name FROM editor WHERE Age  =  24 OR Age  =  25
What is the name of the youngest editor?,SELECT Name FROM editor ORDER BY Age ASC LIMIT 1
What are the different ages of editors? Show each age along with the number of editors of that age.,"SELECT Age ,  COUNT(*) FROM editor GROUP BY Age"
Please show the most common age of editors.,SELECT Age FROM editor GROUP BY Age ORDER BY COUNT(*) DESC LIMIT 1
Show the distinct themes of journals.,SELECT DISTINCT Theme FROM journal
Show the names of editors and the theme of journals for which they serve on committees.,"SELECT T2.Name ,  T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID"
"For each journal_committee, find the editor name and the journal theme.","SELECT T2.Name ,  T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID"
"Show the names and ages of editors and the theme of journals for which they serve on committees, in ascending alphabetical order of theme.","SELECT T2.Name ,  T2.age ,  T3.Theme FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID ORDER BY T3.Theme ASC"
Show the names of editors that are on the committee of journals with sales bigger than 3000.,SELECT T2.Name FROM journal_committee AS T1 JOIN editor AS T2 ON T1.Editor_ID  =  T2.Editor_ID JOIN journal AS T3 ON T1.Journal_ID  =  T3.Journal_ID WHERE T3.Sales  >  3000
"Show the id, name of each editor and the number of journal committees they are on.","SELECT T1.editor_id ,  T1.Name ,  COUNT(*) FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID  =  T2.Editor_ID GROUP BY T1.editor_id"
Show the names of editors that are on at least two journal committees.,SELECT T1.Name FROM editor AS T1 JOIN journal_committee AS T2 ON T1.Editor_ID  =  T2.Editor_ID GROUP BY T1.Name HAVING COUNT(*)  >=  2
List the names of editors that are not on any journal committee.,SELECT Name FROM editor WHERE editor_id NOT IN (SELECT editor_id FROM journal_committee)
"List the date, theme and sales of the journal which did not have any of the listed editors serving on committee.","SELECT date ,  theme ,  sales FROM journal EXCEPT SELECT T1.date ,  T1.theme ,  T1.sales FROM journal AS T1 JOIN journal_committee AS T2 ON T1.journal_ID  =  T2.journal_ID"
What is the average sales of the journals that have an editor whose work type is 'Photo'?,SELECT avg(T1.sales) FROM journal AS T1 JOIN journal_committee AS T2 ON T1.journal_ID  =  T2.journal_ID WHERE T2.work_type  =  'Photo'
