question,sql
How many bank branches are there?,SELECT COUNT(*) FROM `bank`
Count the number of bank branches.,SELECT COUNT(*) FROM `bank`
How many customers are there?,SELECT SUM(`no_of_customers`) FROM `bank`
What is the total number of customers across banks?,SELECT SUM(`no_of_customers`) FROM `bank`
Find the number of customers in the banks at New York City.,SELECT SUM(`no_of_customers`) FROM `bank` WHERE `city` = 'New York City'
What is the total number of customers who use banks in New York City?,SELECT SUM(`no_of_customers`) FROM `bank` WHERE `city` = 'New York City'
Find the average number of customers in all banks of Utah state.,SELECT AVG(`no_of_customers`) FROM `bank` WHERE `state` = 'Utah'
What is the average number of customers across banks in the state of Utah?,SELECT AVG(`no_of_customers`) FROM `bank` WHERE `state` = 'Utah'
Find the average number of customers cross all banks.,SELECT AVG(`no_of_customers`) FROM `bank`
What is the average number of bank customers?,SELECT AVG(`no_of_customers`) FROM `bank`
Find the city and state of the bank branch named morningside.,"SELECT `city`, `state` FROM `bank` WHERE `bname` = 'morningside'"
What city and state is the bank with the name morningside in?,"SELECT `city`, `state` FROM `bank` WHERE `bname` = 'morningside'"
Find the branch names of banks in the New York state.,SELECT `bname` FROM `bank` WHERE `state` = 'New York'
What are the names of banks in the state of New York?,SELECT `bname` FROM `bank` WHERE `state` = 'New York'
List the name of all customers sorted by their account balance in ascending order.,SELECT `cust_name` FROM `customer` ORDER BY `acc_bal`
"What are the names of all customers, ordered by account balance?",SELECT `cust_name` FROM `customer` ORDER BY `acc_bal`
List the name of all different customers who have some loan sorted by their total loan amount.,SELECT `T1`.`cust_name` FROM `customer` AS `T1` JOIN `loan` AS `T2` ON `T1`.`cust_id` = `T2`.`cust_id` GROUP BY `T1`.`cust_name` ORDER BY SUM(`T2`.`amount`)
"What are the names of the different customers who have taken out a loan, ordered by the total amount that they have taken?",SELECT `T1`.`cust_name` FROM `customer` AS `T1` JOIN `loan` AS `T2` ON `T1`.`cust_id` = `T2`.`cust_id` GROUP BY `T1`.`cust_name` ORDER BY SUM(`T2`.`amount`)
"Find the state, account type, and credit score of the customer whose number of loan is 0.","SELECT `state`, `acc_type`, `credit_score` FROM `customer` WHERE `no_of_loans` = 0"
"What are the states, account types, and credit scores for customers who have 0 loans?","SELECT `state`, `acc_type`, `credit_score` FROM `customer` WHERE `no_of_loans` = 0"
Find the number of different cities which banks are located at.,SELECT COUNT(DISTINCT `city`) FROM `bank`
In how many different cities are banks located?,SELECT COUNT(DISTINCT `city`) FROM `bank`
Find the number of different states which banks are located at.,SELECT COUNT(DISTINCT `state`) FROM `bank`
In how many different states are banks located?,SELECT COUNT(DISTINCT `state`) FROM `bank`
How many distinct types of accounts are there?,SELECT COUNT(DISTINCT `acc_type`) FROM `customer`
Count the number of different account types.,SELECT COUNT(DISTINCT `acc_type`) FROM `customer`
Find the name and account balance of the customer whose name includes the letter ‘a’.,"SELECT `cust_name`, `acc_bal` FROM `customer` WHERE `cust_name` LIKE '%a%'"
What are the names and account balances of customers with the letter a in their names?,"SELECT `cust_name`, `acc_bal` FROM `customer` WHERE `cust_name` LIKE '%a%'"
Find the total account balance of each customer from Utah or Texas.,SELECT SUM(`acc_bal`) FROM `customer` WHERE `state` = 'Utah' OR `state` = 'Texas'
What are the total account balances for each customer from Utah or Texas?,SELECT SUM(`acc_bal`) FROM `customer` WHERE `state` = 'Utah' OR `state` = 'Texas'
Find the name of customers who have both saving and checking account types.,SELECT `cust_name` FROM `customer` WHERE `acc_type` = 'saving' INTERSECT SELECT `cust_name` FROM `customer` WHERE `acc_type` = 'checking'
