question,sql
what are the details of the cmi masters that have the cross reference code 'Tax'?,SELECT `t1`.`cmi_details` FROM `Customer_Master_Index` AS `t1` JOIN `CMI_Cross_References` AS `t2` ON `t1`.`master_customer_id` = `t2`.`master_customer_id` WHERE `t2`.`source_system_code` = 'Tax'
What is the cmi cross reference id that is related to at least one council tax entry? List the cross reference id and source system code.,"SELECT `t1`.`cmi_cross_ref_id`, `t1`.`source_system_code` FROM `CMI_Cross_References` AS `t1` JOIN `Council_Tax` AS `t2` ON `t1`.`cmi_cross_ref_id` = `t2`.`cmi_cross_ref_id` GROUP BY `t1`.`cmi_cross_ref_id`, `t1`.`source_system_code` HAVING COUNT(*) >= 1"
"How many business rates are related to each cmi cross reference? List cross reference id, master customer id and the n","SELECT `t2`.`cmi_cross_ref_id`, `t2`.`master_customer_id`, COUNT(*) FROM `Business_Rates` AS `t1` JOIN `CMI_Cross_References` AS `t2` ON `t1`.`cmi_cross_ref_id` = `t2`.`cmi_cross_ref_id` GROUP BY `t2`.`cmi_cross_ref_id`, `t2`.`master_customer_id`"
"What is the tax source system code related to the benefits and overpayments? List the code and the benifit id, order by benifit id.","SELECT `t1`.`source_system_code`, `t2`.`council_tax_id` FROM `CMI_Cross_References` AS `t1` JOIN `Benefits_Overpayments` AS `t2` ON `t1`.`cmi_cross_ref_id` = `t2`.`cmi_cross_ref_id` ORDER BY `t2`.`council_tax_id`"
Wat is the tax source system code and master customer id of the taxes related to each parking fine id?,"SELECT `t1`.`source_system_code`, `t1`.`master_customer_id`, `t2`.`council_tax_id` FROM `CMI_Cross_References` AS `t1` JOIN `Parking_Fines` AS `t2` ON `t1`.`cmi_cross_ref_id` = `t2`.`cmi_cross_ref_id`"
"What are the renting arrears tax ids related to the customer master index whose detail is not 'Schmidt, Kertzmann and Lubowitz'?","SELECT `t1`.`council_tax_id` FROM `Rent_Arrears` AS `t1` JOIN `CMI_Cross_References` AS `t2` ON `t1`.`cmi_cross_ref_id` = `t2`.`cmi_cross_ref_id` JOIN `Customer_Master_Index` AS `t3` ON `t3`.`master_customer_id` = `t2`.`master_customer_id` WHERE `t3`.`cmi_details` <> 'Schmidt ,  Kertzmann and Lubowitz'"
What are the register ids of electoral registries that have the cross reference source system code 'Electoral' or 'Tax'?,SELECT `t1`.`electoral_register_id` FROM `Electoral_Register` AS `t1` JOIN `CMI_Cross_References` AS `t2` ON `t1`.`cmi_cross_ref_id` = `t2`.`cmi_cross_ref_id` WHERE `t2`.`source_system_code` = 'Electoral' OR `t2`.`source_system_code` = 'Tax'
How many different source system code for the cmi cross references are there?,SELECT COUNT(DISTINCT `source_system_code`) FROM `CMI_Cross_References`
"List all information about customer master index, and sort them by details in descending order.",SELECT * FROM `Customer_Master_Index` ORDER BY `cmi_details` DESC
List the council tax ids and their related cmi cross references of all the parking fines.,"SELECT `council_tax_id`, `cmi_cross_ref_id` FROM `Parking_Fines`"
How many council taxes are collected for renting arrears ?,SELECT COUNT(*) FROM `Rent_Arrears`
"What are the distinct cross reference source system codes which are related to the master customer details 'Gottlieb, Becker and Wyman'?","SELECT DISTINCT `t2`.`source_system_code` FROM `Customer_Master_Index` AS `t1` JOIN `CMI_Cross_References` AS `t2` ON `t1`.`master_customer_id` = `t2`.`master_customer_id` WHERE `t1`.`cmi_details` = 'Gottlieb ,  Becker and Wyman'"
Which cmi cross reference id is not related to any parking taxes?,SELECT `cmi_cross_ref_id` FROM `CMI_Cross_References` EXCEPT SELECT `cmi_cross_ref_id` FROM `Parking_Fines`
Which distinct source system code includes the substring 'en'?,SELECT DISTINCT `source_system_code` FROM `CMI_Cross_References` WHERE `source_system_code` LIKE '%en%'
