question,sql
How many technicians are there?,SELECT count(*) FROM technician
What is the number of technicians?,SELECT count(*) FROM technician
List the names of technicians in ascending order of age.,SELECT Name FROM technician ORDER BY Age ASC
What are the names of the technicians by ascending order of age?,SELECT Name FROM technician ORDER BY Age ASC
What are the team and starting year of technicians?,"SELECT Team ,  Starting_Year FROM technician"
What is the team and starting year for each technician?,"SELECT Team ,  Starting_Year FROM technician"
"List the name of technicians whose team is not ""NYY"".","SELECT Name FROM technician WHERE Team != ""NYY"""
What is the name of the technician whose team is not 'NYY'?,"SELECT Name FROM technician WHERE Team != ""NYY"""
Show the name of technicians aged either 36 or 37,SELECT Name FROM technician WHERE Age  =  36 OR Age  =  37
What are the names of the technicians aged either 36 or 37?,SELECT Name FROM technician WHERE Age  =  36 OR Age  =  37
What is the starting year of the oldest technicians?,SELECT Starting_Year FROM technician ORDER BY Age DESC LIMIT 1
What is the starting year for the oldest technician?,SELECT Starting_Year FROM technician ORDER BY Age DESC LIMIT 1
Show different teams of technicians and the number of technicians in each team.,"SELECT Team ,  COUNT(*) FROM technician GROUP BY Team"
"For each team, how many technicians are there?","SELECT Team ,  COUNT(*) FROM technician GROUP BY Team"
Please show the team that has the most number of technicians.,SELECT Team FROM technician GROUP BY Team ORDER BY COUNT(*) DESC LIMIT 1
What are the teams with the most technicians?,SELECT Team FROM technician GROUP BY Team ORDER BY COUNT(*) DESC LIMIT 1
Show the team that have at least two technicians.,SELECT Team FROM technician GROUP BY Team HAVING COUNT(*)  >=  2
What is the team with at least 2 technicians?,SELECT Team FROM technician GROUP BY Team HAVING COUNT(*)  >=  2
Show names of technicians and series of machines they are assigned to repair.,"SELECT T3.Name ,  T2.Machine_series FROM repair_assignment AS T1 JOIN machine AS T2 ON T1.machine_id  =  T2.machine_id JOIN technician AS T3 ON T1.technician_ID  =  T3.technician_ID"
What are the names of technicians and the machine series that they repair?,"SELECT T3.Name ,  T2.Machine_series FROM repair_assignment AS T1 JOIN machine AS T2 ON T1.machine_id  =  T2.machine_id JOIN technician AS T3 ON T1.technician_ID  =  T3.technician_ID"
Show names of technicians in ascending order of quality rank of the machine they are assigned.,SELECT T3.Name FROM repair_assignment AS T1 JOIN machine AS T2 ON T1.machine_id  =  T2.machine_id JOIN technician AS T3 ON T1.technician_ID  =  T3.technician_ID ORDER BY T2.quality_rank
What are the names of the technicians by ascending order of quality rank for the machine they are assigned?,SELECT T3.Name FROM repair_assignment AS T1 JOIN machine AS T2 ON T1.machine_id  =  T2.machine_id JOIN technician AS T3 ON T1.technician_ID  =  T3.technician_ID ORDER BY T2.quality_rank
Show names of technicians who are assigned to repair machines with value point more than 70.,SELECT T3.Name FROM repair_assignment AS T1 JOIN machine AS T2 ON T1.machine_id  =  T2.machine_id JOIN technician AS T3 ON T1.technician_ID  =  T3.technician_ID WHERE T2.value_points  >  70
What are the names of the technicians that are assigned to repair machines with more point values than 70?,SELECT T3.Name FROM repair_assignment AS T1 JOIN machine AS T2 ON T1.machine_id  =  T2.machine_id JOIN technician AS T3 ON T1.technician_ID  =  T3.technician_ID WHERE T2.value_points  >  70
Show names of technicians and the number of machines they are assigned to repair.,"SELECT T2.Name ,  COUNT(*) FROM repair_assignment AS T1 JOIN technician AS T2 ON T1.technician_ID  =  T2.technician_ID GROUP BY T2.Name"
What are the names of the technicians  and how many machines are they assigned to repair?,"SELECT T2.Name ,  COUNT(*) FROM repair_assignment AS T1 JOIN technician AS T2 ON T1.technician_ID  =  T2.technician_ID GROUP BY T2.Name"
List the names of technicians who have not been assigned to repair machines.,SELECT Name FROM technician WHERE technician_id NOT IN (SELECT technician_id FROM repair_assignment)
What are the names of the technicians that have not been assigned to repair machines?,SELECT Name FROM technician WHERE technician_id NOT IN (SELECT technician_id FROM repair_assignment)
"Show the starting years shared by technicians from team ""CLE"" and ""CWS"".","SELECT Starting_Year FROM technician WHERE Team  =  ""CLE"" INTERSECT SELECT Starting_Year FROM technician WHERE Team  =  ""CWS"""
"What are the starting years shared by the technicians from the team ""CLE"" or ""CWS""?","SELECT Starting_Year FROM technician WHERE Team  =  ""CLE"" INTERSECT SELECT Starting_Year FROM technician WHERE Team  =  ""CWS"""
