question,sql
Who is the founder of Sony?,SELECT founder FROM manufacturers WHERE name  =  'Sony'
Return the founder of Sony.,SELECT founder FROM manufacturers WHERE name  =  'Sony'
Where is the headquarter of the company founded by James?,SELECT headquarter FROM manufacturers WHERE founder  =  'James'
What is the headquarter of the company whose founder is James?,SELECT headquarter FROM manufacturers WHERE founder  =  'James'
"Find all manufacturers' names and their headquarters, sorted by the ones with highest revenue first.","SELECT name ,  headquarter FROM manufacturers ORDER BY revenue DESC"
"What are the names and headquarters of all manufacturers, ordered by revenue descending?","SELECT name ,  headquarter FROM manufacturers ORDER BY revenue DESC"
"What are the average, maximum and total revenues of all companies?","SELECT avg(revenue) ,  max(revenue) ,  sum(revenue) FROM manufacturers"
"Return the average, maximum, and total revenues across all manufacturers.","SELECT avg(revenue) ,  max(revenue) ,  sum(revenue) FROM manufacturers"
How many companies were created by Andy?,SELECT count(*) FROM manufacturers WHERE founder  =  'Andy'
Return the number of companies created by Andy.,SELECT count(*) FROM manufacturers WHERE founder  =  'Andy'
Find the total revenue created by the companies whose headquarter is located at Austin.,SELECT sum(revenue) FROM manufacturers WHERE headquarter  =  'Austin'
What is the sum of revenue from companies with headquarters in Austin?,SELECT sum(revenue) FROM manufacturers WHERE headquarter  =  'Austin'
What are the different cities listed?,SELECT DISTINCT headquarter FROM manufacturers
Give the distinct headquarters of manufacturers.,SELECT DISTINCT headquarter FROM manufacturers
Find the number of manufactures that are based in Tokyo or Beijing.,SELECT count(*) FROM manufacturers WHERE headquarter  =  'Tokyo' OR headquarter  =  'Beijing'
How many manufacturers have headquarters in either Tokyo or Beijing?,SELECT count(*) FROM manufacturers WHERE headquarter  =  'Tokyo' OR headquarter  =  'Beijing'
Find the founder of the company whose name begins with the letter 'S'.,SELECT founder FROM manufacturers WHERE name LIKE 'S%'
Who is the founders of companies whose first letter is S?,SELECT founder FROM manufacturers WHERE name LIKE 'S%'
Find the name of companies whose revenue is between 100 and 150.,SELECT name FROM manufacturers WHERE revenue BETWEEN 100 AND 150
What are the names of companies with revenue between 100 and 150?,SELECT name FROM manufacturers WHERE revenue BETWEEN 100 AND 150
What is the total revenue of all companies whose main office is at Tokyo or Taiwan?,SELECT sum(revenue) FROM manufacturers WHERE Headquarter  =  'Tokyo' OR Headquarter  =  'Taiwan'
Return the total revenue of companies with headquarters in Tokyo or Taiwan.,SELECT sum(revenue) FROM manufacturers WHERE Headquarter  =  'Tokyo' OR Headquarter  =  'Taiwan'
Find the name of product that is produced by both companies Creative Labs and Sony.,SELECT T1.name FROM products AS T1 JOIN manufacturers AS T2 ON T1.Manufacturer  =  T2.code WHERE T2.name  =  'Creative Labs' INTERSECT SELECT T1.name FROM products AS T1 JOIN manufacturers AS T2 ON T1.Manufacturer  =  T2.code WHERE T2.name  =  'Sony'
What are the names of products produced by both Creative Labs and Sony?,SELECT T1.name FROM products AS T1 JOIN manufacturers AS T2 ON T1.Manufacturer  =  T2.code WHERE T2.name  =  'Creative Labs' INTERSECT SELECT T1.name FROM products AS T1 JOIN manufacturers AS T2 ON T1.Manufacturer  =  T2.code WHERE T2.name  =  'Sony'
"Find the name, headquarter and founder of the manufacturer that has the highest revenue.","SELECT name ,  headquarter ,  founder FROM manufacturers ORDER BY revenue DESC LIMIT 1"
"What are the names, headquarters and founders of the company with the highest revenue?","SELECT name ,  headquarter ,  founder FROM manufacturers ORDER BY revenue DESC LIMIT 1"
"Find the name, headquarter and revenue of all manufacturers sorted by their revenue in the descending order.","SELECT name ,  headquarter ,  revenue FROM manufacturers ORDER BY revenue DESC"
"What are the names, headquarters and revenues for manufacturers, sorted by revenue descending?","SELECT name ,  headquarter ,  revenue FROM manufacturers ORDER BY revenue DESC"
Find the name of companies whose revenue is greater than the average revenue of all companies.,SELECT name FROM manufacturers WHERE revenue  >  (SELECT avg(revenue) FROM manufacturers)
What are the names of manufacturers with revenue greater than the average of all revenues?,SELECT name FROM manufacturers WHERE revenue  >  (SELECT avg(revenue) FROM manufacturers)
Find the name of companies whose revenue is smaller than the revenue of all companies based in Austin.,SELECT name FROM manufacturers WHERE revenue  <  (SELECT min(revenue) FROM manufacturers WHERE headquarter  =  'Austin')
What are the names of companies with revenue less than the lowest revenue of any manufacturer in Austin?,SELECT name FROM manufacturers WHERE revenue  <  (SELECT min(revenue) FROM manufacturers WHERE headquarter  =  'Austin')
Find the total revenue of companies whose revenue is larger than the revenue of some companies based in Austin.,SELECT sum(revenue) FROM manufacturers WHERE revenue  >  (SELECT min(revenue) FROM manufacturers WHERE headquarter  =  'Austin')
What is the total revenue of companies with revenue greater than the lowest revenue of any manufacturer in Austin?,SELECT sum(revenue) FROM manufacturers WHERE revenue  >  (SELECT min(revenue) FROM manufacturers WHERE headquarter  =  'Austin')
Find the total revenue of companies of each founder.,"SELECT sum(revenue) ,  founder FROM manufacturers GROUP BY founder"
What is the total revenue of companies started by founder?,"SELECT sum(revenue) ,  founder FROM manufacturers GROUP BY founder"
Find the name and revenue of the company that earns the highest revenue in each city.,"SELECT name ,  max(revenue) ,  Headquarter FROM manufacturers GROUP BY Headquarter"
What are the names and revenues of the companies with the highest revenues in each headquarter city?,"SELECT name ,  max(revenue) ,  Headquarter FROM manufacturers GROUP BY Headquarter"
Find the total revenue for each manufacturer.,"SELECT sum(revenue) ,  name FROM manufacturers GROUP BY name"
What is the total revenue of each manufacturer?,"SELECT sum(revenue) ,  name FROM manufacturers GROUP BY name"
"Find the average prices of all products from each manufacture, and list each company's name.","SELECT avg(T1.price) ,  T2.name FROM products AS T1 JOIN manufacturers AS T2 ON T1.Manufacturer  =  T2.code GROUP BY T2.name"
