question,sql
How many countries are there in total?,SELECT count(*) FROM country
Count the number of countries.,SELECT count(*) FROM country
Show the country name and capital of all countries.,"SELECT Country_name ,  Capital FROM country"
What are the names and capitals of each country?,"SELECT Country_name ,  Capital FROM country"
"Show all official native languages that contain the word ""English"".","SELECT Official_native_language FROM country WHERE Official_native_language LIKE ""%English%"""
"What are the official native languages that contain the string ""English"".","SELECT Official_native_language FROM country WHERE Official_native_language LIKE ""%English%"""
Show all distinct positions of matches.,SELECT DISTINCT POSITION FROM match_season
What are the different positions for match season?,SELECT DISTINCT POSITION FROM match_season
Show the players from college UCLA.,"SELECT Player FROM match_season WHERE College  =  ""UCLA"""
Who are the players from UCLA?,"SELECT Player FROM match_season WHERE College  =  ""UCLA"""
Show the distinct position of players from college UCLA or Duke.,"SELECT DISTINCT POSITION FROM match_season WHERE College  =  ""UCLA"" OR College  =  ""Duke"""
What are the different positions of players from UCLA or Duke colleges?,"SELECT DISTINCT POSITION FROM match_season WHERE College  =  ""UCLA"" OR College  =  ""Duke"""
Show the draft pick numbers and draft classes of players whose positions are defenders.,"SELECT Draft_Pick_Number ,  Draft_Class FROM match_season WHERE POSITION  =  ""Defender"""
What are the draft pick numbers and draft classes for players who play the Defender position?,"SELECT Draft_Pick_Number ,  Draft_Class FROM match_season WHERE POSITION  =  ""Defender"""
How many distinct teams are involved in match seasons?,SELECT count(DISTINCT Team) FROM match_season
Count the number of different teams involved in match season.,SELECT count(DISTINCT Team) FROM match_season
Show the players and the years played.,"SELECT Player ,  Years_Played FROM player"
Who are the different players and how many years has each played?,"SELECT Player ,  Years_Played FROM player"
Show all team names.,SELECT Name FROM Team
What are the names of all teams?,SELECT Name FROM Team
"Show the season, the player, and the name of the country that player belongs to.","SELECT T2.Season ,  T2.Player ,  T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country"
"For each player, what are their name, season, and country that they belong to?","SELECT T2.Season ,  T2.Player ,  T1.Country_name FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country"
Which players are from Indonesia?,"SELECT T2.Player FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T1.Country_name  =  ""Indonesia"""
Who are the players from Indonesia?,"SELECT T2.Player FROM country AS T1 JOIN match_season AS T2 ON T1.Country_id  =  T2.Country WHERE T1.Country_name  =  ""Indonesia"""
