question,sql
How many kinds of enzymes are there?,SELECT count(*) FROM enzyme
What is the total count of enzymes?,SELECT count(*) FROM enzyme
List the name of enzymes in descending lexicographical order.,SELECT name FROM enzyme ORDER BY name DESC
What are the names of enzymes in descending order?,SELECT name FROM enzyme ORDER BY name DESC
List the names and the locations that the enzymes can make an effect.,"SELECT name ,  LOCATION FROM enzyme"
What are the names and locations of all enzymes listed?,"SELECT name ,  LOCATION FROM enzyme"
What is the maximum Online Mendelian Inheritance in Man (OMIM) value of the enzymes?,SELECT max(OMIM) FROM enzyme
What is the maximum OMIM value in the database?,SELECT max(OMIM) FROM enzyme
"What is the product, chromosome and porphyria related to the enzymes which take effect at the location 'Cytosol'?","SELECT product ,  chromosome ,  porphyria FROM enzyme WHERE LOCATION  =  'Cytosol'"
"What is the product, chromosome, and porphyria of the enzymes located at 'Cytosol'?","SELECT product ,  chromosome ,  porphyria FROM enzyme WHERE LOCATION  =  'Cytosol'"
What are the names of enzymes who does not produce 'Heme'?,SELECT name FROM enzyme WHERE product != 'Heme'
What are the names of enzymes whose product is not 'Heme'?,SELECT name FROM enzyme WHERE product != 'Heme'
What are the names and trade names of the medicines which has 'Yes' value in the FDA record?,"SELECT name ,  trade_name FROM medicine WHERE FDA_approved  =  'Yes'"
What are the names and trade names of the medcines that are FDA approved?,"SELECT name ,  trade_name FROM medicine WHERE FDA_approved  =  'Yes'"
What are the names of enzymes in the medicine named 'Amisulpride' that can serve as an 'inhibitor'?,SELECT T1.name FROM enzyme AS T1 JOIN medicine_enzyme_interaction AS T2 ON T1.id  =  T2.enzyme_id JOIN medicine AS T3 ON T2.medicine_id  =  T3.id WHERE T3.name  =  'Amisulpride' AND T2.interaction_type  =  'inhibitor'
What are the names of the enzymes used in the medicine  Amisulpride that acts as inhibitors?,SELECT T1.name FROM enzyme AS T1 JOIN medicine_enzyme_interaction AS T2 ON T1.id  =  T2.enzyme_id JOIN medicine AS T3 ON T2.medicine_id  =  T3.id WHERE T3.name  =  'Amisulpride' AND T2.interaction_type  =  'inhibitor'
What are the ids and names of the medicine that can interact with two or more enzymes?,"SELECT T1.id ,  T1.Name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING count(*)  >=  2"
"For every medicine id, what are the names of the medicines that can interact with more than one enzyme?","SELECT T1.id ,  T1.Name FROM medicine AS T1 JOIN medicine_enzyme_interaction AS T2 ON T2.medicine_id  =  T1.id GROUP BY T1.id HAVING count(*)  >=  2"
