question,sql
How many camera lenses have a focal length longer than 15 mm?,SELECT COUNT(*) FROM `camera_lens` WHERE `focal_length_mm` > 15
"Find the brand and name for each camera lens, and sort in descending order of maximum aperture.","SELECT `brand`, `name` FROM `camera_lens` ORDER BY `max_aperture` DESC"
"List the id, color scheme, and name for all the photos.","SELECT `id`, `color`, `name` FROM `photos`"
What are the maximum and average height of the mountains?,"SELECT MAX(`height`), AVG(`height`) FROM `mountain`"
What are the average prominence of the mountains in country 'Morocco'?,SELECT AVG(`prominence`) FROM `mountain` WHERE `country` = 'Morocco'
"What are the name, height and prominence of mountains which do not belong to the range 'Aberdare Range'?","SELECT `name`, `height`, `prominence` FROM `mountain` WHERE `range` <> 'Aberdare Range'"
What are the id and name of the photos for mountains?,"SELECT `t1`.`id`, `t1`.`name` FROM `mountain` AS `t1` JOIN `photos` AS `t2` ON `t1`.`id` = `t2`.`mountain_id` WHERE `t1`.`height` > 4000"
What are the id and name of the mountains that have at least 2 photos?,"SELECT `t1`.`id`, `t1`.`name` FROM `mountain` AS `t1` JOIN `photos` AS `t2` ON `t1`.`id` = `t2`.`mountain_id` GROUP BY `t1`.`id`, `t1`.`name` HAVING COUNT(*) >= 2"
What are the names of the cameras that have taken picture of the most mountains?,SELECT `t2`.`name` FROM `photos` AS `t1` JOIN `camera_lens` AS `t2` ON `t1`.`camera_lens_id` = `t2`.`id` GROUP BY `t2`.`name` ORDER BY COUNT(*) DESC LIMIT 1
What are the names of photos taken with the lens brand 'Sigma' or 'Olympus'?,SELECT `t1`.`name` FROM `camera_lens` AS `t1` JOIN `photos` AS `t2` ON `t2`.`camera_lens_id` = `t1`.`id` WHERE `t1`.`brand` = 'Sigma' OR `t1`.`brand` = 'Olympus'
How many different kinds of lens brands are there?,SELECT COUNT(DISTINCT `brand`) FROM `camera_lens`
How many camera lenses are not used in taking any photos?,SELECT COUNT(*) FROM `camera_lens` WHERE NOT `id` IN (SELECT `camera_lens_id` FROM `photos`)
How many distinct kinds of camera lenses are used to take photos of mountains in the country 'Ethiopia'?,SELECT COUNT(DISTINCT `t2`.`camera_lens_id`) FROM `mountain` AS `t1` JOIN `photos` AS `t2` ON `t1`.`id` = `t2`.`mountain_id` WHERE `t1`.`country` = 'Ethiopia'
List the brands of lenses that took both a picture of mountains with range 'Toubkal Atlas' and a picture of mountains with range 'Lasta Massif',SELECT `t3`.`brand` FROM `mountain` AS `t1` JOIN `photos` AS `t2` ON `t1`.`id` = `t2`.`mountain_id` JOIN `camera_lens` AS `t3` ON `t2`.`camera_lens_id` = `t3`.`id` WHERE `t1`.`range` = 'Toubkal Atlas' INTERSECT SELECT `t3`.`brand` FROM `mountain` AS `t1` JOIN `photos` AS `t2` ON `t1`.`id` = `t2`.`mountain_id` JOIN `camera_lens` AS `t3` ON `t2`.`camera_lens_id` = `t3`.`id` WHERE `t1`.`range` = 'Lasta Massif'
Show the name and prominence of the mountains whose picture is not taken by a lens of brand 'Sigma'.,"SELECT `name`, `prominence` FROM `mountain` EXCEPT SELECT `t1`.`name`, `t1`.`prominence` FROM `mountain` AS `t1` JOIN `photos` AS `t2` ON `t1`.`id` = `t2`.`mountain_id` JOIN `camera_lens` AS `t3` ON `t2`.`camera_lens_id` = `t3`.`id` WHERE `t3`.`brand` = 'Sigma'"
"List the camera lens names containing substring ""Digital"".",SELECT `name` FROM `camera_lens` WHERE `name` LIKE '%Digital%'
What is the name of each camera lens and the number of photos taken by it? Order the result by the count of photos.,"SELECT `t1`.`name`, COUNT(*) FROM `camera_lens` AS `t1` JOIN `photos` AS `t2` ON `t1`.`id` = `t2`.`camera_lens_id` GROUP BY `t1`.`name` ORDER BY COUNT(*)"
