question,sql
What is the name of the song that was released in the most recent year?,"SELECT `song_name`, `releasedate` FROM `song` ORDER BY `releasedate` DESC LIMIT 1"
What is the name of the song that was released most recently?,"SELECT `song_name`, `releasedate` FROM `song` ORDER BY `releasedate` DESC LIMIT 1"
What is the id of the longest song?,SELECT `f_id` FROM `files` ORDER BY `duration` DESC LIMIT 1
Find the id of the song that lasts the longest.,SELECT `f_id` FROM `files` ORDER BY `duration` DESC LIMIT 1
Find the names of all English songs.,SELECT `song_name` FROM `song` WHERE `languages` = `english`
What are the names of all songs in English?,SELECT `song_name` FROM `song` WHERE `languages` = `english`
What are the id of songs whose format is mp3.,SELECT `f_id` FROM `files` WHERE `formats` = `mp3`
What are the id of all the files in mp3 format?,SELECT `f_id` FROM `files` WHERE `formats` = `mp3`
List the name and country of origin for all singers who have produced songs with rating above 9.,"SELECT DISTINCT `T1`.`artist_name`, `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`rating` > 9"
What are the different names and countries of origins for all artists whose song ratings are above 9?,"SELECT DISTINCT `T1`.`artist_name`, `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T2`.`rating` > 9"
List the file size and format for all songs that have resolution lower than 800.,"SELECT DISTINCT `T1`.`file_size`, `T1`.`formats` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T2`.`resolution` < 800"
What are the file sizes and formats for all songs with a resolution lower than 800?,"SELECT DISTINCT `T1`.`file_size`, `T1`.`formats` FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T2`.`resolution` < 800"
What is the name of the artist who produced the shortest song?,SELECT `T1`.`artist_name` FROM `song` AS `T1` JOIN `files` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` ORDER BY `T2`.`duration` LIMIT 1
What are the names of the artists who sang the shortest song?,SELECT `T1`.`artist_name` FROM `song` AS `T1` JOIN `files` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` ORDER BY `T2`.`duration` LIMIT 1
What are the names and countries of origin for the artists who produced the top three highly rated songs.,"SELECT `T1`.`artist_name`, `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` ORDER BY `T2`.`rating` DESC LIMIT 3"
What are the names of the singers who sang the top 3 most highly rated songs and what countries do they hail from?,"SELECT `T1`.`artist_name`, `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` ORDER BY `T2`.`rating` DESC LIMIT 3"
How many songs have 4 minute duration?,SELECT COUNT(*) FROM `files` WHERE `duration` LIKE `4:%`
What is the count of the songs that last approximately 4 minutes?,SELECT COUNT(*) FROM `files` WHERE `duration` LIKE `4:%`
How many artists are from Bangladesh?,SELECT COUNT(*) FROM `artist` WHERE `country` = `Bangladesh`
How many Bangladeshi artists are listed?,SELECT COUNT(*) FROM `artist` WHERE `country` = `Bangladesh`
What is the average rating of songs produced by female artists?,SELECT AVG(`T2`.`rating`) FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T1`.`gender` = `Female`
"How many songs, on average, are sung by a female artist?",SELECT AVG(`T2`.`rating`) FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T1`.`gender` = `Female`
What is the most popular file format?,SELECT `formats` FROM `files` GROUP BY `formats` ORDER BY COUNT(*) DESC LIMIT 1
Find the file format that is used by the most files.,SELECT `formats` FROM `files` GROUP BY `formats` ORDER BY COUNT(*) DESC LIMIT 1
Find the names of the artists who are from UK and have produced English songs.,SELECT `artist_name` FROM `artist` WHERE `country` = `UK` INTERSECT SELECT `artist_name` FROM `song` WHERE `languages` = `english`
What are the names of the artists that are from the UK and sang songs in English?,SELECT `artist_name` FROM `artist` WHERE `country` = `UK` INTERSECT SELECT `artist_name` FROM `song` WHERE `languages` = `english`
Find the id of songs that are available in mp4 format and have resolution lower than 1000.,SELECT `f_id` FROM `files` WHERE `formats` = `mp4` INTERSECT SELECT `f_id` FROM `song` WHERE `resolution` < 1000
What is the id of the files that are available in the format of mp4 and a resolution smaller than 1000?,SELECT `f_id` FROM `files` WHERE `formats` = `mp4` INTERSECT SELECT `f_id` FROM `song` WHERE `resolution` < 1000
What is the country of origin of the artist who is female and produced a song in Bangla?,SELECT `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T1`.`gender` = `Female` AND `T2`.`languages` = `bangla`
What countries are the female artists who sung in the language Bangla from?,SELECT `T1`.`country` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` WHERE `T1`.`gender` = `Female` AND `T2`.`languages` = `bangla`
What is the average duration of songs that have mp3 format and resolution below 800?,SELECT AVG(`T1`.`duration`) FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T1`.`formats` = `mp3` AND `T2`.`resolution` < 800
What is the average song duration for the songs that are in mp3 format and whose resolution below 800?,SELECT AVG(`T1`.`duration`) FROM `files` AS `T1` JOIN `song` AS `T2` ON `T1`.`f_id` = `T2`.`f_id` WHERE `T1`.`formats` = `mp3` AND `T2`.`resolution` < 800
What is the number of artists for each gender?,"SELECT COUNT(*), `gender` FROM `artist` GROUP BY `gender`"
How many artists are male and how many are female?,"SELECT COUNT(*), `gender` FROM `artist` GROUP BY `gender`"
What is the average rating of songs for each language?,"SELECT AVG(`rating`), `languages` FROM `song` GROUP BY `languages`"
What is the average song rating for each language?,"SELECT AVG(`rating`), `languages` FROM `song` GROUP BY `languages`"
Return the gender and name of artist who produced the song with the lowest resolution.,"SELECT `T1`.`gender`, `T1`.`artist_name` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` ORDER BY `T2`.`resolution` LIMIT 1"
What is the gender and name of the artist who sang the song with the smallest resolution?,"SELECT `T1`.`gender`, `T1`.`artist_name` FROM `artist` AS `T1` JOIN `song` AS `T2` ON `T1`.`artist_name` = `T2`.`artist_name` ORDER BY `T2`.`resolution` LIMIT 1"
"For each file format, return the number of artists who released songs in that format.","SELECT COUNT(*), `formats` FROM `files` GROUP BY `formats`"
How many songs were released for each format?,"SELECT COUNT(*), `formats` FROM `files` GROUP BY `formats`"
Find the distinct names of all songs that have a higher resolution than some songs in English.,SELECT DISTINCT `song_name` FROM `song` WHERE `resolution` > (SELECT MIN(`resolution`) FROM `song` WHERE `languages` = `english`)
