question,sql
How many actors are there?,SELECT count(*) FROM actor
Count the number of actors.,SELECT count(*) FROM actor
List the name of actors in ascending alphabetical order.,SELECT Name FROM actor ORDER BY Name ASC
"What are the names of actors, ordered alphabetically?",SELECT Name FROM actor ORDER BY Name ASC
What are the characters and duration of actors?,"SELECT Character ,  Duration FROM actor"
Return the characters and durations for each actor.,"SELECT Character ,  Duration FROM actor"
List the name of actors whose age is not 20.,SELECT Name FROM actor WHERE Age != 20
What are the names of actors who are not 20 years old?,SELECT Name FROM actor WHERE Age != 20
What are the characters of actors in descending order of age?,SELECT Character FROM actor ORDER BY age DESC
"Return the characters for actors, ordered by age descending.",SELECT Character FROM actor ORDER BY age DESC
What is the duration of the oldest actor?,SELECT Duration FROM actor ORDER BY Age DESC LIMIT 1
Return the duration of the actor with the greatest age.,SELECT Duration FROM actor ORDER BY Age DESC LIMIT 1
"What are the names of musicals with nominee ""Bob Fosse""?","SELECT Name FROM musical WHERE Nominee  =  ""Bob Fosse"""
Return the names of musicals who have the nominee Bob Fosse.,"SELECT Name FROM musical WHERE Nominee  =  ""Bob Fosse"""
"What are the distinct nominees of the musicals with the award that is not ""Tony Award""?","SELECT DISTINCT Nominee FROM musical WHERE Award != ""Tony Award"""
Return the different nominees of musicals that have an award that is not the Tony Award.,"SELECT DISTINCT Nominee FROM musical WHERE Award != ""Tony Award"""
Show names of actors and names of musicals they are in.,"SELECT T1.Name ,  T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID"
What are the names of actors and the musicals that they are in?,"SELECT T1.Name ,  T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID"
"Show names of actors that have appeared in musical with name ""The Phantom of the Opera"".","SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID WHERE T2.Name  =  ""The Phantom of the Opera"""
What are the names of actors who have been in the musical titled The Phantom of the Opera?,"SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID WHERE T2.Name  =  ""The Phantom of the Opera"""
Show names of actors in descending order of the year their musical is awarded.,SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID ORDER BY T2.Year DESC
What are the names of actors ordered descending by the year in which their musical was awarded?,SELECT T1.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID ORDER BY T2.Year DESC
Show names of musicals and the number of actors who have appeared in the musicals.,"SELECT T2.Name ,  COUNT(*) FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID GROUP BY T1.Musical_ID"
How many actors have appeared in each musical?,"SELECT T2.Name ,  COUNT(*) FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID GROUP BY T1.Musical_ID"
Show names of musicals which have at least three actors.,SELECT T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID GROUP BY T1.Musical_ID HAVING COUNT(*)  >=  3
What are the names of musicals who have at 3 or more actors?,SELECT T2.Name FROM actor AS T1 JOIN musical AS T2 ON T1.Musical_ID  =  T2.Musical_ID GROUP BY T1.Musical_ID HAVING COUNT(*)  >=  3
Show different nominees and the number of musicals they have been nominated.,"SELECT Nominee ,  COUNT(*) FROM musical GROUP BY Nominee"
How many musicals has each nominee been nominated for?,"SELECT Nominee ,  COUNT(*) FROM musical GROUP BY Nominee"
Please show the nominee who has been nominated the greatest number of times.,SELECT Nominee FROM musical GROUP BY Nominee ORDER BY COUNT(*) DESC LIMIT 1
Who is the nominee who has been nominated for the most musicals?,SELECT Nominee FROM musical GROUP BY Nominee ORDER BY COUNT(*) DESC LIMIT 1
List the most common result of the musicals.,SELECT RESULT FROM musical GROUP BY RESULT ORDER BY COUNT(*) DESC LIMIT 1
Return the most frequent result across all musicals.,SELECT RESULT FROM musical GROUP BY RESULT ORDER BY COUNT(*) DESC LIMIT 1
List the nominees that have been nominated more than two musicals.,SELECT Nominee FROM musical GROUP BY Nominee HAVING COUNT(*)  >  2
Who are the nominees who have been nominated more than two times?,SELECT Nominee FROM musical GROUP BY Nominee HAVING COUNT(*)  >  2
List the name of musicals that do not have actors.,SELECT Name FROM musical WHERE Musical_ID NOT IN (SELECT Musical_ID FROM actor)
What are the names of musicals who have no actors?,SELECT Name FROM musical WHERE Musical_ID NOT IN (SELECT Musical_ID FROM actor)
"Show the nominees that have nominated musicals for both ""Tony Award"" and ""Drama Desk Award"".","SELECT Nominee FROM musical WHERE Award  =  ""Tony Award"" INTERSECT SELECT Nominee FROM musical WHERE Award  =  ""Drama Desk Award"""
Who are the nominees who have been nominated for both a Tony Award and a Drama Desk Award?,"SELECT Nominee FROM musical WHERE Award  =  ""Tony Award"" INTERSECT SELECT Nominee FROM musical WHERE Award  =  ""Drama Desk Award"""
"Show the musical nominee with award ""Bob Fosse"" or ""Cleavant Derricks"".","SELECT Nominee FROM musical WHERE Award  =  ""Tony Award"" OR Award  =  ""Cleavant Derricks"""
Who are the nominees who were nominated for either of the Bob Fosse or Cleavant Derricks awards?,"SELECT Nominee FROM musical WHERE Award  =  ""Tony Award"" OR Award  =  ""Cleavant Derricks"""
