question,sql
How many friends does Dan have?,SELECT COUNT(`t2`.`friend`) FROM `Person` AS `t1` JOIN `PersonFriend` AS `t2` ON `t1`.`name` = `t2`.`name` WHERE `t1`.`name` = 'Dan'
How many females does this network has?,SELECT COUNT(*) FROM `Person` WHERE `gender` = 'female'
How many females are in the network?,SELECT COUNT(*) FROM `Person` WHERE `gender` = 'female'
What is the average age for all person?,SELECT AVG(`age`) FROM `Person`
What is the average age for all people in the table?,SELECT AVG(`age`) FROM `Person`
How many different cities are they from?,SELECT COUNT(DISTINCT `city`) FROM `Person`
How many different cities do people originate from?,SELECT COUNT(DISTINCT `city`) FROM `Person`
How many type of jobs do they have?,SELECT COUNT(DISTINCT `job`) FROM `Person`
How many different jobs are listed?,SELECT COUNT(DISTINCT `job`) FROM `Person`
Who is the oldest person?,SELECT `name` FROM `Person` WHERE `age` = (SELECT MAX(`age`) FROM `Person`)
What is the name of the person who is the oldest?,SELECT `name` FROM `Person` WHERE `age` = (SELECT MAX(`age`) FROM `Person`)
Who is the oldest person whose job is student?,SELECT `name` FROM `Person` WHERE `job` = 'student' AND `age` = (SELECT MAX(`age`) FROM `Person` WHERE `job` = 'student')
What is the name of the oldest student?,SELECT `name` FROM `Person` WHERE `job` = 'student' AND `age` = (SELECT MAX(`age`) FROM `Person` WHERE `job` = 'student')
Who is the youngest male?,SELECT `name` FROM `Person` WHERE `gender` = 'male' AND `age` = (SELECT MIN(`age`) FROM `Person` WHERE `gender` = 'male')
What is the name of the youngest male?,SELECT `name` FROM `Person` WHERE `gender` = 'male' AND `age` = (SELECT MIN(`age`) FROM `Person` WHERE `gender` = 'male')
How old is the doctor named Zach?,SELECT `age` FROM `Person` WHERE `job` = 'doctor' AND `name` = 'Zach'
What is the age of the doctor named Zach?,SELECT `age` FROM `Person` WHERE `job` = 'doctor' AND `name` = 'Zach'
Who is the person whose age is below 30?,SELECT `name` FROM `Person` WHERE `age` < 30
What is the name of the person whose age is below 30?,SELECT `name` FROM `Person` WHERE `age` < 30
How many people whose age is greater 30 and job is engineer?,SELECT COUNT(*) FROM `Person` WHERE `age` > 30 AND `job` = 'engineer'
