question,sql
How many journalists are there?,SELECT COUNT(*) FROM `journalist`
List the names of journalists in ascending order of years working.,SELECT `Name` FROM `journalist` ORDER BY `Years_working` ASC
What are the nationalities and ages of journalists?,"SELECT `Nationality`, `Age` FROM `journalist`"
"Show the names of journalists from ""England"" or ""Wales"".",SELECT `Name` FROM `journalist` WHERE `Nationality` = `England` OR `Nationality` = `Wales`
What is the average number of years spent working as a journalist?,SELECT AVG(`Years_working`) FROM `journalist`
What is the nationality of the journalist with the largest number of years working?,SELECT `Nationality` FROM `journalist` ORDER BY `Years_working` DESC LIMIT 1
Show the different nationalities and the number of journalists of each nationality.,"SELECT `Nationality`, COUNT(*) FROM `journalist` GROUP BY `Nationality`"
Show the most common nationality for journalists.,SELECT `Nationality` FROM `journalist` GROUP BY `Nationality` ORDER BY COUNT(*) DESC LIMIT 1
Show the nations that have both journalists with more than 10 years of working and journalists with less than 3 years of working.,SELECT `Nationality` FROM `journalist` WHERE `Years_working` > 10 INTERSECT SELECT `Nationality` FROM `journalist` WHERE `Years_working` < 3
"Show the dates, places, and names of events in descending order of the attendance.","SELECT `Date`, `Name`, `venue` FROM `event` ORDER BY `Event_Attendance` DESC"
Show the names of journalists and the dates of the events they reported.,"SELECT `T3`.`Name`, `T2`.`Date` FROM `news_report` AS `T1` JOIN `event` AS `T2` ON `T1`.`Event_ID` = `T2`.`Event_ID` JOIN `journalist` AS `T3` ON `T1`.`journalist_ID` = `T3`.`journalist_ID`"
Show the names of journalists and the names of the events they reported in ascending order,"SELECT `T3`.`Name`, `T2`.`Name` FROM `news_report` AS `T1` JOIN `event` AS `T2` ON `T1`.`Event_ID` = `T2`.`Event_ID` JOIN `journalist` AS `T3` ON `T1`.`journalist_ID` = `T3`.`journalist_ID` ORDER BY `T2`.`Event_Attendance` ASC"
Show the names of journalists and the number of events they reported.,"SELECT `T3`.`Name`, COUNT(*) FROM `news_report` AS `T1` JOIN `event` AS `T2` ON `T1`.`Event_ID` = `T2`.`Event_ID` JOIN `journalist` AS `T3` ON `T1`.`journalist_ID` = `T3`.`journalist_ID` GROUP BY `T3`.`Name`"
Show the names of journalists that have reported more than one event.,SELECT `T3`.`Name` FROM `news_report` AS `T1` JOIN `event` AS `T2` ON `T1`.`Event_ID` = `T2`.`Event_ID` JOIN `journalist` AS `T3` ON `T1`.`journalist_ID` = `T3`.`journalist_ID` GROUP BY `T3`.`Name` HAVING COUNT(*) > 1
List the names of journalists who have not reported any event.,SELECT `Name` FROM `journalist` WHERE NOT `journalist_ID` IN (SELECT `journalist_ID` FROM `news_report`)
what are the average and maximum attendances of all events?,"SELECT AVG(`Event_Attendance`), MAX(`Event_Attendance`) FROM `event`"
Find the average age and experience working length of journalists working on different role type.,"SELECT AVG(`t1`.`age`), AVG(`Years_working`), `t2`.`work_type` FROM `journalist` AS `t1` JOIN `news_report` AS `t2` ON `t1`.`journalist_id` = `t2`.`journalist_id` GROUP BY `t2`.`work_type`"
List the event venues and names that have the top 2 most number of people attended.,"SELECT `venue`, `name` FROM `event` ORDER BY `Event_Attendance` DESC LIMIT 2"
