question,sql
How many parties are there?,SELECT COUNT(*) FROM `party`
Count the number of parties.,SELECT COUNT(*) FROM `party`
List the themes of parties in ascending order of number of hosts.,SELECT `Party_Theme` FROM `party` ORDER BY `Number_of_hosts` ASC
What are the themes of parties ordered by the number of hosts in ascending manner?,SELECT `Party_Theme` FROM `party` ORDER BY `Number_of_hosts` ASC
What are the themes and locations of parties?,"SELECT `Party_Theme`, `LOCATION` FROM `party`"
Give me the theme and location of each party.,"SELECT `Party_Theme`, `LOCATION` FROM `party`"
"Show the first year and last year of parties with theme ""Spring"" or ""Teqnology"".","SELECT `First_year`, `Last_year` FROM `party` WHERE `Party_Theme` = `Spring` OR `Party_Theme` = `Teqnology`"
"What are the first year and last year of the parties whose theme is ""Spring"" or ""Teqnology""?","SELECT `First_year`, `Last_year` FROM `party` WHERE `Party_Theme` = `Spring` OR `Party_Theme` = `Teqnology`"
What is the average number of hosts for parties?,SELECT AVG(`Number_of_hosts`) FROM `party`
Compute the average number of hosts for parties.,SELECT AVG(`Number_of_hosts`) FROM `party`
What is the location of the party with the most hosts?,SELECT `LOCATION` FROM `party` ORDER BY `Number_of_hosts` DESC LIMIT 1
Which party had the most hosts? Give me the party location.,SELECT `LOCATION` FROM `party` ORDER BY `Number_of_hosts` DESC LIMIT 1
Show different nationalities along with the number of hosts of each nationality.,"SELECT `Nationality`, COUNT(*) FROM `HOST` GROUP BY `Nationality`"
How many hosts does each nationality have? List the nationality and the count.,"SELECT `Nationality`, COUNT(*) FROM `HOST` GROUP BY `Nationality`"
Show the most common nationality of hosts.,SELECT `Nationality` FROM `HOST` GROUP BY `Nationality` ORDER BY COUNT(*) DESC LIMIT 1
Which nationality has the most hosts?,SELECT `Nationality` FROM `HOST` GROUP BY `Nationality` ORDER BY COUNT(*) DESC LIMIT 1
Show the nations that have both hosts older than 45 and hosts younger than 35.,SELECT `Nationality` FROM `HOST` WHERE `Age` > 45 INTERSECT SELECT `Nationality` FROM `HOST` WHERE `Age` < 35
Which nations have both hosts of age above 45 and hosts of age below 35?,SELECT `Nationality` FROM `HOST` WHERE `Age` > 45 INTERSECT SELECT `Nationality` FROM `HOST` WHERE `Age` < 35
Show the themes of parties and the names of the party hosts.,"SELECT `T3`.`Party_Theme`, `T2`.`Name` FROM `party_host` AS `T1` JOIN `HOST` AS `T2` ON `T1`.`Host_ID` = `T2`.`Host_ID` JOIN `party` AS `T3` ON `T1`.`Party_ID` = `T3`.`Party_ID`"
"For each party, return its theme and the name of its host.","SELECT `T3`.`Party_Theme`, `T2`.`Name` FROM `party_host` AS `T1` JOIN `HOST` AS `T2` ON `T1`.`Host_ID` = `T2`.`Host_ID` JOIN `party` AS `T3` ON `T1`.`Party_ID` = `T3`.`Party_ID`"
Show the locations of parties and the names of the party hosts in ascending order of the age of the host.,"SELECT `T3`.`Location`, `T2`.`Name` FROM `party_host` AS `T1` JOIN `HOST` AS `T2` ON `T1`.`Host_ID` = `T2`.`Host_ID` JOIN `party` AS `T3` ON `T1`.`Party_ID` = `T3`.`Party_ID` ORDER BY `T2`.`Age`"
"For each party, find its location and the name of its host. Sort the result in ascending order of the age of the host.","SELECT `T3`.`Location`, `T2`.`Name` FROM `party_host` AS `T1` JOIN `HOST` AS `T2` ON `T1`.`Host_ID` = `T2`.`Host_ID` JOIN `party` AS `T3` ON `T1`.`Party_ID` = `T3`.`Party_ID` ORDER BY `T2`.`Age`"
Show the locations of parties with hosts older than 50.,SELECT `T3`.`Location` FROM `party_host` AS `T1` JOIN `HOST` AS `T2` ON `T1`.`Host_ID` = `T2`.`Host_ID` JOIN `party` AS `T3` ON `T1`.`Party_ID` = `T3`.`Party_ID` WHERE `T2`.`Age` > 50
Which parties have hosts of age above 50? Give me the party locations.,SELECT `T3`.`Location` FROM `party_host` AS `T1` JOIN `HOST` AS `T2` ON `T1`.`Host_ID` = `T2`.`Host_ID` JOIN `party` AS `T3` ON `T1`.`Party_ID` = `T3`.`Party_ID` WHERE `T2`.`Age` > 50
Show the host names for parties with number of hosts greater than 20.,SELECT `T2`.`Name` FROM `party_host` AS `T1` JOIN `HOST` AS `T2` ON `T1`.`Host_ID` = `T2`.`Host_ID` JOIN `party` AS `T3` ON `T1`.`Party_ID` = `T3`.`Party_ID` WHERE `T3`.`Number_of_hosts` > 20
Which parties have more than 20 hosts? Give me the host names for these parties.,SELECT `T2`.`Name` FROM `party_host` AS `T1` JOIN `HOST` AS `T2` ON `T1`.`Host_ID` = `T2`.`Host_ID` JOIN `party` AS `T3` ON `T1`.`Party_ID` = `T3`.`Party_ID` WHERE `T3`.`Number_of_hosts` > 20
Show the name and the nationality of the oldest host.,"SELECT `Name`, `Nationality` FROM `HOST` ORDER BY `Age` DESC LIMIT 1"
What are the name and the nationality of the host of the highest age?,"SELECT `Name`, `Nationality` FROM `HOST` ORDER BY `Age` DESC LIMIT 1"
List the names of hosts who did not serve as a host of any party in our record.,SELECT `Name` FROM `HOST` WHERE NOT `Host_ID` IN (SELECT `Host_ID` FROM `party_host`)
What are the names of hosts who did not host any party in our record?,SELECT `Name` FROM `HOST` WHERE NOT `Host_ID` IN (SELECT `Host_ID` FROM `party_host`)
