question,sql
How many performances are there?,SELECT count(*) FROM performance
List the hosts of performances in ascending order of attendance.,SELECT HOST FROM performance ORDER BY Attendance ASC
What are the dates and locations of performances?,"SELECT Date ,  LOCATION FROM performance"
"Show the attendances of the performances at location ""TD Garden"" or ""Bell Centre""","SELECT Attendance FROM performance WHERE LOCATION  =  ""TD Garden"" OR LOCATION  =  ""Bell Centre"""
What is the average number of attendees for performances?,SELECT avg(Attendance) FROM performance
What is the date of the performance with the highest number of attendees?,SELECT Date FROM performance ORDER BY Attendance DESC LIMIT 1
Show different locations and the number of performances at each location.,"SELECT LOCATION ,  COUNT(*) FROM performance GROUP BY LOCATION"
Show the most common location of performances.,SELECT LOCATION FROM performance GROUP BY LOCATION ORDER BY COUNT(*) DESC LIMIT 1
Show the locations that have at least two performances.,SELECT LOCATION FROM performance GROUP BY LOCATION HAVING COUNT(*)  >=  2
Show the locations that have both performances with more than 2000 attendees and performances with less than 1000 attendees.,SELECT LOCATION FROM performance WHERE Attendance  >  2000 INTERSECT SELECT LOCATION FROM performance WHERE Attendance  <  1000
Show the names of members and the location of the performances they attended.,"SELECT T2.Name ,  T3.Location FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID  =  T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID  =  T3.Performance_ID"
Show the names of members and the location of performances they attended in ascending alphabetical order of their names.,"SELECT T2.Name ,  T3.Location FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID  =  T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID  =  T3.Performance_ID ORDER BY T2.Name ASC"
"Show the dates of performances with attending members whose roles are ""Violin"".","SELECT T3.Date FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID  =  T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID  =  T3.Performance_ID WHERE T2.Role  =  ""Violin"""
Show the names of members and the dates of performances they attended in descending order of attendance of the performances.,"SELECT T2.Name ,  T3.Date FROM member_attendance AS T1 JOIN member AS T2 ON T1.Member_ID  =  T2.Member_ID JOIN performance AS T3 ON T1.Performance_ID  =  T3.Performance_ID ORDER BY T3.Attendance DESC"
List the names of members who did not attend any performance.,SELECT Name FROM member WHERE Member_ID NOT IN (SELECT Member_ID FROM member_attendance)
