question,sql
How many perpetrators are there?,SELECT COUNT(*) FROM `perpetrator`
List the date of perpetrators in descending order of the number of people killed.,SELECT `Date` FROM `perpetrator` ORDER BY `Killed` DESC
List the number of people injured by perpetrators in ascending order.,SELECT `Injured` FROM `perpetrator` ORDER BY `Injured` ASC
What is the average number of people injured by all perpetrators?,SELECT AVG(`Injured`) FROM `perpetrator`
What is the location of the perpetrator with the largest kills.,SELECT `LOCATION` FROM `perpetrator` ORDER BY `Killed` DESC LIMIT 1
What are the names of people in ascending order of height?,SELECT `Name` FROM `people` ORDER BY `Height` ASC
What are the names of perpetrators?,SELECT `t1`.`Name` FROM `people` AS `t1` JOIN `perpetrator` AS `t2` ON `t1`.`People_ID` = `t2`.`People_ID`
"What are the names of perpetrators whose country is not ""China""?",SELECT `t1`.`Name` FROM `people` AS `t1` JOIN `perpetrator` AS `t2` ON `t1`.`People_ID` = `t2`.`People_ID` WHERE `t2`.`Country` <> 'China'
What is the name of the perpetrator with the biggest weight.,SELECT `t1`.`Name` FROM `people` AS `t1` JOIN `perpetrator` AS `t2` ON `t1`.`People_ID` = `t2`.`People_ID` ORDER BY `t1`.`Weight` DESC LIMIT 1
What is the total kills of the perpetrators with height more than 1.84.,SELECT SUM(`t2`.`Killed`) FROM `people` AS `t1` JOIN `perpetrator` AS `t2` ON `t1`.`People_ID` = `t2`.`People_ID` WHERE `t1`.`Height` > 1.84
"What are the names of perpetrators in country ""China"" or ""Japan""?",SELECT `t1`.`Name` FROM `people` AS `t1` JOIN `perpetrator` AS `t2` ON `t1`.`People_ID` = `t2`.`People_ID` WHERE `t2`.`Country` = 'China' OR `t2`.`Country` = 'Japan'
What are the heights of perpetrators in descending order of the number of people they injured?,SELECT `t1`.`Height` FROM `people` AS `t1` JOIN `perpetrator` AS `t2` ON `t1`.`People_ID` = `t2`.`People_ID` ORDER BY `t2`.`Injured` DESC
What are the countries of perpetrators? Show each country and the corresponding number of perpetrators there.,"SELECT `Country`, COUNT(*) FROM `perpetrator` GROUP BY `Country`"
What is the country that has the most perpetrators?,"SELECT `Country`, COUNT(*) FROM `perpetrator` GROUP BY `Country` ORDER BY COUNT(*) DESC LIMIT 1"
What are the countries that have at least two perpetrators?,"SELECT `Country`, COUNT(*) FROM `perpetrator` GROUP BY `Country` HAVING COUNT(*) >= 2"
List the names of perpetrators in descending order of the year.,SELECT `t1`.`Name` FROM `people` AS `t1` JOIN `perpetrator` AS `t2` ON `t1`.`People_ID` = `t2`.`People_ID` ORDER BY `t2`.`Year` DESC
List the names of people that are not perpetrators.,SELECT `Name` FROM `people` WHERE NOT `People_ID` IN (SELECT `People_ID` FROM `perpetrator`)
Show the countries that have both perpetrators with injures more than 50 and perpetrators with injures smaller than 20.,SELECT `Country` FROM `perpetrator` WHERE `Injured` > 50 INTERSECT SELECT `Country` FROM `perpetrator` WHERE `Injured` < 20
How many distinct locations of perpetrators are there?,SELECT COUNT(DISTINCT `LOCATION`) FROM `perpetrator`
Show the date of the tallest perpetrator.,SELECT `t2`.`Date` FROM `people` AS `t1` JOIN `perpetrator` AS `t2` ON `t1`.`People_ID` = `t2`.`People_ID` ORDER BY `t1`.`Height` DESC LIMIT 1
In which year did the most recent crime happen?,SELECT MAX(`YEAR`) FROM `perpetrator`
