question,sql
the names of models that launched between 2002 and 2004.,SELECT `Model_name` FROM `chip_model` WHERE `Launch_year` BETWEEN 2002 AND 2004
Which model has the least amount of RAM? List the model name and the amount of RAM.,"SELECT `Model_name`, `RAM_MiB` FROM `chip_model` ORDER BY `RAM_MiB` ASC LIMIT 1"
"What are the chip model and screen mode of the phone with hardware model name ""LG-P760""?","SELECT `chip_model`, `screen_mode` FROM `phone` WHERE `Hardware_Model_name` = `LG-P760`"
"How many phone hardware models are produced by the company named ""Nokia Corporation""?",SELECT COUNT(*) FROM `phone` WHERE `Company_name` = `Nokia Corporation`
"What is maximum and minimum RAM size of phone produced by company named ""Nokia Corporation""?","SELECT MAX(`T1`.`RAM_MiB`), MIN(`T1`.`RAM_MiB`) FROM `chip_model` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Model_name` = `T2`.`chip_model` WHERE `T2`.`Company_name` = `Nokia Corporation`"
"What is the average ROM size of phones produced by the company named ""Nokia Corporation""?",SELECT AVG(`T1`.`ROM_MiB`) FROM `chip_model` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Model_name` = `T2`.`chip_model` WHERE `T2`.`Company_name` = `Nokia Corporation`
List the hardware model name and company name for all the phones that were launched in year 2002 or have RAM size greater than 32.,"SELECT `T2`.`Hardware_Model_name`, `T2`.`Company_name` FROM `chip_model` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Model_name` = `T2`.`chip_model` WHERE `T1`.`Launch_year` = 2002 OR `T1`.`RAM_MiB` > 32"
Find all phones that have word 'Full' in their accreditation types. List the Hardware Model name and Company name.,"SELECT `Hardware_Model_name`, `Company_name` FROM `phone` WHERE `Accreditation_type` LIKE 'Full'"
"Find the Char cells, Pixels and Hardware colours for the screen of the phone whose hardware model name is ""LG-P760"".","SELECT `T1`.`Char_cells`, `T1`.`Pixels`, `T1`.`Hardware_colours` FROM `screen_mode` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Graphics_mode` = `T2`.`screen_mode` WHERE `T2`.`Hardware_Model_name` = `LG-P760`"
"List the hardware model name and company name for the phone whose screen mode type is ""Graphics.""","SELECT `T2`.`Hardware_Model_name`, `T2`.`Company_name` FROM `screen_mode` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Graphics_mode` = `T2`.`screen_mode` WHERE `T1`.`Type` = `Graphics`"
Find the name of the company that has the least number of phone models. List the company name and the number of phone model produced by that company.,"SELECT `Company_name`, COUNT(*) FROM `phone` GROUP BY `Company_name` ORDER BY COUNT(*) ASC LIMIT 1"
List the name of the company that produced more than one phone model.,SELECT `Company_name` FROM `phone` GROUP BY `Company_name` HAVING COUNT(*) > 1
"List the maximum, minimum and average number of used kb in screen mode.","SELECT MAX(`used_kb`), MIN(`used_kb`), AVG(`used_kb`) FROM `screen_mode`"
List the name of the phone model launched in year 2002 and with the highest RAM size.,SELECT `T2`.`Hardware_Model_name` FROM `chip_model` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Model_name` = `T2`.`chip_model` WHERE `T1`.`Launch_year` = 2002 ORDER BY `T1`.`RAM_MiB` DESC LIMIT 1
"What are the wifi and screen mode type of the hardware model named ""LG-P760""?","SELECT `T1`.`WiFi`, `T3`.`Type` FROM `chip_model` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Model_name` = `T2`.`chip_model` JOIN `screen_mode` AS `T3` ON `T2`.`screen_mode` = `T3`.`Graphics_mode` WHERE `T2`.`Hardware_Model_name` = `LG-P760`"
"List the hardware model name for the phones that have screen mode type ""Text"" or RAM size greater than 32.",SELECT `T2`.`Hardware_Model_name` FROM `chip_model` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Model_name` = `T2`.`chip_model` JOIN `screen_mode` AS `T3` ON `T2`.`screen_mode` = `T3`.`Graphics_mode` WHERE `T3`.`Type` = `Text` OR `T1`.`RAM_MiB` > 32
"List the hardware model name for the phones that were produced by ""Nokia Corporation"" or whose screen mode type is ""Graphics.""",SELECT DISTINCT `T2`.`Hardware_Model_name` FROM `screen_mode` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Graphics_mode` = `T2`.`screen_mode` WHERE `T1`.`Type` = `Graphics` OR `t2`.`Company_name` = `Nokia Corporation`
"List the hardware model name for the phons that were produced by ""Nokia Corporation"" but whose screen mode type is not Text.",SELECT DISTINCT `T2`.`Hardware_Model_name` FROM `screen_mode` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Graphics_mode` = `T2`.`screen_mode` WHERE `t2`.`Company_name` = `Nokia Corporation` AND `T1`.`Type` <> `Text`
List the phone hardware model and company name for the phones whose screen usage in kb is between 10 and 15.,"SELECT DISTINCT `T2`.`Hardware_Model_name`, `T2`.`Company_name` FROM `screen_mode` AS `T1` JOIN `phone` AS `T2` ON `T1`.`Graphics_mode` = `T2`.`screen_mode` WHERE `T1`.`used_kb` BETWEEN 10 AND 15"
Find the number of phones for each accreditation type.,"SELECT `Accreditation_type`, COUNT(*) FROM `phone` GROUP BY `Accreditation_type`"
How many phones belongs to each accreditation type?,"SELECT `Accreditation_type`, COUNT(*) FROM `phone` GROUP BY `Accreditation_type`"
Find the accreditation level that more than 3 phones use.,SELECT `Accreditation_level` FROM `phone` GROUP BY `Accreditation_level` HAVING COUNT(*) > 3
Find the details for all chip models.,SELECT * FROM `chip_model`
How many models do not have the wifi function?,SELECT COUNT(*) FROM `chip_model` WHERE `wifi` = 'No'
Count the number of chip model that do not have wifi.,SELECT COUNT(*) FROM `chip_model` WHERE `wifi` = 'No'
List all the model names sorted by their launch year.,SELECT `model_name` FROM `chip_model` ORDER BY `launch_year`
Find the average ram mib size of the chip models that are never used by any phone.,SELECT AVG(`RAM_MiB`) FROM `chip_model` WHERE NOT `model_name` IN (SELECT `chip_model` FROM `phone`)
Find the names of the chip models that are not used by any phone with full accreditation type.,SELECT `model_name` FROM `chip_model` EXCEPT SELECT `chip_model` FROM `phone` WHERE `Accreditation_type` = 'Full'
Find the pixels of the screen modes that are used by both phones with full accreditation types and phones with Provisional accreditation types.,SELECT `t1`.`pixels` FROM `screen_mode` AS `t1` JOIN `phone` AS `t2` ON `t1`.`Graphics_mode` = `t2`.`screen_mode` WHERE `t2`.`Accreditation_type` = 'Provisional' INTERSECT SELECT `t1`.`pixels` FROM `screen_mode` AS `t1` JOIN `phone` AS `t2` ON `t1`.`Graphics_mode` = `t2`.`screen_mode` WHERE `t2`.`Accreditation_type` = 'Full'
