question,sql
Find the names of all the catalog entries.,SELECT DISTINCT (`catalog_entry_name`) FROM `Catalog_Contents`
What are all the catalog entry names?,SELECT DISTINCT (`catalog_entry_name`) FROM `Catalog_Contents`
Find the list of attribute data types possessed by more than 3 attribute definitions.,SELECT `attribute_data_type` FROM `Attribute_Definitions` GROUP BY `attribute_data_type` HAVING COUNT(*) > 3
What are the attribute data types with more than 3 attribute definitions?,SELECT `attribute_data_type` FROM `Attribute_Definitions` GROUP BY `attribute_data_type` HAVING COUNT(*) > 3
"What is the attribute data type of the attribute with name ""Green""?",SELECT `attribute_data_type` FROM `Attribute_Definitions` WHERE `attribute_name` = 'Green'
"Find the attribute data type for the attribute named ""Green"".",SELECT `attribute_data_type` FROM `Attribute_Definitions` WHERE `attribute_name` = 'Green'
Find the name and level of catalog structure with level between 5 and 10.,"SELECT `catalog_level_name`, `catalog_level_number` FROM `Catalog_Structure` WHERE `catalog_level_number` BETWEEN 5 AND 10"
What are the name and level of catalog structure with level number between 5 and 10,"SELECT `catalog_level_name`, `catalog_level_number` FROM `Catalog_Structure` WHERE `catalog_level_number` BETWEEN 5 AND 10"
"Find all the catalog publishers whose name contains ""Murray""",SELECT DISTINCT (`catalog_publisher`) FROM `Catalogs` WHERE `catalog_publisher` LIKE '%Murray%'
"Which catalog publishers have substring ""Murray"" in their names?",SELECT DISTINCT (`catalog_publisher`) FROM `Catalogs` WHERE `catalog_publisher` LIKE '%Murray%'
Which catalog publisher has published the most catalogs?,SELECT `catalog_publisher` FROM `Catalogs` GROUP BY `catalog_publisher` ORDER BY COUNT(*) DESC LIMIT 1
Find the catalog publisher that has the most catalogs.,SELECT `catalog_publisher` FROM `Catalogs` GROUP BY `catalog_publisher` ORDER BY COUNT(*) DESC LIMIT 1
Find the names and publication dates of all catalogs that have catalog level number greater than 5.,"SELECT `t1`.`catalog_name`, `t1`.`date_of_publication` FROM `Catalogs` AS `t1` JOIN `Catalog_Structure` AS `t2` ON `t1`.`catalog_id` = `t2`.`catalog_id` WHERE `catalog_level_number` > 5"
What are the name and publication date of the catalogs with catalog level number above 5?,"SELECT `t1`.`catalog_name`, `t1`.`date_of_publication` FROM `Catalogs` AS `t1` JOIN `Catalog_Structure` AS `t2` ON `t1`.`catalog_id` = `t2`.`catalog_id` WHERE `catalog_level_number` > 5"
What are the entry names of catalog with the attribute possessed by most entries.,SELECT `t1`.`catalog_entry_name` FROM `Catalog_Contents` AS `t1` JOIN `Catalog_Contents_Additional_Attributes` AS `t2` ON `t1`.`catalog_entry_id` = `t2`.`catalog_entry_id` WHERE `t2`.`attribute_value` = (SELECT `attribute_value` FROM `Catalog_Contents_Additional_Attributes` GROUP BY `attribute_value` ORDER BY COUNT(*) DESC LIMIT 1) GROUP BY `t1`.`catalog_entry_name`
Find the entry names of the catalog with the attribute that have the most entries.,SELECT `t1`.`catalog_entry_name` FROM `Catalog_Contents` AS `t1` JOIN `Catalog_Contents_Additional_Attributes` AS `t2` ON `t1`.`catalog_entry_id` = `t2`.`catalog_entry_id` WHERE `t2`.`attribute_value` = (SELECT `attribute_value` FROM `Catalog_Contents_Additional_Attributes` GROUP BY `attribute_value` ORDER BY COUNT(*) DESC LIMIT 1) GROUP BY `t1`.`catalog_entry_name`
What is the entry name of the most expensive catalog (in USD)?,SELECT `catalog_entry_name` FROM `Catalog_Contents` ORDER BY `price_in_dollars` DESC LIMIT 1
Find the entry name of the catalog with the highest price (in USD).,SELECT `catalog_entry_name` FROM `Catalog_Contents` ORDER BY `price_in_dollars` DESC LIMIT 1
