product_id,color_code,product_category_code,product_name,typical_buying_price,typical_selling_price,product_description,other_product_details
1,4,Spices,cumin,NULL,2878.3,et,NULL
2,2,Spices,peper,352447.2874677,1892070.2803543,rerum,NULL
3,9,Herbs,basil,503.8431967,0.1859512,officia,NULL
4,1,Herbs,borage,NULL,10377614.847385,blanditiis,NULL
5,4,Spices,chili,NULL,39446,eius,NULL
6,4,Seeds,ginger,5.578,52735.6101,doloribus,NULL
7,9,Seeds,sesame,1284268.0659,68205825.7,et,NULL
8,9,Herbs,caraway,24493,NULL,nulla,NULL
9,2,Herbs,catnip,12008702.623,21577.891642,vel,NULL
10,5,Seeds,flax,339404395.7,59622629.74,et,NULL
11,7,Herbs,chervil,NULL,NULL,minus,NULL
12,4,Seeds,voluptatem,162,149,officia,NULL
13,5,Spices,cinnam,1686539.4,17595111.4,nisi,NULL
14,4,Seeds,lotus,43221310.465574,63589.4054376,exercitationem,NULL
15,2,Herbs,laurel,NULL,57857,ut,NULL
