question,sql
How many products are there?,SELECT COUNT(*) FROM `products`
Count the number of products.,SELECT COUNT(*) FROM `products`
How many colors are there?,SELECT COUNT(*) FROM `ref_colors`
Count the number of colors.,SELECT COUNT(*) FROM `ref_colors`
How many characteristics are there?,SELECT COUNT(*) FROM `CHARACTERISTICS`
Count the number of characteristics.,SELECT COUNT(*) FROM `CHARACTERISTICS`
What are the names and buying prices of all the products?,"SELECT `product_name`, `typical_buying_price` FROM `products`"
Return the names and typical buying prices for all products.,"SELECT `product_name`, `typical_buying_price` FROM `products`"
List the description of all the colors.,SELECT `color_description` FROM `ref_colors`
What are the descriptions for each color?,SELECT `color_description` FROM `ref_colors`
Find the names of all the product characteristics.,SELECT DISTINCT `characteristic_name` FROM `CHARACTERISTICS`
What are the different names of the product characteristics?,SELECT DISTINCT `characteristic_name` FROM `CHARACTERISTICS`
"What are the names of products with category ""Spices""?",SELECT `product_name` FROM `products` WHERE `product_category_code` = `Spices`
Return the names of products in the category 'Spices'.,SELECT `product_name` FROM `products` WHERE `product_category_code` = `Spices`
"List the names, color descriptions and product descriptions of products with category ""Herbs"".","SELECT `T1`.`product_name`, `T2`.`color_description`, `T1`.`product_description` FROM `products` AS `T1` JOIN `Ref_colors` AS `T2` ON `T1`.`color_code` = `T2`.`color_code` WHERE `product_category_code` = `Herbs`"
"What are the names, color descriptions, and product descriptions for products in the 'Herbs' category?","SELECT `T1`.`product_name`, `T2`.`color_description`, `T1`.`product_description` FROM `products` AS `T1` JOIN `Ref_colors` AS `T2` ON `T1`.`color_code` = `T2`.`color_code` WHERE `product_category_code` = `Herbs`"
"How many products are there under the category ""Seeds""?",SELECT COUNT(*) FROM `products` WHERE `product_category_code` = `Seeds`
Count the number of products in the category 'Seeds'.,SELECT COUNT(*) FROM `products` WHERE `product_category_code` = `Seeds`
"Find the number of products with category ""Spices"" and typically sold above 1000.",SELECT COUNT(*) FROM `products` WHERE `product_category_code` = `Spices` AND `typical_buying_price` > 1000
How many products are in the 'Spices' category and have a typical price of over 1000?,SELECT COUNT(*) FROM `products` WHERE `product_category_code` = `Spices` AND `typical_buying_price` > 1000
"What is the category and typical buying price  of the product with name ""cumin""?","SELECT `product_category_code`, `typical_buying_price` FROM `products` WHERE `product_name` = `cumin`"
Return the category code and typical price of 'cumin'.,"SELECT `product_category_code`, `typical_buying_price` FROM `products` WHERE `product_name` = `cumin`"
"Which category does the product named ""flax"" belong to?",SELECT `product_category_code` FROM `products` WHERE `product_name` = `flax`
What is the code of the category that the product with the name 'flax' belongs to?,SELECT `product_category_code` FROM `products` WHERE `product_name` = `flax`
