question,sql
Find the names of channels that are not owned by CCTV.,SELECT name FROM channel WHERE OWNER != 'CCTV'
Which channels are not owned by CCTV? Give me the channel names.,SELECT name FROM channel WHERE OWNER != 'CCTV'
List all channel names ordered by their rating in percent from big to small.,SELECT name FROM channel ORDER BY rating_in_percent DESC
Give me a list of all the channel names sorted by the channel rating in descending order.,SELECT name FROM channel ORDER BY rating_in_percent DESC
What is the owner of the channel that has the highest rating ratio?,SELECT OWNER FROM channel ORDER BY rating_in_percent DESC LIMIT 1
Show me the owner of the channel with the highest rating.,SELECT OWNER FROM channel ORDER BY rating_in_percent DESC LIMIT 1
how many programs are there?,SELECT count(*) FROM program
Count the number of programs.,SELECT count(*) FROM program
"list all the names of programs, ordering by launch time.",SELECT name FROM program ORDER BY launch
"What is the list of program names, sorted by the order of launch date?",SELECT name FROM program ORDER BY launch
"List the name, origin and owner of each program.","SELECT name ,  origin ,  OWNER FROM program"
"What are the name, origin and owner of each program?","SELECT name ,  origin ,  OWNER FROM program"
find the name of the program that was launched most recently.,SELECT name FROM program ORDER BY launch DESC LIMIT 1
Which program was launched most recently? Return the program name.,SELECT name FROM program ORDER BY launch DESC LIMIT 1
find the total percentage share of all channels owned by CCTV.,SELECT sum(Share_in_percent) FROM channel WHERE OWNER  =  'CCTV'
What is the total share (in percent) of all the channels owned by CCTV?,SELECT sum(Share_in_percent) FROM channel WHERE OWNER  =  'CCTV'
Find the names of the channels that are broadcast in the morning.,SELECT t1.name FROM channel AS t1 JOIN broadcast AS t2 ON t1.channel_id  =  t2.channel_id WHERE t2.time_of_day  =  'Morning'
Which channels are broadcast in the morning? Give me the channel names.,SELECT t1.name FROM channel AS t1 JOIN broadcast AS t2 ON t1.channel_id  =  t2.channel_id WHERE t2.time_of_day  =  'Morning'
what are the names of the channels that broadcast in both morning and night?,SELECT t1.name FROM channel AS t1 JOIN broadcast AS t2 ON t1.channel_id  =  t2.channel_id WHERE t2.time_of_day  =  'Morning' INTERSECT SELECT t1.name FROM channel AS t1 JOIN broadcast AS t2 ON t1.channel_id  =  t2.channel_id WHERE t2.time_of_day  =  'Night'
Which channels broadcast both in the morning and at night? Give me the channel names.,SELECT t1.name FROM channel AS t1 JOIN broadcast AS t2 ON t1.channel_id  =  t2.channel_id WHERE t2.time_of_day  =  'Morning' INTERSECT SELECT t1.name FROM channel AS t1 JOIN broadcast AS t2 ON t1.channel_id  =  t2.channel_id WHERE t2.time_of_day  =  'Night'
how many programs are broadcast in each time section of the day?,"SELECT count(*) ,  time_of_day FROM broadcast GROUP BY time_of_day"
Count the number of programs broadcast for each time section of a day.,"SELECT count(*) ,  time_of_day FROM broadcast GROUP BY time_of_day"
find the number of different programs that are broadcast during night time.,SELECT count(DISTINCT program_id) FROM broadcast WHERE time_of_day  =  'Night'
"How many distinct programs are broadcast at ""Night"" time?",SELECT count(DISTINCT program_id) FROM broadcast WHERE time_of_day  =  'Night'
Find the names of programs that are never broadcasted in the morning.,"SELECT name FROM program EXCEPT SELECT t1.name FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id WHERE t2.Time_of_day  =  ""Morning"""
Which programs are never broadcasted in the morning? Give me the names of the programs.,"SELECT name FROM program EXCEPT SELECT t1.name FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id WHERE t2.Time_of_day  =  ""Morning"""
find the program owners that have some programs in both morning and night time.,"SELECT t1.owner FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id WHERE t2.Time_of_day  =  ""Morning"" INTERSECT SELECT t1.owner FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id WHERE t2.Time_of_day  =  ""Night"""
Who are the owners of the programs that broadcast both in the morning and at night?,"SELECT t1.owner FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id WHERE t2.Time_of_day  =  ""Morning"" INTERSECT SELECT t1.owner FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id WHERE t2.Time_of_day  =  ""Night"""
List all program origins in the alphabetical order.,SELECT origin FROM program ORDER BY origin
What is the list of program origins ordered alphabetically?,SELECT origin FROM program ORDER BY origin
what is the number of different channel owners?,SELECT count(DISTINCT OWNER) FROM channel
Count the number of distinct channel owners.,SELECT count(DISTINCT OWNER) FROM channel
find the names of programs whose origin is not in Beijing.,SELECT name FROM program WHERE origin != 'Beijing'
"Which programs' origins are not ""Beijing""? Give me the program names.",SELECT name FROM program WHERE origin != 'Beijing'
What are the names of the channels owned by CCTV or HBS?,SELECT name FROM channel WHERE OWNER  =  'CCTV' OR OWNER  =  'HBS'
List the names of all the channels owned by either CCTV or HBS,SELECT name FROM channel WHERE OWNER  =  'CCTV' OR OWNER  =  'HBS'
Find the total rating ratio for each channel owner.,"SELECT sum(Rating_in_percent) ,  OWNER FROM channel GROUP BY OWNER"
What is the total rating of channel for each channel owner?,"SELECT sum(Rating_in_percent) ,  OWNER FROM channel GROUP BY OWNER"
Find the name of the program that is broadcast most frequently.,SELECT t1.name FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id GROUP BY t2.program_id ORDER BY count(*) DESC LIMIT 1
Which program is broadcast most frequently? Give me the program name.,SELECT t1.name FROM program AS t1 JOIN broadcast AS t2 ON t1.program_id  =  t2.program_id GROUP BY t2.program_id ORDER BY count(*) DESC LIMIT 1
