question,sql
How many different last names do the actors and actresses have?,SELECT count(DISTINCT last_name) FROM actor
Count the number of different last names actors have.,SELECT count(DISTINCT last_name) FROM actor
What is the most popular first name of the actors?,SELECT first_name FROM actor GROUP BY first_name ORDER BY count(*) DESC LIMIT 1
Return the most common first name among all actors.,SELECT first_name FROM actor GROUP BY first_name ORDER BY count(*) DESC LIMIT 1
What is the most popular full name of the actors?,"SELECT first_name ,  last_name FROM actor GROUP BY first_name ,  last_name ORDER BY count(*) DESC LIMIT 1"
Return the most common full name among all actors.,"SELECT first_name ,  last_name FROM actor GROUP BY first_name ,  last_name ORDER BY count(*) DESC LIMIT 1"
Which districts have at least two addresses?,SELECT district FROM address GROUP BY district HAVING count(*)  >=  2
Give the districts which have two or more addresses.,SELECT district FROM address GROUP BY district HAVING count(*)  >=  2
What is the phone number and postal code of the address 1031 Daugavpils Parkway?,"SELECT phone ,  postal_code FROM address WHERE address  =  '1031 Daugavpils Parkway'"
Give the phone and postal code corresponding to the address '1031 Daugavpils Parkway'.,"SELECT phone ,  postal_code FROM address WHERE address  =  '1031 Daugavpils Parkway'"
"Which city has the most addresses? List the city name, number of addresses, and city id.","SELECT T2.city ,  count(*) ,  T1.city_id FROM address AS T1 JOIN city AS T2 ON T1.city_id  =  T2.city_id GROUP BY T1.city_id ORDER BY count(*) DESC LIMIT 1"
"What are the city name, id, and number of addresses corresponding to the city with the most addressed?","SELECT T2.city ,  count(*) ,  T1.city_id FROM address AS T1 JOIN city AS T2 ON T1.city_id  =  T2.city_id GROUP BY T1.city_id ORDER BY count(*) DESC LIMIT 1"
How many addresses are in the district of California?,SELECT count(*) FROM address WHERE district  =  'California'
Count the number of addressed in the California district.,SELECT count(*) FROM address WHERE district  =  'California'
Which film is rented at a fee of 0.99 and has less than 3 in the inventory? List the film title and id.,"SELECT title ,  film_id FROM film WHERE rental_rate  =  0.99 INTERSECT SELECT T1.title ,  T1.film_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id  =  T2.film_id GROUP BY T1.film_id HAVING count(*)  <  3"
What are the title and id of the film which has a rental rate of 0.99 and an inventory of below 3?,"SELECT title ,  film_id FROM film WHERE rental_rate  =  0.99 INTERSECT SELECT T1.title ,  T1.film_id FROM film AS T1 JOIN inventory AS T2 ON T1.film_id  =  T2.film_id GROUP BY T1.film_id HAVING count(*)  <  3"
How many cities are in Australia?,SELECT count(*) FROM city AS T1 JOIN country AS T2 ON T1.country_id  =  T2.country_id WHERE T2.country  =  'Australia'
Count the number of cities in Australia.,SELECT count(*) FROM city AS T1 JOIN country AS T2 ON T1.country_id  =  T2.country_id WHERE T2.country  =  'Australia'
Which countries have at least 3 cities?,SELECT T2.country FROM city AS T1 JOIN country AS T2 ON T1.country_id  =  T2.country_id GROUP BY T2.country_id HAVING count(*)  >=  3
What are the countries that contain 3 or more cities?,SELECT T2.country FROM city AS T1 JOIN country AS T2 ON T1.country_id  =  T2.country_id GROUP BY T2.country_id HAVING count(*)  >=  3
Find all the payment dates for the payments with an amount larger than 10 and the payments handled by a staff person with the first name Elsa.,SELECT payment_date FROM payment WHERE amount  >  10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id  =  T2.staff_id WHERE T2.first_name  =  'Elsa'
What are the payment dates for any payments that have an amount greater than 10 or were handled by a staff member with the first name Elsa?,SELECT payment_date FROM payment WHERE amount  >  10 UNION SELECT T1.payment_date FROM payment AS T1 JOIN staff AS T2 ON T1.staff_id  =  T2.staff_id WHERE T2.first_name  =  'Elsa'
How many customers have an active value of 1?,SELECT count(*) FROM customer WHERE active = '1'
Count the number of customers who are active.,SELECT count(*) FROM customer WHERE active = '1'
Which film has the highest rental rate? And what is the rate?,"SELECT title ,  rental_rate FROM film ORDER BY rental_rate DESC LIMIT 1"
What are the title and rental rate of the film with the highest rental rate?,"SELECT title ,  rental_rate FROM film ORDER BY rental_rate DESC LIMIT 1"
"Which film has the most number of actors or actresses? List the film name, film id and description.","SELECT T2.title ,  T2.film_id ,  T2.description FROM film_actor AS T1 JOIN film AS T2 ON T1.film_id  =  T2.film_id GROUP BY T2.film_id ORDER BY count(*) DESC LIMIT 1"
"What are the title, id, and description of the movie with the greatest number of actors?","SELECT T2.title ,  T2.film_id ,  T2.description FROM film_actor AS T1 JOIN film AS T2 ON T1.film_id  =  T2.film_id GROUP BY T2.film_id ORDER BY count(*) DESC LIMIT 1"
"Which film actor (actress) starred the most films? List his or her first name, last name and actor id.","SELECT T2.first_name ,  T2.last_name ,  T2.actor_id FROM film_actor AS T1 JOIN actor AS T2 ON T1.actor_id  =  T2.actor_id GROUP BY T2.actor_id ORDER BY count(*) DESC LIMIT 1"
Return the full name and id of the actor or actress who starred in the greatest number of films.,"SELECT T2.first_name ,  T2.last_name ,  T2.actor_id FROM film_actor AS T1 JOIN actor AS T2 ON T1.actor_id  =  T2.actor_id GROUP BY T2.actor_id ORDER BY count(*) DESC LIMIT 1"
Which film actors (actresses) played a role in more than 30 films? List his or her first name and last name.,"SELECT T2.first_name ,  T2.last_name FROM film_actor AS T1 JOIN actor AS T2 ON T1.actor_id  =  T2.actor_id GROUP BY T2.actor_id HAVING count(*)  >  30"
What are the full names of actors who had roles in more than 30 films?,"SELECT T2.first_name ,  T2.last_name FROM film_actor AS T1 JOIN actor AS T2 ON T1.actor_id  =  T2.actor_id GROUP BY T2.actor_id HAVING count(*)  >  30"
Which store owns most items?,SELECT store_id FROM inventory GROUP BY store_id ORDER BY count(*) DESC LIMIT 1
What is the id of the store that has the most items in inventory?,SELECT store_id FROM inventory GROUP BY store_id ORDER BY count(*) DESC LIMIT 1
What is the total amount of all payments?,SELECT sum(amount) FROM payment
Return the sum of all payment amounts.,SELECT sum(amount) FROM payment
"Which customer, who has made at least one payment, has spent the least money? List his or her first name, last name, and the id.","SELECT T1.first_name ,  T1.last_name ,  T1.customer_id FROM customer AS T1 JOIN payment AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY sum(amount) ASC LIMIT 1"
What is the full name and id of the customer who has the lowest total amount of payment?,"SELECT T1.first_name ,  T1.last_name ,  T1.customer_id FROM customer AS T1 JOIN payment AS T2 ON T1.customer_id  =  T2.customer_id GROUP BY T1.customer_id ORDER BY sum(amount) ASC LIMIT 1"
What is the genre name of the film HUNGER ROOF?,SELECT T1.name FROM category AS T1 JOIN film_category AS T2 ON T1.category_id  =  T2.category_id JOIN film AS T3 ON T2.film_id  =  T3.film_id WHERE T3.title  =  'HUNGER ROOF'
