question,sql
How many drivers are there?,SELECT count(*) FROM driver
"Show the name, home city, and age for all drivers.","SELECT name ,  home_city ,  age FROM driver"
Show the party and the number of drivers in each party.,"SELECT party ,  count(*) FROM driver GROUP BY party"
Show the name of drivers in descending order of age.,SELECT name FROM driver ORDER BY age DESC
Show all different home cities.,SELECT DISTINCT home_city FROM driver
Show the home city with the most number of drivers.,SELECT home_city FROM driver GROUP BY home_city ORDER BY count(*) DESC LIMIT 1
Show the party with drivers from Hartford and drivers older than 40.,SELECT party FROM driver WHERE home_city  =  'Hartford' AND age  >  40
Show home city where at least two drivers older than 40 are from.,SELECT home_city FROM driver WHERE age  >  40 GROUP BY home_city HAVING count(*)  >=  2
Show all home cities except for those having a driver older than 40.,SELECT home_city FROM driver EXCEPT SELECT home_city FROM driver WHERE age  >  40
Show the names of the drivers without a school bus.,SELECT name FROM driver WHERE driver_id NOT IN (SELECT driver_id FROM school_bus)
Show the types of schools that have two schools.,SELECT TYPE FROM school GROUP BY TYPE HAVING count(*)  =  2
Show the school name and driver name for all school buses.,"SELECT T2.school ,  T3.name FROM school_bus AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id JOIN driver AS T3 ON T1.driver_id  =  T3.driver_id"
"What is the maximum, minimum and average years spent working on a school bus?","SELECT max(years_working) ,  min(years_working) ,  avg(years_working) FROM school_bus"
Show the school name and type for schools without a school bus.,"SELECT school ,  TYPE FROM school WHERE school_id NOT IN (SELECT school_id FROM school_bus)"
Show the type of school and the number of buses for each type.,"SELECT T2.type ,  count(*) FROM school_bus AS T1 JOIN school AS T2 ON T1.school_id  =  T2.school_id GROUP BY T2.type"
How many drivers are from Hartford city or younger than 40?,SELECT count(*) FROM driver WHERE home_city  =  'Hartford' OR age  <  40
List names for drivers from Hartford city and younger than 40.,SELECT name FROM driver WHERE home_city  =  'Hartford' AND age  <  40
find the name of driver who is driving the school bus with the longest working history.,SELECT t1.name FROM driver AS t1 JOIN school_bus AS t2 ON t1.driver_id  =  t2.driver_id ORDER BY years_working DESC LIMIT 1
