question,sql
Find the total number of scientists.,SELECT COUNT(*) FROM `Scientists`
How many scientists are there?,SELECT COUNT(*) FROM `Scientists`
Find the total hours of all projects.,SELECT SUM(`hours`) FROM `Projects`
What is the total number of hours for all projects?,SELECT SUM(`hours`) FROM `Projects`
How many different scientists are assigned to any project?,SELECT COUNT(DISTINCT `scientist`) FROM `AssignedTo`
Count the number of different scientists assigned to any project.,SELECT COUNT(DISTINCT `scientist`) FROM `AssignedTo`
Find the number of distinct projects.,SELECT COUNT(DISTINCT `name`) FROM `Projects`
How many different projects are there?,SELECT COUNT(DISTINCT `name`) FROM `Projects`
Find the average hours of all projects.,SELECT AVG(`hours`) FROM `Projects`
What is the average hours across all projects?,SELECT AVG(`hours`) FROM `Projects`
Find the name of project that continues for the longest time.,SELECT `name` FROM `Projects` ORDER BY `hours` DESC LIMIT 1
What is the name of the project with the most hours?,SELECT `name` FROM `Projects` ORDER BY `hours` DESC LIMIT 1
List the name of all projects that are operated longer than the average working hours of all projects.,SELECT `name` FROM `Projects` WHERE `hours` > (SELECT AVG(`hours`) FROM `Projects`)
What are the names of projects that have taken longer than the average number of hours for all projects?,SELECT `name` FROM `Projects` WHERE `hours` > (SELECT AVG(`hours`) FROM `Projects`)
Find the name and hours of project that has the most number of scientists.,"SELECT `t1`.`name`, `t1`.`hours` FROM `Projects` AS `t1` JOIN `AssignedTo` AS `t2` ON `t1`.`code` = `t2`.`project` GROUP BY `t1`.`name`, `t1`.`hours` ORDER BY COUNT(*) DESC LIMIT 1"
What is the name and hours for the project which has the most scientists assigned to it?,"SELECT `t1`.`name`, `t1`.`hours` FROM `Projects` AS `t1` JOIN `AssignedTo` AS `t2` ON `t1`.`code` = `t2`.`project` GROUP BY `t1`.`name`, `t1`.`hours` ORDER BY COUNT(*) DESC LIMIT 1"
Find the name of the project for which a scientist whose name contains ‘Smith’ is assigned to.,SELECT `t2`.`name` FROM `AssignedTo` AS `t1` JOIN `Projects` AS `t2` ON `t1`.`project` = `t2`.`code` JOIN `Scientists` AS `t3` ON `t1`.`scientist` = `t3`.`SSN` WHERE `t3`.`name` LIKE '%Smith%'
What is the name of the project that has a scientist assigned to it whose name contains 'Smith'?,SELECT `t2`.`name` FROM `AssignedTo` AS `t1` JOIN `Projects` AS `t2` ON `t1`.`project` = `t2`.`code` JOIN `Scientists` AS `t3` ON `t1`.`scientist` = `t3`.`SSN` WHERE `t3`.`name` LIKE '%Smith%'
Find the total hours of the projects that scientists named Michael Rogers or Carol Smith are assigned to.,SELECT SUM(`t2`.`hours`) FROM `AssignedTo` AS `t1` JOIN `Projects` AS `t2` ON `t1`.`project` = `t2`.`code` JOIN `Scientists` AS `t3` ON `t1`.`scientist` = `t3`.`SSN` WHERE `t3`.`name` = 'Michael Rogers' OR `t3`.`name` = 'Carol Smith'
What is the sum of hours for projects that scientists with the name Michael Rogers or Carol Smith are assigned to?,SELECT SUM(`t2`.`hours`) FROM `AssignedTo` AS `t1` JOIN `Projects` AS `t2` ON `t1`.`project` = `t2`.`code` JOIN `Scientists` AS `t3` ON `t1`.`scientist` = `t3`.`SSN` WHERE `t3`.`name` = 'Michael Rogers' OR `t3`.`name` = 'Carol Smith'
Find the name of projects that require between 100 and 300 hours of work.,SELECT `name` FROM `Projects` WHERE `hours` BETWEEN 100 AND 300
What are the names of projects that require between 100 and 300 hours?,SELECT `name` FROM `Projects` WHERE `hours` BETWEEN 100 AND 300
Find the name of the scientist who worked on both a project named 'Matter of Time' and a project named 'A Puzzling Parallax'.,SELECT `t3`.`name` FROM `AssignedTo` AS `t1` JOIN `Projects` AS `t2` ON `t1`.`project` = `t2`.`code` JOIN `Scientists` AS `t3` ON `t1`.`scientist` = `t3`.`SSN` WHERE `t2`.`name` = 'Matter of Time' INTERSECT SELECT `t3`.`name` FROM `AssignedTo` AS `t1` JOIN `Projects` AS `t2` ON `t1`.`project` = `t2`.`code` JOIN `Scientists` AS `t3` ON `t1`.`scientist` = `t3`.`SSN` WHERE `t2`.`name` = 'A Puzzling Parallax'
What are the names of any scientists who worked on projects named 'Matter of Time' and 'A Puzzling Pattern'?,SELECT `t3`.`name` FROM `AssignedTo` AS `t1` JOIN `Projects` AS `t2` ON `t1`.`project` = `t2`.`code` JOIN `Scientists` AS `t3` ON `t1`.`scientist` = `t3`.`SSN` WHERE `t2`.`name` = 'Matter of Time' INTERSECT SELECT `t3`.`name` FROM `AssignedTo` AS `t1` JOIN `Projects` AS `t2` ON `t1`.`project` = `t2`.`code` JOIN `Scientists` AS `t3` ON `t1`.`scientist` = `t3`.`SSN` WHERE `t2`.`name` = 'A Puzzling Parallax'
List the names of all scientists sorted in alphabetical order.,SELECT `name` FROM `Scientists` ORDER BY `name`
What are the names of all the scientists in alphabetical order?,SELECT `name` FROM `Scientists` ORDER BY `name`
Find the number of scientists involved for each project name.,"SELECT COUNT(*), `t1`.`name` FROM `Projects` AS `t1` JOIN `AssignedTo` AS `t2` ON `t1`.`code` = `t2`.`project` GROUP BY `t1`.`name`"
"What are the naems of all the projects, and how many scientists were assigned to each of them?","SELECT COUNT(*), `t1`.`name` FROM `Projects` AS `t1` JOIN `AssignedTo` AS `t2` ON `t1`.`code` = `t2`.`project` GROUP BY `t1`.`name`"
Find the number of scientists involved for the projects that require more than 300 hours.,"SELECT COUNT(*), `t1`.`name` FROM `Projects` AS `t1` JOIN `AssignedTo` AS `t2` ON `t1`.`code` = `t2`.`project` WHERE `t1`.`hours` > 300 GROUP BY `t1`.`name`"
"What are the names of projects that require more than 300 hours, and how many scientists are assigned to each?","SELECT COUNT(*), `t1`.`name` FROM `Projects` AS `t1` JOIN `AssignedTo` AS `t2` ON `t1`.`code` = `t2`.`project` WHERE `t1`.`hours` > 300 GROUP BY `t1`.`name`"
Find the number of projects which each scientist is working on and scientist's name.,"SELECT COUNT(*), `t1`.`name` FROM `Scientists` AS `t1` JOIN `AssignedTo` AS `t2` ON `t1`.`ssn` = `t2`.`scientist` GROUP BY `t1`.`name`"
"What are the names of the scientists, and how many projects are each of them working on?","SELECT COUNT(*), `t1`.`name` FROM `Scientists` AS `t1` JOIN `AssignedTo` AS `t2` ON `t1`.`ssn` = `t2`.`scientist` GROUP BY `t1`.`name`"
Find the SSN and name of scientists who are assigned to the project with the longest hours.,"SELECT `t3`.`ssn`, `t3`.`name` FROM `AssignedTo` AS `t1` JOIN `Projects` AS `t2` ON `t1`.`project` = `t2`.`code` JOIN `Scientists` AS `t3` ON `t1`.`scientist` = `t3`.`SSN` WHERE `t2`.`hours` = (SELECT MAX(`hours`) FROM `Projects`)"
What are the SSN and names of scientists working on the project with the most hours?,"SELECT `t3`.`ssn`, `t3`.`name` FROM `AssignedTo` AS `t1` JOIN `Projects` AS `t2` ON `t1`.`project` = `t2`.`code` JOIN `Scientists` AS `t3` ON `t1`.`scientist` = `t3`.`SSN` WHERE `t2`.`hours` = (SELECT MAX(`hours`) FROM `Projects`)"
Find the name of scientists who are assigned to some project.,SELECT `t2`.`name` FROM `AssignedTo` AS `t1` JOIN `Scientists` AS `t2` ON `t1`.`scientist` = `t2`.`ssn`
What are the names of scientists who are assigned to any project?,SELECT `t2`.`name` FROM `AssignedTo` AS `t1` JOIN `Scientists` AS `t2` ON `t1`.`scientist` = `t2`.`ssn`
Select the project names which are not assigned yet.,SELECT `Name` FROM `Projects` WHERE NOT `Code` IN (SELECT `Project` FROM `AssignedTo`)
What are the names of projects that have not been assigned?,SELECT `Name` FROM `Projects` WHERE NOT `Code` IN (SELECT `Project` FROM `AssignedTo`)
Find the name of scientists who are not assigned to any project.,SELECT `Name` FROM `Scientists` WHERE NOT `ssn` IN (SELECT `scientist` FROM `AssignedTo`)
What are the names of scientists who have not been assigned a project?,SELECT `Name` FROM `Scientists` WHERE NOT `ssn` IN (SELECT `scientist` FROM `AssignedTo`)
