question,sql
How many different captain ranks are there?,SELECT COUNT(DISTINCT `rank`) FROM `captain`
Count the number of different ranks of captain.,SELECT COUNT(DISTINCT `rank`) FROM `captain`
How many captains are in each rank?,"SELECT COUNT(*), `rank` FROM `captain` GROUP BY `rank`"
Count the number of captains that have each rank.,"SELECT COUNT(*), `rank` FROM `captain` GROUP BY `rank`"
How many captains with younger than 50 are in each rank?,"SELECT COUNT(*), `rank` FROM `captain` WHERE `age` < 50 GROUP BY `rank`"
Count the number of captains younger than 50 of each rank.,"SELECT COUNT(*), `rank` FROM `captain` WHERE `age` < 50 GROUP BY `rank`"
Sort all captain names by their ages from old to young.,SELECT `name` FROM `captain` ORDER BY `age` DESC
"What are the names of captains, sorted by age descending?",SELECT `name` FROM `captain` ORDER BY `age` DESC
"Find the name, class and rank of all captains.","SELECT `name`, `CLASS`, `rank` FROM `captain`"
"What are the names, classes, and ranks of all captains?","SELECT `name`, `CLASS`, `rank` FROM `captain`"
Which rank is the most common among captains?,SELECT `rank` FROM `captain` GROUP BY `rank` ORDER BY COUNT(*) DESC LIMIT 1
Return the rank for which there are the fewest captains.,SELECT `rank` FROM `captain` GROUP BY `rank` ORDER BY COUNT(*) DESC LIMIT 1
Which classes have more than two captains?,SELECT `CLASS` FROM `captain` GROUP BY `CLASS` HAVING COUNT(*) > 2
Give the classes that have more than two captains.,SELECT `CLASS` FROM `captain` GROUP BY `CLASS` HAVING COUNT(*) > 2
Find the name of captains whose rank are either Midshipman or Lieutenant.,SELECT `name` FROM `captain` WHERE `rank` = 'Midshipman' OR `rank` = 'Lieutenant'
What are the names of captains that have either the rank Midshipman or Lieutenant?,SELECT `name` FROM `captain` WHERE `rank` = 'Midshipman' OR `rank` = 'Lieutenant'
What are the average and minimum age of captains in different class?,"SELECT AVG(`age`), MIN(`age`), `CLASS` FROM `captain` GROUP BY `CLASS`"
Return the average and minimum age of captains in each class.,"SELECT AVG(`age`), MIN(`age`), `CLASS` FROM `captain` GROUP BY `CLASS`"
Find the captain rank that has some captains in both Cutter and Armed schooner classes.,SELECT `rank` FROM `captain` WHERE `CLASS` = 'Cutter' INTERSECT SELECT `rank` FROM `captain` WHERE `CLASS` = 'Armed schooner'
What are the ranks of captains that are both in the Cutter and Armed schooner classes?,SELECT `rank` FROM `captain` WHERE `CLASS` = 'Cutter' INTERSECT SELECT `rank` FROM `captain` WHERE `CLASS` = 'Armed schooner'
Find the captain rank that has no captain in Third-rate ship of the line class.,SELECT `rank` FROM `captain` EXCEPT SELECT `rank` FROM `captain` WHERE `CLASS` = 'Third-rate ship of the line'
What are the ranks of captains that have no captain that are in the Third-rate ship of the line class?,SELECT `rank` FROM `captain` EXCEPT SELECT `rank` FROM `captain` WHERE `CLASS` = 'Third-rate ship of the line'
What is the name of the youngest captain?,SELECT `name` FROM `captain` ORDER BY `age` LIMIT 1
Return the name of the youngest captain.,SELECT `name` FROM `captain` ORDER BY `age` LIMIT 1
how many ships are there?,SELECT COUNT(*) FROM `Ship`
Count the number of ships.,SELECT COUNT(*) FROM `Ship`
"Find the name, type, and flag of the ship that is built in the most recent year.","SELECT `name`, `TYPE`, `flag` FROM `Ship` ORDER BY `built_year` DESC LIMIT 1"
"What is the name, type, and flag of the ship that was built in the most recent year?","SELECT `name`, `TYPE`, `flag` FROM `Ship` ORDER BY `built_year` DESC LIMIT 1"
"Group by ships by flag, and return number of ships that have each flag.","SELECT COUNT(*), `flag` FROM `Ship` GROUP BY `flag`"
"What are the different ship flags, and how many ships have each?","SELECT COUNT(*), `flag` FROM `Ship` GROUP BY `flag`"
Which flag is most widely used among all ships?,SELECT `flag` FROM `Ship` GROUP BY `flag` ORDER BY COUNT(*) DESC LIMIT 1
