question,sql
Find the total savings balance of all accounts except the account with name ‘Brown’.,SELECT SUM(`t2`.`balance`) FROM `ACCOUNTS` AS `t1` JOIN `SAVINGS` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t1`.`name` <> 'Brown'
What is the total balance of savings accounts not belonging to someone with the name Brown?,SELECT SUM(`t2`.`balance`) FROM `ACCOUNTS` AS `t1` JOIN `SAVINGS` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t1`.`name` <> 'Brown'
How many accounts are there in total?,SELECT COUNT(*) FROM `ACCOUNTS`
Count the number of accounts.,SELECT COUNT(*) FROM `ACCOUNTS`
What is the total checking balance in all accounts?,SELECT SUM(`balance`) FROM `CHECKING`
Find the total balance across checking accounts.,SELECT SUM(`balance`) FROM `CHECKING`
Find the average checking balance.,SELECT AVG(`balance`) FROM `CHECKING`
What is the average balance in checking accounts?,SELECT AVG(`balance`) FROM `CHECKING`
How many accounts have a savings balance above the average savings balance?,SELECT COUNT(*) FROM `SAVINGS` WHERE `balance` > (SELECT AVG(`balance`) FROM `SAVINGS`)
Find the number of accounts with a savings balance that is higher than the average savings balance.,SELECT COUNT(*) FROM `SAVINGS` WHERE `balance` > (SELECT AVG(`balance`) FROM `SAVINGS`)
Find the name and id of accounts whose checking balance is below the maximum checking balance.,"SELECT `t1`.`custid`, `t1`.`name` FROM `ACCOUNTS` AS `t1` JOIN `CHECKING` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t2`.`balance` < (SELECT MAX(`balance`) FROM `CHECKING`)"
What are the customer id and name corresponding to accounts with a checking balance less than the largest checking balance?,"SELECT `t1`.`custid`, `t1`.`name` FROM `ACCOUNTS` AS `t1` JOIN `CHECKING` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t2`.`balance` < (SELECT MAX(`balance`) FROM `CHECKING`)"
What is the checking balance of the account whose owner’s name contains the substring ‘ee’?,SELECT `t2`.`balance` FROM `ACCOUNTS` AS `t1` JOIN `CHECKING` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t1`.`name` LIKE '%ee%'
Find the balance of the checking account belonging to an owner whose name contains 'ee'.,SELECT `t2`.`balance` FROM `ACCOUNTS` AS `t1` JOIN `CHECKING` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t1`.`name` LIKE '%ee%'
Find the checking balance and saving balance in the Brown’s account.,"SELECT `t2`.`balance`, `t3`.`balance` FROM `ACCOUNTS` AS `t1` JOIN `CHECKING` AS `t2` ON `t1`.`custid` = `t2`.`custid` JOIN `SAVINGS` AS `t3` ON `t1`.`custid` = `t3`.`custid` WHERE `t1`.`name` = 'Brown'"
What are the checking and savings balances in accounts belonging to Brown?,"SELECT `t2`.`balance`, `t3`.`balance` FROM `ACCOUNTS` AS `t1` JOIN `CHECKING` AS `t2` ON `t1`.`custid` = `t2`.`custid` JOIN `SAVINGS` AS `t3` ON `t1`.`custid` = `t3`.`custid` WHERE `t1`.`name` = 'Brown'"
"Find the names of accounts whose checking balance is above the average checking balance, but savings balance is below the average savings balance.",SELECT `t1`.`name` FROM `ACCOUNTS` AS `t1` JOIN `CHECKING` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t2`.`balance` > (SELECT AVG(`balance`) FROM `CHECKING`) INTERSECT SELECT `t1`.`name` FROM `ACCOUNTS` AS `t1` JOIN `SAVINGS` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t2`.`balance` < (SELECT AVG(`balance`) FROM `SAVINGS`)
What are the names of accounts with checking balances greater than the average checking balance and savings balances below the average savings balance?,SELECT `t1`.`name` FROM `ACCOUNTS` AS `t1` JOIN `CHECKING` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t2`.`balance` > (SELECT AVG(`balance`) FROM `CHECKING`) INTERSECT SELECT `t1`.`name` FROM `ACCOUNTS` AS `t1` JOIN `SAVINGS` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t2`.`balance` < (SELECT AVG(`balance`) FROM `SAVINGS`)
Find the checking balance of the accounts whose savings balance is higher than the average savings balance.,SELECT `t2`.`balance` FROM `ACCOUNTS` AS `t1` JOIN `CHECKING` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t1`.`name` IN (SELECT `t1`.`name` FROM `ACCOUNTS` AS `t1` JOIN `SAVINGS` AS `t2` ON `t1`.`custid` = `t2`.`custid` WHERE `t2`.`balance` > (SELECT AVG(`balance`) FROM `SAVINGS`))
