question,sql
How many clubs are there?,SELECT count(*) FROM club
What is the total number of clubs?,SELECT count(*) FROM club
List the distinct region of clubs in ascending alphabetical order.,SELECT DISTINCT Region FROM club ORDER BY Region ASC
What are the different regions of clubs in ascending alphabetical order?,SELECT DISTINCT Region FROM club ORDER BY Region ASC
What is the average number of gold medals for clubs?,SELECT avg(Gold) FROM club_rank
What is the average number of gold medals for a club?,SELECT avg(Gold) FROM club_rank
What are the types and countries of competitions?,"SELECT Competition_type ,  Country FROM competition"
What are the types of every competition and in which countries are they located?,"SELECT Competition_type ,  Country FROM competition"
"What are the distinct years in which the competitions type is not ""Tournament""?","SELECT DISTINCT YEAR FROM competition WHERE Competition_type != ""Tournament"""
What are the different years for all competitions that are not of type equal to tournament?,"SELECT DISTINCT YEAR FROM competition WHERE Competition_type != ""Tournament"""
What are the maximum and minimum number of silver medals for clubs.,"SELECT max(Silver) ,  min(Silver) FROM club_rank"
What are the maximum and minimum number of silver medals for all the clubs?,"SELECT max(Silver) ,  min(Silver) FROM club_rank"
How many clubs have total medals less than 10?,SELECT count(*) FROM club_rank WHERE Total  <  10
What is the total number of clubs that have less than 10 medals in total?,SELECT count(*) FROM club_rank WHERE Total  <  10
List all club names in ascending order of start year.,SELECT name FROM club ORDER BY Start_year ASC
What are the names of all the clubs starting with the oldest?,SELECT name FROM club ORDER BY Start_year ASC
List all club names in descending alphabetical order.,SELECT name FROM club ORDER BY name DESC
What are the names of all the clubs ordered in descending alphabetical order?,SELECT name FROM club ORDER BY name DESC
Please show the names and the players of clubs.,"SELECT T1.name ,  T2.Player_id FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID"
What are the names and players of all the clubs?,"SELECT T1.name ,  T2.Player_id FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID"
"Show the names of clubs that have players with position ""Right Wing"".","SELECT T1.name FROM club AS T1 JOIN player AS T2 ON T1.Club_ID  =  T2.Club_ID WHERE T2.Position  =  ""Right Wing"""
