question,sql
A list of the top 5 countries by number of invoices. List country name and number of invoices.,"SELECT `billing_country`, COUNT(*) FROM `invoices` GROUP BY `billing_country` ORDER BY COUNT(*) DESC LIMIT 5"
What are the top 5 countries by number of invoices and how many do they have?,"SELECT `billing_country`, COUNT(*) FROM `invoices` GROUP BY `billing_country` ORDER BY COUNT(*) DESC LIMIT 5"
A list of the top 8 countries by gross/total invoice size. List country name and gross invoice size.,"SELECT `billing_country`, SUM(`total`) FROM `invoices` GROUP BY `billing_country` ORDER BY SUM(`total`) DESC LIMIT 8"
What are the names of the top 8 countries by total invoice size and what are those sizes?,"SELECT `billing_country`, SUM(`total`) FROM `invoices` GROUP BY `billing_country` ORDER BY SUM(`total`) DESC LIMIT 8"
A list of the top 10 countries by average invoice size. List country name and average invoice size.,"SELECT `billing_country`, AVG(`total`) FROM `invoices` GROUP BY `billing_country` ORDER BY AVG(`total`) DESC LIMIT 10"
What are the names of the countries and average invoice size of the top countries by size?,"SELECT `billing_country`, AVG(`total`) FROM `invoices` GROUP BY `billing_country` ORDER BY AVG(`total`) DESC LIMIT 10"
Find out 5 customers who most recently purchased something. List customers' first and last name.,"SELECT `t1`.`first_name`, `t1`.`last_name` FROM `customers` AS `t1` JOIN `invoices` AS `t2` ON `t2`.`customer_id` = `t1`.`id` ORDER BY `t2`.`invoice_date` DESC LIMIT 5"
What are the first and last names of the 5 customers who purchased something most recently?,"SELECT `t1`.`first_name`, `t1`.`last_name` FROM `customers` AS `t1` JOIN `invoices` AS `t2` ON `t2`.`customer_id` = `t1`.`id` ORDER BY `t2`.`invoice_date` DESC LIMIT 5"
Find out the top 10 customers by total number of orders. List customers' first and last name and the number of total orders.,"SELECT `t1`.`first_name`, `t1`.`last_name`, COUNT(*) FROM `customers` AS `t1` JOIN `invoices` AS `t2` ON `t2`.`customer_id` = `t1`.`id` GROUP BY `t1`.`first_name`, `t1`.`last_name` ORDER BY COUNT(*) DESC LIMIT 10"
What are the top 10 customers' first and last names by total number of orders and how many orders did they make?,"SELECT `t1`.`first_name`, `t1`.`last_name`, COUNT(*) FROM `customers` AS `t1` JOIN `invoices` AS `t2` ON `t2`.`customer_id` = `t1`.`id` GROUP BY `t1`.`first_name`, `t1`.`last_name` ORDER BY COUNT(*) DESC LIMIT 10"
