question,sql
Find the number of students in total.,SELECT COUNT(*) FROM `list`
How many students are there?,SELECT COUNT(*) FROM `list`
Find the last names of students studying in room 111.,SELECT `lastname` FROM `list` WHERE `classroom` = 111
What are the last names of students in room 111?,SELECT `lastname` FROM `list` WHERE `classroom` = 111
Find the first names of students studying in room 108.,SELECT `firstname` FROM `list` WHERE `classroom` = 108
What are the first names of students in room 108?,SELECT `firstname` FROM `list` WHERE `classroom` = 108
What are the first names of students studying in room 107?,SELECT DISTINCT `firstname` FROM `list` WHERE `classroom` = 107
List the first names of all the students in room 107.,SELECT DISTINCT `firstname` FROM `list` WHERE `classroom` = 107
For each classroom report the grade that is taught in it. Report just the classroom number and the grade number.,"SELECT DISTINCT `classroom`, `grade` FROM `list`"
What are the grade number and classroom number of each class in the list?,"SELECT DISTINCT `classroom`, `grade` FROM `list`"
Which grade is studying in classroom 103?,SELECT DISTINCT `grade` FROM `list` WHERE `classroom` = 103
Find the grade taught in classroom 103.,SELECT DISTINCT `grade` FROM `list` WHERE `classroom` = 103
Find the grade studying in room 105.,SELECT DISTINCT `grade` FROM `list` WHERE `classroom` = 105
Which grade is studying in room 105?,SELECT DISTINCT `grade` FROM `list` WHERE `classroom` = 105
Which classrooms are used by grade 4?,SELECT DISTINCT `classroom` FROM `list` WHERE `grade` = 4
Find the classrooms in which grade 4 is studying.,SELECT DISTINCT `classroom` FROM `list` WHERE `grade` = 4
Which classrooms are used by grade 5?,SELECT DISTINCT `classroom` FROM `list` WHERE `grade` = 5
Show me the classrooms grade 5 is using.,SELECT DISTINCT `classroom` FROM `list` WHERE `grade` = 5
Find the last names of the teachers that teach fifth grade.,SELECT DISTINCT `t2`.`lastname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `grade` = 5
what are the last names of the teachers who teach grade 5?,SELECT DISTINCT `t2`.`lastname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `grade` = 5
Find the first names of the teachers that teach first grade.,SELECT DISTINCT `t2`.`firstname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `grade` = 1
What are the first names of the teachers who teach grade 1?,SELECT DISTINCT `t2`.`firstname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `grade` = 1
Find the first names of all the teachers that teach in classroom 110.,SELECT `firstname` FROM `teachers` WHERE `classroom` = 110
Which teachers teach in classroom 110? Give me their first names.,SELECT `firstname` FROM `teachers` WHERE `classroom` = 110
Find the last names of teachers teaching in classroom 109.,SELECT `lastname` FROM `teachers` WHERE `classroom` = 109
Which teachers teach in classroom 109? Give me their last names.,SELECT `lastname` FROM `teachers` WHERE `classroom` = 109
Report the first name and last name of all the teachers.,"SELECT DISTINCT `firstname`, `lastname` FROM `teachers`"
What are the first name and last name of all the teachers?,"SELECT DISTINCT `firstname`, `lastname` FROM `teachers`"
Report the first name and last name of all the students.,"SELECT DISTINCT `firstname`, `lastname` FROM `list`"
Show each student's first name and last name.,"SELECT DISTINCT `firstname`, `lastname` FROM `list`"
Find all students taught by OTHA MOYER. Output the first and last names of the students.,"SELECT `t1`.`firstname`, `t1`.`lastname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t2`.`firstname` = 'OTHA' AND `t2`.`lastname` = 'MOYER'"
Which students study under the teacher named OTHA MOYER? Give me the first and last names of the students.,"SELECT `t1`.`firstname`, `t1`.`lastname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t2`.`firstname` = 'OTHA' AND `t2`.`lastname` = 'MOYER'"
Find all students taught by MARROTTE KIRK. Output first and last names of students.,"SELECT `t1`.`firstname`, `t1`.`lastname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t2`.`firstname` = 'MARROTTE' AND `t2`.`lastname` = 'KIRK'"
Which are the first and last names of the students taught by MARROTTE KIRK?,"SELECT `t1`.`firstname`, `t1`.`lastname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t2`.`firstname` = 'MARROTTE' AND `t2`.`lastname` = 'KIRK'"
Find the first and last name of all the teachers that teach EVELINA BROMLEY.,"SELECT `t2`.`firstname`, `t2`.`lastname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t1`.`firstname` = 'EVELINA' AND `t1`.`lastname` = 'BROMLEY'"
Which teachers teach the student named EVELINA BROMLEY? Give me the first and last name  of the teachers.,"SELECT `t2`.`firstname`, `t2`.`lastname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t1`.`firstname` = 'EVELINA' AND `t1`.`lastname` = 'BROMLEY'"
Find the last names of all the teachers that teach GELL TAMI.,SELECT `t2`.`lastname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t1`.`firstname` = 'GELL' AND `t1`.`lastname` = 'TAMI'
What are the last names of the teachers who teach the student called GELL TAMI?,SELECT `t2`.`lastname` FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t1`.`firstname` = 'GELL' AND `t1`.`lastname` = 'TAMI'
How many students does LORIA ONDERSMA teaches?,SELECT COUNT(*) FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t2`.`firstname` = 'LORIA' AND `t2`.`lastname` = 'ONDERSMA'
Count the number of students the teacher LORIA ONDERSMA teaches.,SELECT COUNT(*) FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t2`.`firstname` = 'LORIA' AND `t2`.`lastname` = 'ONDERSMA'
How many students does KAWA GORDON teaches?,SELECT COUNT(*) FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t2`.`firstname` = 'KAWA' AND `t2`.`lastname` = 'GORDON'
Find the number of students taught by the teacher KAWA GORDON.,SELECT COUNT(*) FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t2`.`firstname` = 'KAWA' AND `t2`.`lastname` = 'GORDON'
Find the number of students taught by TARRING LEIA.,SELECT COUNT(*) FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t2`.`firstname` = 'TARRING' AND `t2`.`lastname` = 'LEIA'
How many students are taught by teacher TARRING LEIA?,SELECT COUNT(*) FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t2`.`firstname` = 'TARRING' AND `t2`.`lastname` = 'LEIA'
How many teachers does the student named CHRISSY NABOZNY have?,SELECT COUNT(*) FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t1`.`firstname` = 'CHRISSY' AND `t1`.`lastname` = 'NABOZNY'
Find the number of teachers who teach the student called CHRISSY NABOZNY.,SELECT COUNT(*) FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t1`.`firstname` = 'CHRISSY' AND `t1`.`lastname` = 'NABOZNY'
How many teachers does the student named MADLOCK RAY have?,SELECT COUNT(*) FROM `list` AS `t1` JOIN `teachers` AS `t2` ON `t1`.`classroom` = `t2`.`classroom` WHERE `t1`.`firstname` = 'MADLOCK' AND `t1`.`lastname` = 'RAY'
