question,sql
which course has most number of registered students?,SELECT `t1`.`course_name` FROM `Courses` AS `t1` JOIN `Student_Course_Registrations` AS `t2` ON `t1`.`course_id` = `t2`.`course_Id` GROUP BY `t1`.`course_name` ORDER BY COUNT(*) DESC LIMIT 1
What is the name of the course with the most registered students?,SELECT `t1`.`course_name` FROM `Courses` AS `t1` JOIN `Student_Course_Registrations` AS `t2` ON `t1`.`course_id` = `t2`.`course_Id` GROUP BY `t1`.`course_name` ORDER BY COUNT(*) DESC LIMIT 1
what is id of students who registered some courses but the least number of courses in these students?,SELECT `student_id` FROM `Student_Course_Registrations` GROUP BY `student_id` ORDER BY COUNT(*) LIMIT 1
What are the ids of the students who registered for some courses but had the least number of courses for all students?,SELECT `student_id` FROM `Student_Course_Registrations` GROUP BY `student_id` ORDER BY COUNT(*) LIMIT 1
what are the first name and last name of all candidates?,"SELECT `t2`.`first_name`, `t2`.`last_name` FROM `Candidates` AS `t1` JOIN `People` AS `t2` ON `t1`.`candidate_id` = `t2`.`person_id`"
What are the first and last names of all the candidates?,"SELECT `t2`.`first_name`, `t2`.`last_name` FROM `Candidates` AS `t1` JOIN `People` AS `t2` ON `t1`.`candidate_id` = `t2`.`person_id`"
List the id of students who never attends courses?,SELECT `student_id` FROM `Students` WHERE NOT `student_id` IN (SELECT `student_id` FROM `Student_Course_Attendance`)
What are the  ids of every student who has never attended a course?,SELECT `student_id` FROM `Students` WHERE NOT `student_id` IN (SELECT `student_id` FROM `Student_Course_Attendance`)
List the id of students who attended some courses?,SELECT `student_id` FROM `Student_Course_Attendance`
What are the ids of all students who have attended at least one course?,SELECT `student_id` FROM `Student_Course_Attendance`
What are the ids of all students for courses and what are the names of those courses?,"SELECT `t1`.`student_id`, `t2`.`course_name` FROM `Student_Course_Registrations` AS `t1` JOIN `Courses` AS `t2` ON `t1`.`course_id` = `t2`.`course_id`"
What is detail of the student who most recently registered course?,SELECT `t2`.`student_details` FROM `Student_Course_Registrations` AS `t1` JOIN `Students` AS `t2` ON `t1`.`student_id` = `t2`.`student_id` ORDER BY `t1`.`registration_date` DESC LIMIT 1
What details do we have on the students who registered for courses most recently?,SELECT `t2`.`student_details` FROM `Student_Course_Registrations` AS `t1` JOIN `Students` AS `t2` ON `t1`.`student_id` = `t2`.`student_id` ORDER BY `t1`.`registration_date` DESC LIMIT 1
How many students attend course English?,SELECT COUNT(*) FROM `Courses` AS `t1` JOIN `Student_Course_Attendance` AS `t2` ON `t1`.`course_id` = `t2`.`course_id` WHERE `t1`.`course_name` = 'English'
How many students are attending English courses?,SELECT COUNT(*) FROM `Courses` AS `t1` JOIN `Student_Course_Attendance` AS `t2` ON `t1`.`course_id` = `t2`.`course_id` WHERE `t1`.`course_name` = 'English'
How many courses do the student whose id is 171 attend?,SELECT COUNT(*) FROM `Courses` AS `t1` JOIN `Student_Course_Attendance` AS `t2` ON `t1`.`course_id` = `t2`.`course_id` WHERE `t2`.`student_id` = 171
How many courses does the student with id 171 actually attend?,SELECT COUNT(*) FROM `Courses` AS `t1` JOIN `Student_Course_Attendance` AS `t2` ON `t1`.`course_id` = `t2`.`course_id` WHERE `t2`.`student_id` = 171
Find id of the candidate whose email is stanley.monahan@example.org?,SELECT `t2`.`candidate_id` FROM `People` AS `t1` JOIN `Candidates` AS `t2` ON `t1`.`person_id` = `t2`.`candidate_id` WHERE `t1`.`email_address` = 'stanley.monahan@example.org'
What is the id of the candidate whose email is stanley.monahan@example.org?,SELECT `t2`.`candidate_id` FROM `People` AS `t1` JOIN `Candidates` AS `t2` ON `t1`.`person_id` = `t2`.`candidate_id` WHERE `t1`.`email_address` = 'stanley.monahan@example.org'
Find id of the candidate who most recently accessed the course?,SELECT `candidate_id` FROM `Candidate_Assessments` ORDER BY `assessment_date` DESC LIMIT 1
What is the id of the candidate who most recently accessed the course?,SELECT `candidate_id` FROM `Candidate_Assessments` ORDER BY `assessment_date` DESC LIMIT 1
What is detail of the student who registered the most number of courses?,SELECT `t1`.`student_details` FROM `Students` AS `t1` JOIN `Student_Course_Registrations` AS `t2` ON `t1`.`student_id` = `t2`.`student_id` GROUP BY `t1`.`student_details` ORDER BY COUNT(*) DESC LIMIT 1
What are the details of the student who registered for the most number of courses?,SELECT `t1`.`student_details` FROM `Students` AS `t1` JOIN `Student_Course_Registrations` AS `t2` ON `t1`.`student_id` = `t2`.`student_id` GROUP BY `t1`.`student_details` ORDER BY COUNT(*) DESC LIMIT 1
List the id of students who registered some courses and the number of their registered courses?,"SELECT `t1`.`student_id`, COUNT(*) FROM `Students` AS `t1` JOIN `Student_Course_Registrations` AS `t2` ON `t1`.`student_id` = `t2`.`student_id` GROUP BY `t1`.`student_id`"
"For every student who is registered for some course, how many courses are they registered for?","SELECT `t1`.`student_id`, COUNT(*) FROM `Students` AS `t1` JOIN `Student_Course_Registrations` AS `t2` ON `t1`.`student_id` = `t2`.`student_id` GROUP BY `t1`.`student_id`"
How many registed students do each course have? List course name and the number of their registered students?,"SELECT `t3`.`course_name`, COUNT(*) FROM `Students` AS `t1` JOIN `Student_Course_Registrations` AS `t2` ON `t1`.`student_id` = `t2`.`student_id` JOIN `Courses` AS `t3` ON `t2`.`course_id` = `t3`.`course_id` GROUP BY `t3`.`course_name`"
"For each course id, how many students are registered and what are the course names?","SELECT `t3`.`course_name`, COUNT(*) FROM `Students` AS `t1` JOIN `Student_Course_Registrations` AS `t2` ON `t1`.`student_id` = `t2`.`student_id` JOIN `Courses` AS `t3` ON `t2`.`course_id` = `t3`.`course_id` GROUP BY `t3`.`course_name`"
"Find id of candidates whose assessment code is ""Pass""?",SELECT `candidate_id` FROM `Candidate_Assessments` WHERE `asessment_outcome_code` = 'Pass'
What are the ids of the candidates that have an outcome code of Pass?,SELECT `candidate_id` FROM `Candidate_Assessments` WHERE `asessment_outcome_code` = 'Pass'
